pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""---""";"=""---""";"=""TOUA Thelma Mea""";"=""30.03.1991""";"=""PNG""";"=""48""";"=""47.85""";"=""*70""";"=""70""";"=""*76""";"=""70""";"=""90""";"=""93""";"=""*95""";"=""93""";"=""163""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""1""";"=""w""";"=""2""";"=""---""";"=""---""";"=""MOSS Charlotte Louise""";"=""05.09.1995""";"=""NZL""";"=""48""";"=""47.86""";"=""59""";"=""62""";"=""64""";"=""64""";"=""73""";"=""76""";"=""*79""";"=""76""";"=""140""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""2""";"=""w""";"=""3""";"=""---""";"=""---""";"=""STEPHENSON Alyce Patricia""";"=""14.12.1990""";"=""AUS""";"=""48""";"=""47.85""";"=""51""";"=""54""";"=""56""";"=""56""";"=""75""";"=""79""";"=""81""";"=""81""";"=""137""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""3""";"=""w""";"=""1""";"=""---""";"=""---""";"=""TOUA Loa Dika""";"=""23.06.1984""";"=""PNG""";"=""53""";"=""52.92""";"=""70""";"=""75""";"=""78""";"=""78""";"=""92""";"=""97""";"=""102""";"=""102""";"=""180""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""4""";"=""w""";"=""2""";"=""---""";"=""---""";"=""AKUA Liebon""";"=""25.03.1998""";"=""NRU""";"=""53""";"=""52.97""";"=""50""";"=""54""";"=""55""";"=""55""";"=""60""";"=""*65""";"=""65""";"=""65""";"=""120""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""5""";"=""m""";"=""1""";"=""---""";"=""---""";"=""MUHAMMAD Azroy Hazalwafie""";"=""04.04.1994""";"=""MAS""";"=""56""";"=""55.79""";"=""106""";"=""*110""";"=""*110""";"=""106""";"=""130""";"=""*132""";"=""132""";"=""132""";"=""238""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""6""";"=""m""";"=""2""";"=""---""";"=""---""";"=""TULO Manueli""";"=""25.03.1990""";"=""FIJ""";"=""56""";"=""55.68""";"=""100""";"=""104""";"=""*107""";"=""104""";"=""130""";"=""*135""";"=""*135""";"=""130""";"=""234""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""7""";"=""m""";"=""3""";"=""---""";"=""---""";"=""BRECHTEFELD Elson Edward""";"=""02.03.1994""";"=""NRU""";"=""56""";"=""55.57""";"=""95""";"=""*100""";"=""*100""";"=""95""";"=""125""";"=""*130""";"=""*130""";"=""125""";"=""220""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""8""";"=""m""";"=""4""";"=""---""";"=""---""";"=""CAIN Shadrach""";"=""27.07.1999""";"=""NRU""";"=""56""";"=""54.89""";"=""70""";"=""*73""";"=""*73""";"=""70""";"=""95""";"=""100""";"=""102""";"=""102""";"=""172""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
"=""9""";"=""w""";"=""1""";"=""---""";"=""---""";"=""TOOMEY Tia-Clair""";"=""22.07.1993""";"=""AUS""";"=""58""";"=""57.90""";"=""80""";"=""*84""";"=""84""";"=""84""";"=""105""";"=""109""";"=""111""";"=""111""";"=""195""";"=""AUSTRALIAN INTERNATIONAL""";"=""03.2017""";
