pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""---""";"=""---""";"=""LACHAUME ANDRIEUX Virginie C. R.""";"=""21.03.1980""";"=""FRA""";"=""53""";"=""52.40""";"=""77""";"=""*80""";"=""80""";"=""80""";"=""98""";"=""101""";"=""*104""";"=""101""";"=""181""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""1""";"=""w""";"=""2""";"=""---""";"=""---""";"=""MICHEL Anais""";"=""12.01.1988""";"=""FRA""";"=""53""";"=""49.10""";"=""63""";"=""67""";"=""*70""";"=""67""";"=""82""";"=""85""";"=""88""";"=""88""";"=""155""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""2""";"=""w""";"=""1""";"=""---""";"=""---""";"=""ROHDE Julia""";"=""13.05.1989""";"=""GER""";"=""58""";"=""54.95""";"=""78""";"=""81""";"=""83""";"=""83""";"=""98""";"=""*102""";"=""104""";"=""104""";"=""187""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""3""";"=""w""";"=""2""";"=""---""";"=""---""";"=""LOMBARDO Jennifer""";"=""24.06.1991""";"=""ITA""";"=""58""";"=""55.10""";"=""60""";"=""65""";"=""69""";"=""69""";"=""80""";"=""*86""";"=""*86""";"=""80""";"=""149""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""4""";"=""m""";"=""1""";"=""---""";"=""---""";"=""ANDRIEUX Sylvain""";"=""26.12.1981""";"=""FRA""";"=""62""";"=""58.45""";"=""*100""";"=""*100""";"=""103""";"=""103""";"=""122""";"=""*127""";"=""*129""";"=""122""";"=""225""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""5""";"=""w""";"=""1""";"=""---""";"=""---""";"=""CHIQUET Agnes Charlotta Monique""";"=""24.10.1984""";"=""FRA""";"=""63""";"=""58.15""";"=""*80""";"=""80""";"=""*84""";"=""80""";"=""103""";"=""*106""";"=""*106""";"=""103""";"=""183""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""6""";"=""w""";"=""2""";"=""---""";"=""---""";"=""NAGY Nikoletta""";"=""23.08.1983""";"=""HUN""";"=""63""";"=""61.60""";"=""*77""";"=""77""";"=""*81""";"=""77""";"=""98""";"=""101""";"=""103""";"=""103""";"=""180""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""7""";"=""w""";"=""1""";"=""---""";"=""---""";"=""MERAL-SUNAR Muslime""";"=""16.07.1982""";"=""FRA""";"=""69""";"=""64.80""";"=""85""";"=""*88""";"=""88""";"=""88""";"=""105""";"=""108""";"=""*111""";"=""108""";"=""196""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""8""";"=""m""";"=""1""";"=""---""";"=""---""";"=""CAESEMAEKER Kevin Franck""";"=""13.10.1986""";"=""FRA""";"=""69""";"=""64.85""";"=""108""";"=""112""";"=""*116""";"=""112""";"=""137""";"=""142""";"=""145""";"=""145""";"=""257""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""9""";"=""m""";"=""2""";"=""---""";"=""---""";"=""AUCOUTURIER Yann""";"=""12.12.1986""";"=""FRA""";"=""69""";"=""65.25""";"=""105""";"=""110""";"=""115""";"=""115""";"=""127""";"=""135""";"=""140""";"=""140""";"=""255""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""10""";"=""m""";"=""3""";"=""---""";"=""---""";"=""BONNEL Eric""";"=""18.08.1974""";"=""FRA""";"=""69""";"=""62.80""";"=""80""";"=""*87""";"=""*87""";"=""80""";"=""85""";"=""0.0""";"=""0.0""";"=""85""";"=""165""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""11""";"=""m""";"=""1""";"=""---""";"=""---""";"=""DABAYA TIENTCHEU Vencelas""";"=""28.04.1981""";"=""FRA""";"=""77""";"=""73.45""";"=""140""";"=""145""";"=""*150""";"=""145""";"=""*180""";"=""180""";"=""*190""";"=""180""";"=""325""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
"=""12""";"=""m""";"=""1""";"=""---""";"=""---""";"=""MATAM MATAM David Hercule""";"=""05.06.1975""";"=""FRA""";"=""94""";"=""92.50""";"=""165""";"=""*170""";"=""*171""";"=""165""";"=""195""";"=""203""";"=""*207""";"=""203""";"=""368""";"=""2nd MONIQUE MAURICE CHALLENGE""";"=""09.2009""";
