pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""16""";"=""w""";"=""17""";"=""17""";"=""17""";"=""CANDELARIO Guillermina""";"=""19.08.1973""";"=""DOM""";"=""48""";"=""45.72""";"=""*65""";"=""*65""";"=""65""";"=""65""";"=""*85""";"=""85""";"=""*90""";"=""85""";"=""150""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""17""";"=""w""";"=""18""";"=""19""";"=""19""";"=""DAL Nevo Micol""";"=""27.11.1978""";"=""ITA""";"=""48""";"=""47.89""";"=""*65""";"=""*65""";"=""65""";"=""65""";"=""80""";"=""85""";"=""*87.5""";"=""85""";"=""150""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""18""";"=""w""";"=""19""";"=""22""";"=""20""";"=""SANTANA Wendy""";"=""01.01.1973""";"=""DOM""";"=""48""";"=""47.90""";"=""62.5""";"=""*67.5""";"=""*67.5""";"=""62.5""";"=""*82.5""";"=""82.5""";"=""85""";"=""85""";"=""147.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""19""";"=""w""";"=""20""";"=""18""";"=""23""";"=""GRACIA Betsabe""";"=""11.12.1981""";"=""MEX""";"=""48""";"=""47.73""";"=""62.5""";"=""*65""";"=""65""";"=""65""";"=""80""";"=""*82.5""";"=""*82.5""";"=""80""";"=""145""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""20""";"=""w""";"=""21""";"=""20""";"=""21""";"=""FOLDI Csilla""";"=""25.08.1968""";"=""HUN""";"=""48""";"=""47.82""";"=""*62.5""";"=""62.5""";"=""*70""";"=""62.5""";"=""82.5""";"=""*87.5""";"=""*87.5""";"=""82.5""";"=""145""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""21""";"=""w""";"=""22""";"=""21""";"=""22""";"=""FERNANDEZ Blanca""";"=""26.12.1976""";"=""ESP""";"=""48""";"=""47.84""";"=""*62.5""";"=""62.5""";"=""*65""";"=""62.5""";"=""*82.5""";"=""82.5""";"=""*87.5""";"=""82.5""";"=""145""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""22""";"=""w""";"=""23""";"=""23""";"=""25""";"=""VIREN Kaisa""";"=""13.01.1976""";"=""FIN""";"=""48""";"=""47.72""";"=""60""";"=""*62.5""";"=""*62.5""";"=""60""";"=""70""";"=""*75""";"=""*75""";"=""70""";"=""130""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""23""";"=""w""";"=""24""";"=""25""";"=""24""";"=""VALENTOVA Lubica""";"=""01.01.1971""";"=""SVK""";"=""48""";"=""46.78""";"=""52.5""";"=""*55""";"=""*57.5""";"=""52.5""";"=""67.5""";"=""70""";"=""*72.5""";"=""70""";"=""122.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""24""";"=""w""";"=""25""";"=""26""";"=""26""";"=""BRANDAO Susana""";"=""01.01.1979""";"=""POR""";"=""48""";"=""47.18""";"=""50""";"=""52.5""";"=""*55""";"=""52.5""";"=""65""";"=""*70""";"=""*70""";"=""65""";"=""117.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""25""";"=""w""";"=""26""";"=""27""";"=""28""";"=""NATAN Renata""";"=""04.07.1978""";"=""ISR""";"=""48""";"=""47.67""";"=""*45""";"=""45""";"=""*50""";"=""45""";"=""55""";"=""*60""";"=""*60""";"=""55""";"=""100""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
