pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""2""";"=""1""";"=""CAMPOVERDE ALMEIDA Angelica Mercedes""";"=""31.05.1996""";"=""ECU""";"=""48""";"=""48.00""";"=""71""";"=""73""";"=""*75""";"=""73""";"=""92""";"=""95""";"=""*97""";"=""95""";"=""168""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""1""";"=""w""";"=""2""";"=""1""";"=""3""";"=""OLIVEIRA MADEIRA Luana""";"=""31.01.1998""";"=""BRA""";"=""48""";"=""47.45""";"=""*74""";"=""74""";"=""77""";"=""77""";"=""90""";"=""*93""";"=""*94""";"=""90""";"=""167""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""2""";"=""ROSA FIGUEIREDO Emily""";"=""18.03.1998""";"=""BRA""";"=""48""";"=""47.25""";"=""67""";"=""71""";"=""*74""";"=""71""";"=""87""";"=""*91""";"=""91""";"=""91""";"=""162""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""4""";"=""QUINTANA MENDOZA Rosielis Coromoto""";"=""18.03.2000""";"=""VEN""";"=""48""";"=""47.00""";"=""*67""";"=""68""";"=""*72""";"=""68""";"=""83""";"=""87""";"=""*91""";"=""87""";"=""155""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""4""";"=""w""";"=""5""";"=""6""";"=""5""";"=""LANDEROS LOPEZ Katherine Ignacia""";"=""19.01.1991""";"=""CHI""";"=""48""";"=""47.75""";"=""62""";"=""*65""";"=""65""";"=""65""";"=""81""";"=""85""";"=""*88""";"=""85""";"=""150""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""5""";"=""w""";"=""6""";"=""5""";"=""6""";"=""ORTEGA VASQUEZ Erika Johanna""";"=""19.03.1988""";"=""PAN""";"=""48""";"=""47.70""";"=""63""";"=""65""";"=""*67""";"=""65""";"=""80""";"=""*83""";"=""*86""";"=""80""";"=""145""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""6""";"=""w""";"=""7""";"=""7""";"=""7""";"=""TORREZ Yessica""";"=""19.10.1993""";"=""BOL""";"=""48""";"=""47.05""";"=""*58""";"=""58""";"=""62""";"=""62""";"=""71""";"=""74""";"=""*77""";"=""74""";"=""136""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""7""";"=""w""";"=""8""";"=""8""";"=""8""";"=""HUANCA Aida""";"=""03.05.1998""";"=""BOL""";"=""48""";"=""47.15""";"=""40""";"=""*45""";"=""45""";"=""45""";"=""50""";"=""55""";"=""*60""";"=""55""";"=""100""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""8""";"=""w""";"=""1""";"=""1""";"=""2""";"=""SINISTERRA TORRES Yenny""";"=""04.05.2000""";"=""COL""";"=""53""";"=""52.90""";"=""82""";"=""84""";"=""86""";"=""86""";"=""101""";"=""104""";"=""107""";"=""107""";"=""193""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
"=""9""";"=""w""";"=""2""";"=""2""";"=""1""";"=""SANDI PIZANGO Tessy Karen""";"=""20.11.1996""";"=""PER""";"=""53""";"=""52.90""";"=""78""";"=""*81""";"=""81""";"=""81""";"=""103""";"=""107""";"=""*109""";"=""107""";"=""188""";"=""XI SOUTH AMERICAN GAMES""";"=""05.2018""";
