pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""2""";"=""1""";"=""SEGURA SEGURA Ana Iris""";"=""26.07.1991""";"=""COL""";"=""48""";"=""47.66""";"=""80""";"=""82""";"=""* 83""";"=""82""";"=""* 99""";"=""* 99""";"=""99""";"=""99""";"=""181""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""1""";"=""W""";"=""2""";"=""1""";"=""2""";"=""VASQUEZ HERNANDEZ Candida""";"=""02.12.1992""";"=""DOM""";"=""48""";"=""47.93""";"=""77""";"=""81""";"=""83""";"=""83""";"=""98""";"=""*102""";"=""*102""";"=""98""";"=""181""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""2""";"=""W""";"=""3""";"=""4""";"=""3""";"=""WINTERS Kathleen Danielle""";"=""04.03.1993""";"=""USA""";"=""48""";"=""47.95""";"=""* 72""";"=""72""";"=""75""";"=""75""";"=""90""";"=""92""";"=""93""";"=""93""";"=""168""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""3""";"=""W""";"=""4""";"=""3""";"=""4""";"=""BRADDOCK Amanda Melissa""";"=""10.02.1989""";"=""CAN""";"=""48""";"=""47.77""";"=""* 75""";"=""* 75""";"=""75""";"=""75""";"=""87""";"=""90""";"=""92""";"=""92""";"=""167""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""4""";"=""W""";"=""5""";"=""6""";"=""6""";"=""BURGOS ORTIZ Lely Berlitt""";"=""06.06.1985""";"=""PUR""";"=""48""";"=""47.69""";"=""67""";"=""* 70""";"=""70""";"=""70""";"=""87""";"=""* 90""";"=""* 90""";"=""87""";"=""157""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""5""";"=""W""";"=""6""";"=""5""";"=""7""";"=""REXROAD Kelly Elizabeth""";"=""30.03.1978""";"=""USA""";"=""48""";"=""47.69""";"=""67""";"=""69""";"=""70""";"=""70""";"=""80""";"=""* 84""";"=""86""";"=""86""";"=""156""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""6""";"=""W""";"=""7""";"=""8""";"=""5""";"=""CUEVA URIBE Fiorella Francesca""";"=""04.02.1998""";"=""PER""";"=""48""";"=""47.16""";"=""62""";"=""65""";"=""* 67""";"=""65""";"=""84""";"=""88""";"=""90""";"=""90""";"=""155""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""7""";"=""W""";"=""8""";"=""7""";"=""9""";"=""BERMUDEZ PEREZ Elianny""";"=""19.01.1996""";"=""CUB""";"=""48""";"=""47.72""";"=""62""";"=""65""";"=""68""";"=""68""";"=""82""";"=""* 85""";"=""85""";"=""85""";"=""153""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""8""";"=""W""";"=""9""";"=""9""";"=""8""";"=""REYNOSO LOPEZ DE GALEANO Margoth Y.""";"=""25.02.1989""";"=""GUA""";"=""48""";"=""47.62""";"=""65""";"=""* 70""";"=""* 70""";"=""65""";"=""* 80""";"=""80""";"=""85""";"=""85""";"=""150""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""9""";"=""W""";"=""10""";"=""10""";"=""10""";"=""RIOS MENDOZA Maria Leonor""";"=""13.01.1993""";"=""NCA""";"=""48""";"=""47.37""";"=""57""";"=""60""";"=""* 63""";"=""60""";"=""* 75""";"=""75""";"=""79""";"=""79""";"=""139""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""10""";"=""W""";"=""11""";"=""11""";"=""11""";"=""ORTEGA VASQUEZ Erika Johanna""";"=""19.03.1988""";"=""PAN""";"=""48""";"=""47.48""";"=""* 50""";"=""50""";"=""52""";"=""52""";"=""63""";"=""* 68""";"=""68""";"=""68""";"=""120""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""11""";"=""W""";"=""12""";"=""12""";"=""12""";"=""PINEDA VEGA Aley Cristina""";"=""13.06.1997""";"=""PAN""";"=""48""";"=""47.55""";"=""43""";"=""46""";"=""48""";"=""48""";"=""* 58""";"=""58""";"=""* 61""";"=""58""";"=""106""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""12""";"=""W""";"=""1""";"=""1""";"=""2""";"=""PIRON CANDELARIO Beatriz Elizabeth""";"=""27.02.1995""";"=""DOM""";"=""53""";"=""49.80""";"=""87""";"=""90""";"=""91""";"=""91""";"=""105""";"=""108""";"=""*111""";"=""108""";"=""199""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""13""";"=""W""";"=""2""";"=""3""";"=""1""";"=""LEMOS ROBLEDO Ana Margot""";"=""24.04.1986""";"=""COL""";"=""53""";"=""52.72""";"=""* 85""";"=""* 85""";"=""85""";"=""85""";"=""107""";"=""109""";"=""*115""";"=""109""";"=""194""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""14""";"=""W""";"=""3""";"=""2""";"=""6""";"=""KING Morghan Whitney""";"=""08.10.1985""";"=""USA""";"=""53""";"=""51.29""";"=""* 80""";"=""80""";"=""85""";"=""85""";"=""100""";"=""*105""";"=""*105""";"=""100""";"=""185""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""15""";"=""W""";"=""4""";"=""4""";"=""3""";"=""SILVESTRE VELGAR Yafreisy""";"=""06.01.1995""";"=""DOM""";"=""53""";"=""52.79""";"=""* 78""";"=""78""";"=""* 83""";"=""78""";"=""100""";"=""104""";"=""106""";"=""106""";"=""184""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""16""";"=""W""";"=""5""";"=""5""";"=""5""";"=""HOGAN Caitlin Leigh""";"=""22.05.1988""";"=""USA""";"=""53""";"=""52.96""";"=""75""";"=""* 78""";"=""78""";"=""78""";"=""*102""";"=""102""";"=""*105""";"=""102""";"=""180""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""17""";"=""W""";"=""6""";"=""6""";"=""7""";"=""GUZMAN PEREZ Gilyeliz Saned""";"=""28.10.1996""";"=""PUR""";"=""53""";"=""52.86""";"=""70""";"=""75""";"=""77""";"=""77""";"=""90""";"=""95""";"=""100""";"=""100""";"=""177""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""18""";"=""W""";"=""7""";"=""9""";"=""8""";"=""VERA Gabriela Yoshie""";"=""05.10.1985""";"=""CHI""";"=""53""";"=""52.72""";"=""* 70""";"=""70""";"=""73""";"=""73""";"=""90""";"=""93""";"=""99""";"=""99""";"=""172""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""19""";"=""W""";"=""8""";"=""7""";"=""10""";"=""MURCIA VARGAS Genesis Nohemy""";"=""18.09.1990""";"=""ESA""";"=""53""";"=""51.91""";"=""70""";"=""72""";"=""75""";"=""75""";"=""90""";"=""* 94""";"=""* 94""";"=""90""";"=""165""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""20""";"=""W""";"=""9""";"=""8""";"=""11""";"=""GONZALEZ GALA Niulis Poroye""";"=""29.08.1997""";"=""CUB""";"=""53""";"=""52.51""";"=""71""";"=""73""";"=""* 76""";"=""73""";"=""90""";"=""* 93""";"=""* 94""";"=""90""";"=""163""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""21""";"=""W""";"=""10""";"=""10""";"=""9""";"=""LOY DIAZ Aliuska""";"=""11.07.1996""";"=""CUB""";"=""53""";"=""52.31""";"=""* 65""";"=""65""";"=""68""";"=""68""";"=""88""";"=""92""";"=""* 95""";"=""92""";"=""160""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""22""";"=""W""";"=""11""";"=""11""";"=""12""";"=""RITO ENOCKSSON Sofia Julia""";"=""02.11.1985""";"=""URU""";"=""53""";"=""52.88""";"=""64""";"=""67""";"=""* 70""";"=""67""";"=""* 83""";"=""83""";"=""87""";"=""87""";"=""154""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""23""";"=""W""";"=""12""";"=""12""";"=""13""";"=""PALACIOS PORTILLO Flor De Maria""";"=""26.12.1990""";"=""ESA""";"=""53""";"=""51.01""";"=""60""";"=""63""";"=""65""";"=""65""";"=""80""";"=""85""";"=""* 87""";"=""85""";"=""150""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""24""";"=""W""";"=""13""";"=""15""";"=""14""";"=""COJOM PAC DE ANDRES Elida Magdalena""";"=""22.07.1986""";"=""GUA""";"=""53""";"=""52.63""";"=""* 60""";"=""65""";"=""* 67""";"=""65""";"=""80""";"=""83""";"=""* 85""";"=""83""";"=""148""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""25""";"=""W""";"=""14""";"=""13""";"=""15""";"=""CARRERO ASPAJO Jeidy""";"=""30.01.1999""";"=""PER""";"=""53""";"=""52.11""";"=""* 61""";"=""61""";"=""65""";"=""65""";"=""79""";"=""82""";"=""* 84""";"=""82""";"=""147""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""26""";"=""W""";"=""15""";"=""14""";"=""16""";"=""CAPPONI Georgina Caren""";"=""28.02.1988""";"=""ARG""";"=""53""";"=""52.56""";"=""61""";"=""65""";"=""* 68""";"=""65""";"=""78""";"=""* 82""";"=""* 84""";"=""78""";"=""143""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
"=""27""";"=""W""";"=""17""";"=""17""";"=""18""";"=""DE GRACIA RECUERO Daysi Yaneth""";"=""22.04.1990""";"=""PAN""";"=""53""";"=""51.69""";"=""52""";"=""56""";"=""* 58""";"=""56""";"=""* 65""";"=""65""";"=""* 68""";"=""65""";"=""121""";"=""2016 PAN-AMERICAN CHAMPIONSHIPS""";"=""06.2016""";
