pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TIBON Lomina""";"=""17.12.1994""";"=""MHL""";"=""48""";"=""47.20""";"=""56""";"=""58""";"=""60""";"=""60""";"=""74""";"=""78""";"=""80""";"=""80""";"=""140""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""1""";"=""W""";"=""2""";"=""3""";"=""2""";"=""TOUA Thelma Mea""";"=""30.03.1991""";"=""PNG""";"=""48""";"=""46.95""";"=""* 55""";"=""* 55""";"=""55""";"=""55""";"=""65""";"=""70""";"=""75""";"=""75""";"=""130""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""2""";"=""W""";"=""3""";"=""2""";"=""3""";"=""MALANI Seruwaia""";"=""01.03.1993""";"=""FIJ""";"=""48""";"=""46.65""";"=""52""";"=""* 56""";"=""56""";"=""56""";"=""63""";"=""67""";"=""* 70""";"=""67""";"=""123""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""3""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TOUA Loa Dika""";"=""23.06.1984""";"=""PNG""";"=""53""";"=""52.80""";"=""70""";"=""75""";"=""80""";"=""80""";"=""100""";"=""105""";"=""*110""";"=""105""";"=""185""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""4""";"=""W""";"=""2""";"=""2""";"=""2""";"=""SAGONE Ulina Tinaiadivila""";"=""18.02.1998""";"=""FIJ""";"=""53""";"=""52.25""";"=""53""";"=""57""";"=""60""";"=""60""";"=""67""";"=""72""";"=""* 76""";"=""72""";"=""132""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""5""";"=""M""";"=""1""";"=""1""";"=""1""";"=""TULO Manueli""";"=""25.03.1990""";"=""FIJ""";"=""56""";"=""55.60""";"=""95""";"=""100""";"=""103""";"=""103""";"=""115""";"=""122""";"=""*128""";"=""122""";"=""225""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""6""";"=""M""";"=""2""";"=""2""";"=""2""";"=""OALA Fred Karoho""";"=""12.09.1996""";"=""PNG""";"=""56""";"=""55.70""";"=""84""";"=""* 88""";"=""* 88""";"=""84""";"=""*110""";"=""110""";"=""*120""";"=""110""";"=""194""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""7""";"=""M""";"=""3""";"=""3""";"=""3""";"=""KATOATAU Ruben""";"=""09.02.1997""";"=""KIR""";"=""56""";"=""55.45""";"=""65""";"=""70""";"=""76""";"=""76""";"=""85""";"=""90""";"=""96""";"=""96""";"=""172""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""8""";"=""M""";"=""4""";"=""4""";"=""4""";"=""SIMMONS Gabriel Sakiusa""";"=""24.02.1999""";"=""FIJ""";"=""56""";"=""55.70""";"=""60""";"=""67""";"=""* 75""";"=""67""";"=""75""";"=""80""";"=""84""";"=""84""";"=""151""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""9""";"=""M""";"=""5""";"=""5""";"=""5""";"=""DEKARUBE Rayvon""";"=""18.07.1998""";"=""NRU""";"=""56""";"=""55.65""";"=""57""";"=""* 62""";"=""* 62""";"=""57""";"=""70""";"=""75""";"=""80""";"=""80""";"=""137""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
"=""10""";"=""W""";"=""1""";"=""1""";"=""1""";"=""WINI Jenly Tegu""";"=""09.06.1983""";"=""SOL""";"=""58""";"=""57.40""";"=""75""";"=""80""";"=""* 84""";"=""80""";"=""103""";"=""*110""";"=""*110""";"=""103""";"=""183""";"=""2014 SOUTH PACIFIC CHAMPIONSHIPS""";"=""05.2014""";
