pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""16""";"=""w""";"=""11""";"=""---""";"=""---""";"=""GATT Nicole""";"=""11.01.1997""";"=""MLT""";"=""53""";"=""52.37""";"=""0.0""";"=""0.0""";"=""0.0""";"=""50""";"=""0.0""";"=""0.0""";"=""0.0""";"=""68""";"=""118""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""17""";"=""m""";"=""1""";"=""---""";"=""---""";"=""DEY Sukhen""";"=""28.03.1989""";"=""IND""";"=""56""";"=""55.64""";"=""0.0""";"=""0.0""";"=""0.0""";"=""114""";"=""0.0""";"=""0.0""";"=""0.0""";"=""140""";"=""254""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""18""";"=""m""";"=""2""";"=""---""";"=""---""";"=""PALANGASINGHE D. K. T. W. K.""";"=""26.10.1993""";"=""SRI""";"=""56""";"=""55.90""";"=""0.0""";"=""0.0""";"=""0.0""";"=""106""";"=""0.0""";"=""0.0""";"=""0.0""";"=""135""";"=""241""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""19""";"=""m""";"=""3""";"=""---""";"=""---""";"=""CHANDADARA SIRISENAGE Sangeeth P.W.""";"=""01.12.1984""";"=""SRI""";"=""56""";"=""55.84""";"=""0.0""";"=""0.0""";"=""0.0""";"=""103""";"=""0.0""";"=""0.0""";"=""0.0""";"=""130""";"=""233""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""20""";"=""m""";"=""4""";"=""---""";"=""---""";"=""PHILLIPS Anrich Morico""";"=""17.10.1992""";"=""RSA""";"=""56""";"=""55.90""";"=""0.0""";"=""0.0""";"=""0.0""";"=""90""";"=""0.0""";"=""0.0""";"=""0.0""";"=""131""";"=""221""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""21""";"=""m""";"=""5""";"=""---""";"=""---""";"=""BARU Morea""";"=""15.04.1990""";"=""PNG""";"=""56""";"=""55.64""";"=""0.0""";"=""0.0""";"=""0.0""";"=""95""";"=""0.0""";"=""0.0""";"=""0.0""";"=""125""";"=""220""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""22""";"=""m""";"=""6""";"=""---""";"=""---""";"=""GIWA Taju""";"=""09.12.1992""";"=""NGR""";"=""56""";"=""55.40""";"=""0.0""";"=""0.0""";"=""0.0""";"=""98""";"=""0.0""";"=""0.0""";"=""0.0""";"=""117""";"=""215""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""23""";"=""m""";"=""7""";"=""---""";"=""---""";"=""GUINARES Lou""";"=""18.03.1990""";"=""NZL""";"=""56""";"=""55.56""";"=""0.0""";"=""0.0""";"=""0.0""";"=""88""";"=""0.0""";"=""0.0""";"=""0.0""";"=""115""";"=""203""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""24""";"=""m""";"=""---""";"=""---""";"=""---""";"=""MARC Jonathan""";"=""13.11.1989""";"=""MRI""";"=""56""";"=""55.85""";"=""0.0""";"=""0.0""";"=""0.0""";"=""95""";"=""0.0""";"=""0.0""";"=""0.0""";"=""---""";"=""0""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""25""";"=""w""";"=""1""";"=""---""";"=""---""";"=""WINIFRED Ndidi Eze""";"=""22.09.1988""";"=""NGR""";"=""58""";"=""57.33""";"=""0.0""";"=""0.0""";"=""0.0""";"=""87""";"=""0.0""";"=""0.0""";"=""0.0""";"=""113""";"=""200""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""26""";"=""w""";"=""2""";"=""---""";"=""---""";"=""AGRICOLE Clementina Ciana""";"=""18.07.1988""";"=""SEY""";"=""58""";"=""57.52""";"=""0.0""";"=""0.0""";"=""0.0""";"=""85""";"=""0.0""";"=""0.0""";"=""0.0""";"=""105""";"=""190""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""27""";"=""w""";"=""3""";"=""---""";"=""---""";"=""SETHI Minati""";"=""11.02.1990""";"=""IND""";"=""58""";"=""57.83""";"=""0.0""";"=""0.0""";"=""0.0""";"=""80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""110""";"=""190""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""28""";"=""w""";"=""4""";"=""---""";"=""---""";"=""LEE Seen""";"=""15.11.1982""";"=""AUS""";"=""58""";"=""57.94""";"=""0.0""";"=""0.0""";"=""0.0""";"=""84""";"=""0.0""";"=""0.0""";"=""0.0""";"=""106""";"=""190""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""29""";"=""w""";"=""5""";"=""---""";"=""---""";"=""WINI Jenly Tegu""";"=""09.06.1983""";"=""SOL""";"=""58""";"=""57.49""";"=""0.0""";"=""0.0""";"=""0.0""";"=""83""";"=""0.0""";"=""0.0""";"=""0.0""";"=""105""";"=""188""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""30""";"=""w""";"=""6""";"=""---""";"=""---""";"=""UWAH Margaret Effiong""";"=""01.01.1992""";"=""NGR""";"=""58""";"=""57.92""";"=""0.0""";"=""0.0""";"=""0.0""";"=""77""";"=""0.0""";"=""0.0""";"=""0.0""";"=""105""";"=""182""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""31""";"=""w""";"=""7""";"=""---""";"=""---""";"=""FRENCEAY Titus""";"=""12.01.1991""";"=""MAS""";"=""58""";"=""57.75""";"=""0.0""";"=""0.0""";"=""0.0""";"=""77""";"=""0.0""";"=""0.0""";"=""0.0""";"=""95""";"=""172""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""32""";"=""w""";"=""8""";"=""---""";"=""---""";"=""KOPPARTHI Shireesha""";"=""19.06.1993""";"=""IND""";"=""58""";"=""57.64""";"=""73""";"=""0.0""";"=""0.0""";"=""73""";"=""0.0""";"=""0.0""";"=""0.0""";"=""95""";"=""168""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""33""";"=""w""";"=""9""";"=""---""";"=""---""";"=""MJEZU Zayanda""";"=""21.08.1992""";"=""RSA""";"=""58""";"=""57.86""";"=""0.0""";"=""0.0""";"=""0.0""";"=""69""";"=""0.0""";"=""0.0""";"=""0.0""";"=""93""";"=""162""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""34""";"=""w""";"=""10""";"=""---""";"=""---""";"=""MALVINA Juliette Ruby Rita""";"=""22.05.1984""";"=""SEY""";"=""58""";"=""57.11""";"=""0.0""";"=""0.0""";"=""0.0""";"=""65""";"=""0.0""";"=""0.0""";"=""0.0""";"=""96""";"=""161""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""35""";"=""w""";"=""11""";"=""---""";"=""---""";"=""AKTAR Mabia""";"=""07.10.1999""";"=""BAN""";"=""58""";"=""57.68""";"=""0.0""";"=""0.0""";"=""0.0""";"=""65""";"=""0.0""";"=""0.0""";"=""0.0""";"=""86""";"=""151""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""36""";"=""w""";"=""12""";"=""---""";"=""---""";"=""SMYTH Sophie""";"=""01.01.1993""";"=""SCO""";"=""58""";"=""57.93""";"=""0.0""";"=""0.0""";"=""0.0""";"=""65""";"=""0.0""";"=""0.0""";"=""0.0""";"=""80""";"=""145""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""37""";"=""w""";"=""13""";"=""---""";"=""---""";"=""KASSMAN Monalisa Naime""";"=""05.11.1992""";"=""PNG""";"=""58""";"=""57.72""";"=""0.0""";"=""0.0""";"=""0.0""";"=""60""";"=""0.0""";"=""0.0""";"=""0.0""";"=""80""";"=""140""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""38""";"=""w""";"=""14""";"=""---""";"=""---""";"=""UMEIRA Mohideen""";"=""01.01.1993""";"=""SRI""";"=""58""";"=""57.46""";"=""0.0""";"=""0.0""";"=""0.0""";"=""53""";"=""0.0""";"=""0.0""";"=""0.0""";"=""71""";"=""124""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""39""";"=""m""";"=""1""";"=""---""";"=""---""";"=""IOANE Vaipava Nevo""";"=""14.04.1988""";"=""SAM""";"=""62""";"=""61.90""";"=""0.0""";"=""0.0""";"=""0.0""";"=""112""";"=""0.0""";"=""0.0""";"=""0.0""";"=""151""";"=""263""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""40""";"=""m""";"=""2""";"=""---""";"=""---""";"=""DISSANAYAKE MUDIYANSELAGE Indika C. D.""";"=""06.08.1989""";"=""SRI""";"=""62""";"=""61.98""";"=""0.0""";"=""0.0""";"=""0.0""";"=""116""";"=""0.0""";"=""0.0""";"=""0.0""";"=""146""";"=""262""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""41""";"=""m""";"=""3""";"=""---""";"=""---""";"=""DILLI Senthamizh Selvan""";"=""26.06.1987""";"=""IND""";"=""62""";"=""61.99""";"=""0.0""";"=""0.0""";"=""0.0""";"=""116""";"=""0.0""";"=""0.0""";"=""0.0""";"=""142""";"=""258""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""42""";"=""m""";"=""4""";"=""---""";"=""---""";"=""BIN HASIBULAH Mohd Fauzi """;"=""27.02.1989""";"=""MAS""";"=""62""";"=""61.75""";"=""0.0""";"=""0.0""";"=""0.0""";"=""115""";"=""0.0""";"=""0.0""";"=""0.0""";"=""141""";"=""256""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""43""";"=""m""";"=""5""";"=""---""";"=""---""";"=""GUINARES Ianne Ernesto Vergara""";"=""12.01.1988""";"=""NZL""";"=""62""";"=""61.29""";"=""0.0""";"=""0.0""";"=""0.0""";"=""111""";"=""0.0""";"=""0.0""";"=""0.0""";"=""141""";"=""252""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
