pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""2""";"=""1""";"=""PARATOVA Iuliia""";"=""07.11.1986""";"=""UKR""";"=""53""";"=""52.43""";"=""85""";"=""88""";"=""* 91""";"=""88""";"=""99""";"=""102""";"=""*105""";"=""102""";"=""190""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""1""";"=""W""";"=""2""";"=""3""";"=""2""";"=""IVANOVA Maya Petrova""";"=""05.06.1991""";"=""BUL""";"=""53""";"=""52.83""";"=""72""";"=""75""";"=""77""";"=""77""";"=""93""";"=""96""";"=""* 99""";"=""96""";"=""173""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""2""";"=""W""";"=""3""";"=""4""";"=""3""";"=""BERCHI Dana Alexandra""";"=""11.03.1990""";"=""ROU""";"=""53""";"=""52.72""";"=""70""";"=""74""";"=""76""";"=""76""";"=""85""";"=""89""";"=""* 91""";"=""89""";"=""165""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""3""";"=""W""";"=""4""";"=""5""";"=""7""";"=""YELISSEYEVA Margarita""";"=""20.07.1992""";"=""KAZ""";"=""53""";"=""52.36""";"=""65""";"=""70""";"=""73""";"=""73""";"=""85""";"=""* 90""";"=""---""";"=""85""";"=""158""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""4""";"=""W""";"=""5""";"=""6""";"=""5""";"=""PAYNE Jaque Tiara""";"=""13.12.1987""";"=""USA""";"=""53""";"=""52.93""";"=""70""";"=""* 74""";"=""* 74""";"=""70""";"=""83""";"=""86""";"=""* 89""";"=""86""";"=""156""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""5""";"=""W""";"=""6""";"=""7""";"=""6""";"=""KOHA Rebeka""";"=""19.05.1998""";"=""LAT""";"=""53""";"=""48.50""";"=""67""";"=""69""";"=""* 71""";"=""69""";"=""79""";"=""82""";"=""85""";"=""85""";"=""154""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""6""";"=""W""";"=""7""";"=""8""";"=""4""";"=""OKOEVA Zhanyl""";"=""15.11.1993""";"=""KGZ""";"=""53""";"=""48.80""";"=""60""";"=""64""";"=""* 66""";"=""64""";"=""85""";"=""* 88""";"=""88""";"=""88""";"=""152""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""7""";"=""W""";"=""8""";"=""9""";"=""8""";"=""LASKER Revital""";"=""04.05.1998""";"=""ISR""";"=""53""";"=""52.40""";"=""50""";"=""53""";"=""54""";"=""54""";"=""60""";"=""* 63""";"=""63""";"=""63""";"=""117""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""8""";"=""W""";"=""9""";"=""10""";"=""9""";"=""SZABO Dominika""";"=""23.09.1997""";"=""HUN""";"=""53""";"=""51.00""";"=""40""";"=""43""";"=""* 45""";"=""43""";"=""50""";"=""55""";"=""57""";"=""57""";"=""100""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
"=""9""";"=""W""";"=""10""";"=""11""";"=""10""";"=""JOVANOVIC Anica""";"=""26.11.1994""";"=""SRB""";"=""53""";"=""52.40""";"=""* 40""";"=""42""";"=""* 44""";"=""42""";"=""52""";"=""54""";"=""* 56""";"=""54""";"=""96""";"=""2013 IWF GRAND PRIX & 2nd BAKU INTERNATIONAL CUP""";"=""12.2013""";
