pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""ERDOGAN Saziye""";"=""23.02.1992""";"=""TUR""";"=""48""";"=""47.78""";"=""74""";"=""*77""";"=""78""";"=""78""";"=""93""";"=""96""";"=""*101""";"=""96""";"=""174""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""2""";"=""MICHEL Anais""";"=""12.01.1988""";"=""FRA""";"=""48""";"=""47.86""";"=""75""";"=""*78""";"=""*79""";"=""75""";"=""92""";"=""*95""";"=""*97""";"=""92""";"=""167""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""2""";"=""w""";"=""3""";"=""4""";"=""3""";"=""AHMED Heba Saleh Mahmoud""";"=""03.07.1996""";"=""EGY""";"=""48""";"=""47.42""";"=""67""";"=""71""";"=""*73""";"=""71""";"=""91""";"=""*94""";"=""*96""";"=""91""";"=""162""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""3""";"=""w""";"=""4""";"=""5""";"=""4""";"=""KARAKOL Gamze""";"=""15.12.1998""";"=""TUR""";"=""48""";"=""47.62""";"=""70""";"=""*73""";"=""*73""";"=""70""";"=""90""";"=""*92""";"=""*93""";"=""90""";"=""160""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""4""";"=""w""";"=""5""";"=""3""";"=""5""";"=""PAGLIARO Alessandra""";"=""16.07.1997""";"=""ITA""";"=""48""";"=""44.84""";"=""*70""";"=""72""";"=""*76""";"=""72""";"=""85""";"=""*90""";"=""*91""";"=""85""";"=""157""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""5""";"=""w""";"=""6""";"=""7""";"=""6""";"=""PIPILIARIDOU Maria""";"=""30.09.1986""";"=""GRE""";"=""48""";"=""47.84""";"=""62""";"=""*66""";"=""66""";"=""66""";"=""80""";"=""*86""";"=""*86""";"=""80""";"=""146""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""6""";"=""w""";"=""7""";"=""6""";"=""7""";"=""CHIHI Zohra""";"=""27.08.1994""";"=""TUN""";"=""48""";"=""47.82""";"=""63""";"=""66""";"=""*70""";"=""66""";"=""*75""";"=""75""";"=""80""";"=""80""";"=""146""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""7""";"=""w""";"=""1""";"=""1""";"=""1""";"=""LOMBARDO Jennifer""";"=""24.06.1991""";"=""ITA""";"=""53""";"=""52.30""";"=""81""";"=""*84""";"=""85""";"=""85""";"=""105""";"=""108""";"=""*111""";"=""108""";"=""193""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""8""";"=""w""";"=""2""";"=""2""";"=""4""";"=""HERNANDEZ MARTIN Atenery""";"=""10.12.1994""";"=""ESP""";"=""53""";"=""52.94""";"=""80""";"=""*82""";"=""*82""";"=""80""";"=""98""";"=""*101""";"=""*101""";"=""98""";"=""178""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
"=""9""";"=""w""";"=""3""";"=""3""";"=""3""";"=""LORENTZ Manon Camille""";"=""17.07.1991""";"=""FRA""";"=""53""";"=""51.38""";"=""79""";"=""*81""";"=""*82""";"=""79""";"=""97""";"=""99""";"=""*101""";"=""99""";"=""178""";"=""XVIII MEDITERRANEAN GAMES""";"=""06.2018""";
