pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""BERRIO ZULUAGA Manuela Andrea""";"=""18.06.2000""";"=""COL""";"=""44""";"=""43.70""";"=""57""";"=""59""";"=""61""";"=""61""";"=""78""";"=""*82""";"=""82""";"=""82""";"=""143""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""1""";"=""w""";"=""2""";"=""3""";"=""2""";"=""QUINTANA MENDOZA Rosielis Coromoto""";"=""18.03.2000""";"=""VEN""";"=""44""";"=""43.55""";"=""55""";"=""58""";"=""59""";"=""59""";"=""70""";"=""74""";"=""77""";"=""77""";"=""136""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""2""";"=""w""";"=""3""";"=""2""";"=""3""";"=""BORREGO PALACIOS Irene Esmeralda""";"=""03.11.2001""";"=""MEX""";"=""44""";"=""43.60""";"=""55""";"=""*59""";"=""60""";"=""60""";"=""67""";"=""70""";"=""*75""";"=""70""";"=""130""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""3""";"=""w""";"=""4""";"=""5""";"=""4""";"=""NAVARRO MEJIA Maria Alejandra""";"=""03.07.1998""";"=""NCA""";"=""44""";"=""43.40""";"=""46""";"=""48""";"=""50""";"=""50""";"=""63""";"=""67""";"=""*70""";"=""67""";"=""117""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""4""";"=""w""";"=""5""";"=""4""";"=""7""";"=""CUERO AYOVI Jerika Dayana""";"=""18.12.1999""";"=""ECU""";"=""44""";"=""43.80""";"=""*50""";"=""50""";"=""53""";"=""53""";"=""62""";"=""*67""";"=""*67""";"=""62""";"=""115""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""5""";"=""w""";"=""6""";"=""7""";"=""5""";"=""LAHUANAMPA CASTILLO Melina Alicia""";"=""18.12.1999""";"=""PER""";"=""44""";"=""43.25""";"=""44""";"=""47""";"=""*50""";"=""47""";"=""60""";"=""*64""";"=""64""";"=""64""";"=""111""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""6""";"=""w""";"=""7""";"=""6""";"=""6""";"=""LAHUANAMPA CASTILLO Lourdes Mercedes""";"=""12.10.2002""";"=""PER""";"=""44""";"=""42.95""";"=""43""";"=""46""";"=""48""";"=""48""";"=""55""";"=""60""";"=""62""";"=""62""";"=""110""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""7""";"=""w""";"=""8""";"=""8""";"=""8""";"=""ARAYA SOLANO Melison Dayhana""";"=""08.01.1999""";"=""CRC""";"=""44""";"=""44.00""";"=""*38""";"=""40""";"=""*45""";"=""40""";"=""50""";"=""*55""";"=""*55""";"=""50""";"=""90""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""8""";"=""w""";"=""1""";"=""1""";"=""1""";"=""OLIVEIRA MADEIRA Luana""";"=""31.01.1998""";"=""BRA""";"=""48""";"=""47.30""";"=""72""";"=""75""";"=""*78""";"=""75""";"=""85""";"=""*88""";"=""90""";"=""90""";"=""165""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""9""";"=""w""";"=""2""";"=""2""";"=""2""";"=""SINISTERRA TORRES Yenny""";"=""04.05.2000""";"=""COL""";"=""48""";"=""47.50""";"=""*63""";"=""67""";"=""71""";"=""71""";"=""87""";"=""90""";"=""*91""";"=""90""";"=""161""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""10""";"=""w""";"=""3""";"=""5""";"=""3""";"=""CUEVA URIBE Fiorella Francesca""";"=""04.02.1998""";"=""PER""";"=""48""";"=""46.40""";"=""*60""";"=""60""";"=""63""";"=""63""";"=""84""";"=""87""";"=""89""";"=""89""";"=""152""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
"=""11""";"=""w""";"=""4""";"=""3""";"=""5""";"=""SEEGERT Megan Marie""";"=""07.07.1998""";"=""USA""";"=""48""";"=""47.30""";"=""65""";"=""68""";"=""*70""";"=""68""";"=""84""";"=""84""";"=""*87""";"=""84""";"=""152""";"=""PAN-AMERICAN YOUTH CHAMPIONSHIPS""";"=""09.2015""";
