pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""LEE Vivian""";"=""29.03.1978""";"=""AUS""";"=""48""";"=""47.28""";"=""60""";"=""* 63""";"=""* 63""";"=""60""";"=""78""";"=""81""";"=""* 87""";"=""81""";"=""141""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""HARE Kathleen""";"=""23.11.1987""";"=""PNG""";"=""48""";"=""47.22""";"=""* 55""";"=""55""";"=""* 60""";"=""55""";"=""72""";"=""77""";"=""* 80""";"=""77""";"=""132""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""3""";"=""ALIKLIK Utako""";"=""28.09.1991""";"=""NRU""";"=""48""";"=""47.66""";"=""50""";"=""55""";"=""* 60""";"=""55""";"=""72""";"=""77""";"=""* 80""";"=""77""";"=""132""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""3""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TOUA Loa Dika""";"=""23.06.1984""";"=""PNG""";"=""53""";"=""52.56""";"=""75""";"=""80""";"=""* 83""";"=""80""";"=""105""";"=""110""";"=""*115""";"=""110""";"=""190""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""4""";"=""W""";"=""2""";"=""2""";"=""2""";"=""LATIF Nadeene""";"=""20.05.1978""";"=""AUS""";"=""53""";"=""52.58""";"=""58""";"=""61""";"=""* 63""";"=""61""";"=""78""";"=""* 80""";"=""---""";"=""78""";"=""139""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""5""";"=""W""";"=""3""";"=""3""";"=""3""";"=""KIMBU Gloria""";"=""14.09.1986""";"=""PNG""";"=""53""";"=""51.00""";"=""55""";"=""* 60""";"=""60""";"=""60""";"=""* 70""";"=""70""";"=""* 75""";"=""70""";"=""130""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""6""";"=""M""";"=""1""";"=""1""";"=""1""";"=""DOWABOBO Starron""";"=""05.09.1984""";"=""NRU""";"=""56""";"=""55.36""";"=""85""";"=""90""";"=""* 95""";"=""90""";"=""110""";"=""120""";"=""*130""";"=""120""";"=""210""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""7""";"=""M""";"=""2""";"=""2""";"=""2""";"=""KIVAVE Leo""";"=""06.08.1983""";"=""PNG""";"=""56""";"=""55.47""";"=""77""";"=""80""";"=""* 85""";"=""80""";"=""*102""";"=""*102""";"=""102""";"=""102""";"=""182""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""8""";"=""M""";"=""3""";"=""4""";"=""3""";"=""HEWAVITHARANA""";"=""23.05.1990""";"=""NZL""";"=""56""";"=""54.96""";"=""* 70""";"=""70""";"=""76""";"=""76""";"=""90""";"=""* 98""";"=""99""";"=""99""";"=""175""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""9""";"=""M""";"=""4""";"=""3""";"=""4""";"=""MADSEN Mathew Fraser""";"=""16.12.1991""";"=""NZL""";"=""56""";"=""54.72""";"=""70""";"=""75""";"=""78""";"=""78""";"=""90""";"=""95""";"=""*98""";"=""95""";"=""173""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""10""";"=""W""";"=""1""";"=""1""";"=""1""";"=""LEE Seen""";"=""15.11.1982""";"=""AUS""";"=""58""";"=""57.67""";"=""86""";"=""90""";"=""92""";"=""92""";"=""100""";"=""104""";"=""106""";"=""106""";"=""198""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""11""";"=""W""";"=""2""";"=""2""";"=""2""";"=""HALE Wendy""";"=""03.11.1987""";"=""SOL""";"=""58""";"=""57.51""";"=""65""";"=""70""";"=""75""";"=""75""";"=""80""";"=""90""";"=""* 95""";"=""90""";"=""165""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""12""";"=""W""";"=""3""";"=""3""";"=""3""";"=""KASSMAN Monalisa Naime""";"=""05.11.1992""";"=""PNG""";"=""58""";"=""55.46""";"=""* 50""";"=""50""";"=""* 55""";"=""50""";"=""70""";"=""* 75""";"=""75""";"=""75""";"=""125""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""13""";"=""M""";"=""1""";"=""1""";"=""1""";"=""MINGINFEL Manuel""";"=""28.09.1978""";"=""FSM""";"=""62""";"=""61.62""";"=""110""";"=""115""";"=""120""";"=""120""";"=""140""";"=""150""";"=""160""";"=""160""";"=""280""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""14""";"=""M""";"=""2""";"=""2""";"=""2""";"=""COLE Cody""";"=""28.05.1990""";"=""NZL""";"=""62""";"=""61.71""";"=""95""";"=""101""";"=""*105""";"=""101""";"=""117""";"=""124""";"=""*128""";"=""124""";"=""225""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""15""";"=""M""";"=""3""";"=""3""";"=""3""";"=""KARI Steven Kukuna""";"=""13.05.1993""";"=""PNG""";"=""62""";"=""61.50""";"=""*90""";"=""90""";"=""*95""";"=""90""";"=""120""";"=""*125""";"=""*125""";"=""120""";"=""210""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""16""";"=""M""";"=""4""";"=""5""";"=""4""";"=""AKUBOR Gad""";"=""03.08.1985""";"=""NRU""";"=""62""";"=""61.84""";"=""* 82""";"=""82""";"=""* 90""";"=""82""";"=""108""";"=""113""";"=""*120""";"=""113""";"=""195""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""17""";"=""M""";"=""5""";"=""4""";"=""5""";"=""LOLO Raygori""";"=""31.10.1984""";"=""PNG""";"=""62""";"=""59.93""";"=""80""";"=""85""";"=""87""";"=""87""";"=""105""";"=""*110""";"=""*110""";"=""105""";"=""192""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""18""";"=""M""";"=""6""";"=""6""";"=""6""";"=""ROBERTSON Marotea""";"=""07.05.1993""";"=""TAH""";"=""62""";"=""61.04""";"=""40""";"=""48""";"=""53""";"=""53""";"=""50""";"=""58""";"=""63""";"=""63""";"=""116""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""19""";"=""W""";"=""1""";"=""2""";"=""1""";"=""KARI Rita""";"=""03.09.1989""";"=""PNG""";"=""63""";"=""59.84""";"=""75""";"=""* 78""";"=""* 82""";"=""75""";"=""100""";"=""*107""";"=""107""";"=""107""";"=""182""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""20""";"=""W""";"=""2""";"=""1""";"=""3""";"=""WHITE Jacqueline Louise""";"=""23.02.1982""";"=""AUS""";"=""63""";"=""62.44""";"=""80""";"=""* 84""";"=""84""";"=""84""";"=""* 98""";"=""98""";"=""*102""";"=""98""";"=""182""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""21""";"=""W""";"=""3""";"=""3""";"=""2""";"=""PATRIS Alexandrina""";"=""02.02.1989""";"=""PLW""";"=""63""";"=""60.63""";"=""70""";"=""72""";"=""* 75""";"=""72""";"=""95""";"=""100""";"=""*104""";"=""100""";"=""172""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""22""";"=""W""";"=""4""";"=""4""";"=""4""";"=""TOGAGAE Faitoga""";"=""06.03.1989""";"=""SAM""";"=""63""";"=""62.28""";"=""* 65""";"=""65""";"=""70""";"=""70""";"=""85""";"=""90""";"=""95""";"=""95""";"=""165""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""23""";"=""W""";"=""5""";"=""5""";"=""6""";"=""BALEROS Yvette""";"=""03.04.1987""";"=""NZL""";"=""63""";"=""61.88""";"=""55""";"=""60""";"=""63""";"=""63""";"=""68""";"=""72""";"=""75""";"=""75""";"=""138""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""24""";"=""W""";"=""6""";"=""6""";"=""5""";"=""TYRELL Urima""";"=""08.01.1992""";"=""SAM""";"=""63""";"=""62.33""";"=""54""";"=""57""";"=""59""";"=""59""";"=""72""";"=""76""";"=""* 80""";"=""76""";"=""135""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""25""";"=""M""";"=""1""";"=""1""";"=""1""";"=""SPOONER Mark""";"=""12.12.1984""";"=""NZL""";"=""69""";"=""68.93""";"=""122""";"=""127""";"=""131""";"=""131""";"=""153""";"=""*158""";"=""*163""";"=""153""";"=""284""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""26""";"=""W""";"=""1""";"=""2""";"=""1""";"=""FOGAGNOLO Camilla Ursula Regina""";"=""31.05.1986""";"=""AUS""";"=""69""";"=""68.59""";"=""* 75""";"=""75""";"=""* 78""";"=""75""";"=""* 95""";"=""95""";"=""100""";"=""100""";"=""175""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""27""";"=""M""";"=""2""";"=""2""";"=""3""";"=""ALIKLIK Ika""";"=""16.09.1985""";"=""NRU""";"=""69""";"=""67.98""";"=""108""";"=""112""";"=""117""";"=""117""";"=""135""";"=""140""";"=""*145""";"=""140""";"=""257""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""28""";"=""W""";"=""2""";"=""3""";"=""2""";"=""AH KUOI Manu""";"=""14.10.1982""";"=""SAM""";"=""69""";"=""67.79""";"=""68""";"=""* 74""";"=""* 74""";"=""68""";"=""89""";"=""93""";"=""95""";"=""95""";"=""163""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""29""";"=""M""";"=""3""";"=""4""";"=""2""";"=""TEMAKE Tekaei""";"=""14.06.1986""";"=""KIR""";"=""69""";"=""68.41""";"=""95""";"=""103""";"=""*110""";"=""103""";"=""130""";"=""*140""";"=""143""";"=""143""";"=""246""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""30""";"=""W""";"=""3""";"=""1""";"=""4""";"=""GUBA Hale Mea""";"=""07.06.1986""";"=""PNG""";"=""69""";"=""65.26""";"=""70""";"=""* 75""";"=""75""";"=""75""";"=""* 85""";"=""85""";"=""* 90""";"=""85""";"=""160""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""31""";"=""M""";"=""4""";"=""3""";"=""4""";"=""PERIVE Toafitu""";"=""07.01.1985""";"=""SAM""";"=""69""";"=""68.06""";"=""103""";"=""*107""";"=""*107""";"=""103""";"=""140""";"=""*144""";"=""*144""";"=""140""";"=""243""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""32""";"=""W""";"=""4""";"=""4""";"=""3""";"=""LAMBRECH Chantal""";"=""22.02.1990""";"=""NZL""";"=""69""";"=""67.82""";"=""63""";"=""* 67""";"=""67""";"=""67""";"=""83""";"=""87""";"=""* 91""";"=""87""";"=""154""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""33""";"=""M""";"=""5""";"=""5""";"=""5""";"=""DEIRANAUW Bronco""";"=""04.03.1991""";"=""NRU""";"=""69""";"=""67.59""";"=""95""";"=""102""";"=""*107""";"=""102""";"=""125""";"=""135""";"=""*141""";"=""135""";"=""237""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""34""";"=""W""";"=""5""";"=""5""";"=""5""";"=""SALIMU Vanissa""";"=""08.10.1991""";"=""SAM""";"=""69""";"=""67.76""";"=""60""";"=""64""";"=""* 67""";"=""64""";"=""74""";"=""78""";"=""82""";"=""82""";"=""146""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""35""";"=""M""";"=""6""";"=""7""";"=""6""";"=""ESAU Logona""";"=""24.01.1986""";"=""TUV""";"=""69""";"=""68.41""";"=""90""";"=""95""";"=""*100""";"=""95""";"=""130""";"=""135""";"=""*140""";"=""135""";"=""230""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""36""";"=""W""";"=""6""";"=""6""";"=""6""";"=""MISO Edlynne""";"=""23.12.1988""";"=""PNG""";"=""69""";"=""64.03""";"=""60""";"=""* 65""";"=""* 65""";"=""60""";"=""77""";"=""* 83""";"=""* 83""";"=""77""";"=""137""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""37""";"=""M""";"=""7""";"=""6""";"=""7""";"=""RAMOHAKA Brown Chester""";"=""02.02.1988""";"=""SOL""";"=""69""";"=""68.15""";"=""85""";"=""90""";"=""95""";"=""95""";"=""115""";"=""122""";"=""*130""";"=""122""";"=""217""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
"=""38""";"=""W""";"=""7""";"=""7""";"=""7""";"=""BUCHIN Vahinearii""";"=""24.07.1987""";"=""TAH""";"=""69""";"=""66.42""";"=""40""";"=""43""";"=""45""";"=""45""";"=""55""";"=""* 60""";"=""* 60""";"=""55""";"=""100""";"=""OCEANIA SENIOR CHAMPIONSHIPS 2008""";"=""03.2008""";
