pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""2""";"=""1""";"=""VASQUEZ HERNANDEZ Candida""";"=""02.12.1992""";"=""DOM""";"=""48""";"=""47.90""";"=""74""";"=""77""";"=""79""";"=""79""";"=""93""";"=""*96""";"=""96""";"=""96""";"=""175""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""1""";"=""w""";"=""2""";"=""1""";"=""3""";"=""SILVESTRE SOSA Georgina Marieli""";"=""15.09.1991""";"=""DOM""";"=""48""";"=""47.62""";"=""75""";"=""77""";"=""79""";"=""79""";"=""91""";"=""*94""";"=""94""";"=""94""";"=""173""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""2""";"=""w""";"=""3""";"=""5""";"=""2""";"=""BURGOS ORTIZ Lely Berlitt""";"=""06.06.1985""";"=""PUR""";"=""48""";"=""47.74""";"=""70""";"=""73""";"=""*76""";"=""73""";"=""91""";"=""95""";"=""*97""";"=""95""";"=""168""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""4""";"=""KING Morghan Whitney""";"=""08.10.1985""";"=""USA""";"=""48""";"=""47.56""";"=""71""";"=""73""";"=""75""";"=""75""";"=""90""";"=""92""";"=""*95""";"=""92""";"=""167""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""4""";"=""w""";"=""5""";"=""3""";"=""5""";"=""SEGURA SEGURA Ana Iris""";"=""26.07.1991""";"=""COL""";"=""48""";"=""47.72""";"=""72""";"=""75""";"=""76""";"=""76""";"=""*90""";"=""90""";"=""*94""";"=""90""";"=""166""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""5""";"=""w""";"=""6""";"=""7""";"=""6""";"=""LOPEZ RIVERA Jenniffer Katherine""";"=""20.11.1990""";"=""ECU""";"=""48""";"=""47.94""";"=""63""";"=""67""";"=""70""";"=""70""";"=""85""";"=""*90""";"=""90""";"=""90""";"=""160""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""6""";"=""w""";"=""7""";"=""6""";"=""7""";"=""REXROAD Kelly Elizabeth""";"=""30.03.1978""";"=""USA""";"=""48""";"=""47.50""";"=""70""";"=""*72""";"=""*72""";"=""70""";"=""*87""";"=""87""";"=""*90""";"=""87""";"=""157""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""7""";"=""w""";"=""8""";"=""8""";"=""9""";"=""DA SILVA Lumma R.""";"=""26.01.1990""";"=""BRA""";"=""48""";"=""47.44""";"=""64""";"=""67""";"=""*70""";"=""67""";"=""84""";"=""*87""";"=""*87""";"=""84""";"=""151""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""8""";"=""w""";"=""9""";"=""9""";"=""8""";"=""MURCIA VARGAS Genesis Nohemy""";"=""18.09.1990""";"=""ESA""";"=""48""";"=""47.60""";"=""*63""";"=""63""";"=""65""";"=""65""";"=""80""";"=""83""";"=""85""";"=""85""";"=""150""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
"=""9""";"=""w""";"=""10""";"=""10""";"=""10""";"=""RIOS MENDOZA Maria Leonor""";"=""13.01.1993""";"=""NCA""";"=""48""";"=""47.42""";"=""60""";"=""63""";"=""*65""";"=""63""";"=""78""";"=""*81""";"=""81""";"=""81""";"=""144""";"=""PAN AMERICAN CHAMPIONSHIPS""";"=""05.2014""";
