pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""FANG Wan-Ling""";"=""01.12.1999""";"=""TPE""";"=""48""";"=""47.60""";"=""76""";"=""80""";"=""82""";"=""82""";"=""95""";"=""100""";"=""102""";"=""102""";"=""184""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""1""";"=""W""";"=""2""";"=""4""";"=""3""";"=""DALABEHERA Jhilli""";"=""03.02.1999""";"=""IND""";"=""48""";"=""47.85""";"=""67""";"=""70""";"=""73""";"=""73""";"=""87""";"=""90""";"=""93""";"=""93""";"=""166""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""2""";"=""W""";"=""3""";"=""5""";"=""2""";"=""DZHUMABAYEVA Yulduz""";"=""22.04.1998""";"=""TKM""";"=""48""";"=""47.60""";"=""71""";"=""* 74""";"=""* 74""";"=""71""";"=""* 90""";"=""93""";"=""* 96""";"=""93""";"=""164""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""3""";"=""W""";"=""4""";"=""6""";"=""4""";"=""PHAM Dinh Thi""";"=""05.10.2001""";"=""VIE""";"=""48""";"=""47.65""";"=""69""";"=""* 74""";"=""* 74""";"=""69""";"=""88""";"=""92""";"=""* 94""";"=""92""";"=""161""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""4""";"=""W""";"=""5""";"=""3""";"=""5""";"=""KHONG My Phuong""";"=""05.07.1999""";"=""VIE""";"=""48""";"=""47.35""";"=""71""";"=""74""";"=""75""";"=""75""";"=""80""";"=""85""";"=""* 88""";"=""85""";"=""160""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""5""";"=""W""";"=""6""";"=""7""";"=""7""";"=""BATNASAN Tungalag""";"=""07.07.1999""";"=""MGL""";"=""48""";"=""47.35""";"=""63""";"=""68""";"=""* 71""";"=""68""";"=""82""";"=""* 86""";"=""* 87""";"=""82""";"=""150""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""6""";"=""W""";"=""7""";"=""8""";"=""9""";"=""MUTO Rieru""";"=""14.04.2002""";"=""JPN""";"=""48""";"=""48.00""";"=""63""";"=""66""";"=""* 68""";"=""66""";"=""78""";"=""* 81""";"=""* 81""";"=""78""";"=""144""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""7""";"=""W""";"=""8""";"=""9""";"=""8""";"=""DIAZ Mary Flor""";"=""04.05.1999""";"=""PHI""";"=""48""";"=""47.25""";"=""63""";"=""* 67""";"=""* 67""";"=""63""";"=""75""";"=""79""";"=""81""";"=""81""";"=""144""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""8""";"=""W""";"=""9""";"=""11""";"=""6""";"=""GUPTA Pooja""";"=""08.10.1998""";"=""IND""";"=""48""";"=""47.65""";"=""* 60""";"=""60""";"=""* 64""";"=""60""";"=""80""";"=""* 84""";"=""84""";"=""84""";"=""144""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""9""";"=""W""";"=""10""";"=""10""";"=""10""";"=""ANDO Chisuzu""";"=""17.01.2001""";"=""JPN""";"=""48""";"=""47.95""";"=""58""";"=""60""";"=""* 62""";"=""60""";"=""75""";"=""* 78""";"=""* 78""";"=""75""";"=""135""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""10""";"=""W""";"=""11""";"=""12""";"=""11""";"=""AHMED Maryam Mohamed Sharif Abdulmajeed""";"=""26.07.2003""";"=""BRN""";"=""48""";"=""43.30""";"=""41""";"=""* 45""";"=""* 45""";"=""41""";"=""52""";"=""55""";"=""* 60""";"=""55""";"=""96""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""11""";"=""W""";"=""---""";"=""2""";"=""---""";"=""PAK Jin Hae""";"=""08.11.2003""";"=""PRK""";"=""48""";"=""47.70""";"=""73""";"=""77""";"=""* 81""";"=""77""";"=""---""";"=""---""";"=""---""";"=""---""";"=""0""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""12""";"=""W""";"=""1""";"=""1""";"=""1""";"=""RI Suk""";"=""15.03.2003""";"=""PRK""";"=""53""";"=""52.70""";"=""82""";"=""85""";"=""87""";"=""87""";"=""102""";"=""107""";"=""110""";"=""110""";"=""197""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""13""";"=""W""";"=""2""";"=""4""";"=""2""";"=""PANDEY Gauri""";"=""15.06.1998""";"=""IND""";"=""53""";"=""52.75""";"=""68""";"=""* 72""";"=""* 72""";"=""68""";"=""95""";"=""98""";"=""*101""";"=""98""";"=""166""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""14""";"=""W""";"=""3""";"=""2""";"=""3""";"=""PHANDOM Ranibala Devi""";"=""01.02.1998""";"=""IND""";"=""53""";"=""52.30""";"=""70""";"=""74""";"=""* 77""";"=""74""";"=""88""";"=""* 91""";"=""91""";"=""91""";"=""165""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
"=""15""";"=""W""";"=""4""";"=""3""";"=""5""";"=""PEREZ Elien Rose""";"=""28.08.1998""";"=""PHI""";"=""53""";"=""52.05""";"=""* 70""";"=""70""";"=""73""";"=""73""";"=""88""";"=""* 92""";"=""* 93""";"=""88""";"=""161""";"=""2018 ASIAN JUNIOR CHAMPIONSHIPS""";"=""04.2018""";
