pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TAN Yayun""";"=""18.11.1992""";"=""CHN""";"=""48""";"=""47.74""";"=""83""";"=""85""";"=""* 87""";"=""85""";"=""105""";"=""*108""";"=""109""";"=""109""";"=""194""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""4""";"=""OZKAN KONAK Sibel""";"=""03.03.1988""";"=""TUR""";"=""48""";"=""47.27""";"=""82""";"=""* 84""";"=""84""";"=""84""";"=""103""";"=""105""";"=""*108""";"=""105""";"=""189""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""2""";"=""KHAMSRI Panida""";"=""13.01.1989""";"=""THA""";"=""48""";"=""47.60""";"=""76""";"=""79""";"=""81""";"=""81""";"=""*105""";"=""105""";"=""108""";"=""108""";"=""189""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""3""";"=""W""";"=""4""";"=""9""";"=""3""";"=""AGUSTIANI Sri Wahyuni""";"=""13.08.1994""";"=""INA""";"=""48""";"=""47.63""";"=""* 75""";"=""77""";"=""* 80""";"=""77""";"=""99""";"=""101""";"=""106""";"=""106""";"=""183""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""4""";"=""W""";"=""5""";"=""4""";"=""5""";"=""PAGLIARO Genny Caterina""";"=""15.10.1988""";"=""ITA""";"=""48""";"=""47.70""";"=""* 79""";"=""79""";"=""81""";"=""81""";"=""97""";"=""*100""";"=""*100""";"=""97""";"=""178""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""5""";"=""W""";"=""6""";"=""5""";"=""6""";"=""VASQUEZ HERNANDEZ Candida""";"=""02.12.1992""";"=""DOM""";"=""48""";"=""47.12""";"=""* 76""";"=""76""";"=""79""";"=""79""";"=""91""";"=""94""";"=""96""";"=""96""";"=""175""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""6""";"=""W""";"=""7""";"=""8""";"=""7""";"=""IM Jyoung Hwa""";"=""07.12.1986""";"=""KOR""";"=""48""";"=""47.50""";"=""70""";"=""74""";"=""77""";"=""77""";"=""92""";"=""* 96""";"=""96""";"=""96""";"=""173""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""7""";"=""W""";"=""8""";"=""6""";"=""13""";"=""BRAHJA Shqiponje""";"=""28.07.1973""";"=""ALB""";"=""48""";"=""48.00""";"=""78""";"=""* 83""";"=""* 83""";"=""78""";"=""90""";"=""95""";"=""* 97""";"=""95""";"=""173""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""8""";"=""W""";"=""9""";"=""7""";"=""11""";"=""DIACHENKO Iana""";"=""16.01.1990""";"=""UKR""";"=""48""";"=""47.44""";"=""* 77""";"=""77""";"=""* 80""";"=""77""";"=""* 91""";"=""91""";"=""95""";"=""95""";"=""172""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""9""";"=""W""";"=""10""";"=""12""";"=""8""";"=""KING Morghan Whitney""";"=""08.10.1985""";"=""USA""";"=""48""";"=""47.57""";"=""73""";"=""* 76""";"=""76""";"=""76""";"=""90""";"=""* 94""";"=""96""";"=""96""";"=""172""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""10""";"=""W""";"=""11""";"=""13""";"=""9""";"=""MIRABAI Chanu Saikhom""";"=""08.08.1994""";"=""IND""";"=""48""";"=""47.71""";"=""71""";"=""74""";"=""76""";"=""76""";"=""93""";"=""96""";"=""* 98""";"=""96""";"=""172""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""11""";"=""W""";"=""12""";"=""15""";"=""10""";"=""MICHEL Anais""";"=""12.01.1988""";"=""FRA""";"=""48""";"=""47.82""";"=""73""";"=""75""";"=""* 77""";"=""75""";"=""93""";"=""96""";"=""* 98""";"=""96""";"=""171""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""12""";"=""W""";"=""13""";"=""10""";"=""16""";"=""BURGOS ORTIZ Lely Berlitt""";"=""06.06.1985""";"=""PUR""";"=""48""";"=""47.86""";"=""73""";"=""75""";"=""77""";"=""77""";"=""92""";"=""* 95""";"=""* 95""";"=""92""";"=""169""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""13""";"=""W""";"=""14""";"=""16""";"=""12""";"=""LEE Seulki""";"=""20.08.1995""";"=""KOR""";"=""48""";"=""47.63""";"=""70""";"=""73""";"=""* 75""";"=""73""";"=""88""";"=""92""";"=""95""";"=""95""";"=""168""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""14""";"=""W""";"=""15""";"=""19""";"=""14""";"=""OKOEVA Zhanyl""";"=""15.11.1993""";"=""KGZ""";"=""48""";"=""47.46""";"=""72""";"=""* 75""";"=""* 75""";"=""72""";"=""* 94""";"=""94""";"=""* 99""";"=""94""";"=""166""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""15""";"=""W""";"=""16""";"=""14""";"=""17""";"=""MIZUOCHI Honami""";"=""05.02.1993""";"=""JPN""";"=""48""";"=""47.80""";"=""73""";"=""76""";"=""* 78""";"=""76""";"=""87""";"=""89""";"=""90""";"=""90""";"=""166""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""16""";"=""W""";"=""17""";"=""11""";"=""19""";"=""SILVESTRE SOSA Georgina Marieli""";"=""15.09.1991""";"=""DOM""";"=""48""";"=""47.34""";"=""76""";"=""* 79""";"=""* 79""";"=""76""";"=""* 89""";"=""89""";"=""---""";"=""89""";"=""165""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""17""";"=""W""";"=""18""";"=""20""";"=""15""";"=""JUAN TELLO Estefania""";"=""17.08.1981""";"=""ESP""";"=""48""";"=""47.24""";"=""* 70""";"=""* 70""";"=""70""";"=""70""";"=""90""";"=""93""";"=""* 96""";"=""93""";"=""163""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""18""";"=""W""";"=""19""";"=""18""";"=""20""";"=""JASTRZEBSKA Wioleta""";"=""07.06.1992""";"=""POL""";"=""48""";"=""47.87""";"=""70""";"=""73""";"=""* 75""";"=""73""";"=""85""";"=""88""";"=""* 90""";"=""88""";"=""161""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
"=""19""";"=""W""";"=""20""";"=""23""";"=""18""";"=""MUNOZ LOPEZ Viviana Izamar""";"=""10.11.1995""";"=""MEX""";"=""48""";"=""47.82""";"=""63""";"=""68""";"=""* 71""";"=""68""";"=""85""";"=""90""";"=""* 93""";"=""90""";"=""158""";"=""2014 IWF WORLD CHAMPIONSHIPS""";"=""11.2014""";
