pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""2""";"=""JIANG Huihua""";"=""22.01.1998""";"=""CHN""";"=""48""";"=""47.64""";"=""81""";"=""89""";"=""92""";"=""92""";"=""105""";"=""110""";"=""113""";"=""113""";"=""205""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""1""";"=""HOU Zhihui""";"=""18.03.1997""";"=""CHN""";"=""48""";"=""47.52""";"=""80""";"=""88""";"=""91""";"=""91""";"=""105""";"=""110""";"=""113""";"=""113""";"=""204""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""3""";"=""RI Song Gum""";"=""17.10.1997""";"=""PRK""";"=""48""";"=""47.24""";"=""73""";"=""* 77""";"=""77""";"=""77""";"=""100""";"=""104""";"=""*107""";"=""104""";"=""181""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""3""";"=""W""";"=""4""";"=""8""";"=""4""";"=""AHMED Heba Saleh Mahmoud""";"=""03.07.1996""";"=""EGY""";"=""48""";"=""47.94""";"=""70""";"=""* 75""";"=""* 75""";"=""70""";"=""90""";"=""95""";"=""*100""";"=""95""";"=""165""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""4""";"=""W""";"=""5""";"=""4""";"=""9""";"=""DE LA HERRAN MARTINEZ Andrea""";"=""12.09.1996""";"=""MEX""";"=""48""";"=""47.62""";"=""70""";"=""* 74""";"=""74""";"=""74""";"=""* 85""";"=""85""";"=""* 88""";"=""85""";"=""159""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""5""";"=""W""";"=""6""";"=""5""";"=""8""";"=""RYZHOVA Daria""";"=""23.07.1996""";"=""RUS""";"=""48""";"=""47.44""";"=""68""";"=""71""";"=""73""";"=""73""";"=""83""";"=""85""";"=""---""";"=""85""";"=""158""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""6""";"=""W""";"=""7""";"=""7""";"=""6""";"=""KARAKOL Gamze""";"=""15.12.1998""";"=""TUR""";"=""48""";"=""47.60""";"=""64""";"=""68""";"=""70""";"=""70""";"=""83""";"=""* 87""";"=""87""";"=""87""";"=""157""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""7""";"=""W""";"=""8""";"=""6""";"=""10""";"=""MOKHINA Iana""";"=""06.08.1996""";"=""RUS""";"=""48""";"=""47.68""";"=""71""";"=""* 74""";"=""* 74""";"=""71""";"=""* 85""";"=""85""";"=""* 89""";"=""85""";"=""156""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""8""";"=""W""";"=""9""";"=""10""";"=""5""";"=""MUNOZ LOPEZ Viviana Izamar""";"=""10.11.1995""";"=""MEX""";"=""48""";"=""47.42""";"=""63""";"=""66""";"=""* 68""";"=""66""";"=""85""";"=""89""";"=""* 91""";"=""89""";"=""155""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
"=""9""";"=""W""";"=""10""";"=""9""";"=""7""";"=""AJIMA Chiaki""";"=""18.07.1996""";"=""JPN""";"=""48""";"=""47.84""";"=""65""";"=""68""";"=""* 70""";"=""68""";"=""84""";"=""* 87""";"=""87""";"=""87""";"=""155""";"=""2015 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2015""";
