pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""RYANG Chun Hwa""";"=""12.06.1991""";"=""PRK""";"=""48""";"=""47.80""";"=""80""";"=""*84""";"=""*84""";"=""80""";"=""105""";"=""*110""";"=""110""";"=""110""";"=""190""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""1""";"=""w""";"=""2""";"=""5""";"=""2""";"=""AGUSTIANI Sri Wahyuni""";"=""13.08.1994""";"=""INA""";"=""48""";"=""47.50""";"=""71""";"=""76""";"=""*80""";"=""76""";"=""100""";"=""*109""";"=""*109""";"=""100""";"=""176""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""3""";"=""DO THI THU Hoai""";"=""06.09.1991""";"=""VIE""";"=""48""";"=""47.85""";"=""75""";"=""78""";"=""*80""";"=""78""";"=""*96""";"=""*96""";"=""96""";"=""96""";"=""174""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""3""";"=""w""";"=""4""";"=""6""";"=""4""";"=""PHAM Thuy Dung""";"=""17.02.1987""";"=""VIE""";"=""48""";"=""48.00""";"=""*73""";"=""73""";"=""*75""";"=""73""";"=""*95""";"=""*95""";"=""95""";"=""95""";"=""168""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""4""";"=""w""";"=""5""";"=""4""";"=""5""";"=""MOMOTOVA Galina""";"=""20.11.1984""";"=""KAZ""";"=""48""";"=""47.10""";"=""72""";"=""77""";"=""*80""";"=""77""";"=""*90""";"=""90""";"=""*95""";"=""90""";"=""167""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""5""";"=""w""";"=""---""";"=""2""";"=""---""";"=""FENG Linmei""";"=""19.03.1995""";"=""CHN""";"=""48""";"=""47.90""";"=""75""";"=""*79""";"=""79""";"=""79""";"=""*95""";"=""*95""";"=""*96""";"=""---""";"=""0""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""6""";"=""w""";"=""1""";"=""1""";"=""1""";"=""GUO Jinyan""";"=""19.01.1992""";"=""CHN""";"=""53""";"=""52.90""";"=""86""";"=""90""";"=""*93""";"=""90""";"=""105""";"=""108""";"=""112""";"=""112""";"=""202""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""7""";"=""w""";"=""2""";"=""4""";"=""2""";"=""NGUYEN Thi Thuy""";"=""23.08.1990""";"=""VIE""";"=""53""";"=""52.25""";"=""*78""";"=""78""";"=""80""";"=""80""";"=""105""";"=""*107""";"=""107""";"=""107""";"=""187""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""8""";"=""w""";"=""3""";"=""6""";"=""3""";"=""SISOEVA Marina""";"=""30.05.1993""";"=""UZB""";"=""53""";"=""53.00""";"=""*80""";"=""80""";"=""*85""";"=""80""";"=""101""";"=""*106""";"=""106""";"=""106""";"=""186""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
"=""9""";"=""w""";"=""4""";"=""2""";"=""6""";"=""YELISSEYEVA Margarita""";"=""20.07.1992""";"=""KAZ""";"=""53""";"=""51.90""";"=""78""";"=""82""";"=""85""";"=""85""";"=""98""";"=""*102""";"=""*102""";"=""98""";"=""183""";"=""ASIAN CHAMPIONSHIPS""";"=""06.2013""";
