pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""GARCIA SUAREZ Noelia""";"=""09.05.1997""";"=""ESP""";"=""58""";"=""54.80""";"=""70""";"=""*73""";"=""73""";"=""73""";"=""80""";"=""83""";"=""85""";"=""85""";"=""158""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""1""";"=""m""";"=""1""";"=""1""";"=""1""";"=""VLADISAVLJEV Stevan""";"=""04.07.1999""";"=""SRB""";"=""62""";"=""60.80""";"=""100""";"=""105""";"=""*110""";"=""105""";"=""130""";"=""135""";"=""*140""";"=""135""";"=""240""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""2""";"=""m""";"=""2""";"=""2""";"=""2""";"=""FERNANDEZ INFANTE Jaime """;"=""04.03.2001""";"=""ESP""";"=""62""";"=""59.50""";"=""75""";"=""80""";"=""*83""";"=""80""";"=""*90""";"=""90""";"=""95""";"=""95""";"=""175""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""3""";"=""w""";"=""1""";"=""1""";"=""1""";"=""STESL Nastasja""";"=""28.05.1991""";"=""SLO""";"=""63""";"=""59.10""";"=""70""";"=""*73""";"=""75""";"=""75""";"=""89""";"=""93""";"=""*95""";"=""93""";"=""168""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""4""";"=""w""";"=""2""";"=""2""";"=""2""";"=""RAZIC Elvira""";"=""02.08.1991""";"=""BIH""";"=""63""";"=""60.60""";"=""60""";"=""62""";"=""*63""";"=""62""";"=""75""";"=""78""";"=""*80""";"=""78""";"=""140""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""5""";"=""w""";"=""1""";"=""1""";"=""1""";"=""SHATOVA Galya Anetova""";"=""29.08.2001""";"=""BUL""";"=""69""";"=""63.40""";"=""80""";"=""*84""";"=""84""";"=""84""";"=""97""";"=""100""";"=""*103""";"=""100""";"=""184""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""6""";"=""m""";"=""1""";"=""1""";"=""1""";"=""MILJUS Bosko""";"=""22.10.1993""";"=""SRB""";"=""69""";"=""64.40""";"=""90""";"=""*94""";"=""94""";"=""94""";"=""125""";"=""130""";"=""*133""";"=""130""";"=""224""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""7""";"=""m""";"=""2""";"=""2""";"=""2""";"=""MARANU Ion Alin""";"=""31.08.1996""";"=""ROU""";"=""69""";"=""62.40""";"=""*90""";"=""90""";"=""*98""";"=""90""";"=""110""";"=""118""";"=""*126""";"=""118""";"=""208""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""8""";"=""w""";"=""2""";"=""2""";"=""2""";"=""ILIC Ana""";"=""20.01.1992""";"=""SRB""";"=""69""";"=""67.50""";"=""63""";"=""66""";"=""*68""";"=""66""";"=""*78""";"=""*78""";"=""78""";"=""78""";"=""144""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""9""";"=""w""";"=""1""";"=""1""";"=""1""";"=""ZAMMIT STEVENS Yasmin""";"=""21.04.1993""";"=""MLT""";"=""75""";"=""69.70""";"=""77""";"=""*80""";"=""80""";"=""80""";"=""95""";"=""*99""";"=""99""";"=""99""";"=""179""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""10""";"=""m""";"=""1""";"=""1""";"=""1""";"=""GABRITCHIDZE Irakli""";"=""12.11.1995""";"=""GEO""";"=""77""";"=""76.90""";"=""130""";"=""135""";"=""*140""";"=""135""";"=""160""";"=""165""";"=""*170""";"=""165""";"=""300""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""11""";"=""m""";"=""2""";"=""2""";"=""2""";"=""BOYANOV Kristian""";"=""18.09.2001""";"=""BUL""";"=""77""";"=""77.00""";"=""110""";"=""117""";"=""123""";"=""123""";"=""143""";"=""150""";"=""155""";"=""155""";"=""278""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""12""";"=""m""";"=""3""";"=""3""";"=""3""";"=""FIRANJ Antun""";"=""01.01.1995""";"=""SRB""";"=""77""";"=""76.10""";"=""113""";"=""117""";"=""121""";"=""121""";"=""143""";"=""*148""";"=""148""";"=""148""";"=""269""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""13""";"=""m""";"=""4""";"=""4""";"=""4""";"=""SUIUGAN Darius Stefan""";"=""18.12.1993""";"=""ROU""";"=""77""";"=""70.80""";"=""95""";"=""*102""";"=""106""";"=""106""";"=""116""";"=""126""";"=""*140""";"=""126""";"=""232""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""14""";"=""m""";"=""5""";"=""5""";"=""5""";"=""MARANU Lucian""";"=""27.03.1999""";"=""ROU""";"=""77""";"=""70.40""";"=""90""";"=""97""";"=""103""";"=""103""";"=""115""";"=""123""";"=""*128""";"=""123""";"=""226""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""15""";"=""w""";"=""1""";"=""1""";"=""1""";"=""DUSANIC Verica""";"=""28.08.1991""";"=""SRB""";"=""90""";"=""78.10""";"=""75""";"=""79""";"=""*84""";"=""79""";"=""93""";"=""*96""";"=""*96""";"=""93""";"=""172""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""16""";"=""w""";"=""2""";"=""2""";"=""2""";"=""SCICLUNA Elisia""";"=""19.08.1992""";"=""MLT""";"=""90""";"=""82.20""";"=""72""";"=""*74""";"=""*75""";"=""72""";"=""89""";"=""92""";"=""*95""";"=""92""";"=""164""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""17""";"=""m""";"=""1""";"=""1""";"=""1""";"=""KAKABADZE Nodari""";"=""26.05.1999""";"=""GEO""";"=""94""";"=""85.40""";"=""145""";"=""150""";"=""155""";"=""155""";"=""180""";"=""186""";"=""*190""";"=""186""";"=""341""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""18""";"=""m""";"=""2""";"=""2""";"=""2""";"=""BALDACCHINO Vlad""";"=""01.08.1995""";"=""MLT""";"=""94""";"=""91.60""";"=""*128""";"=""*128""";"=""128""";"=""128""";"=""150""";"=""154""";"=""158""";"=""158""";"=""286""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""19""";"=""m""";"=""3""";"=""3""";"=""3""";"=""KOSMAC Anze""";"=""30.07.1993""";"=""SLO""";"=""94""";"=""87.30""";"=""120""";"=""*125""";"=""125""";"=""125""";"=""145""";"=""*151""";"=""151""";"=""151""";"=""276""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""20""";"=""m""";"=""1""";"=""1""";"=""1""";"=""KUZIC Nenad""";"=""17.09.1991""";"=""SRB""";"=""p105""";"=""105.50""";"=""140""";"=""150""";"=""*155""";"=""150""";"=""170""";"=""180""";"=""*185""";"=""180""";"=""330""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
"=""21""";"=""m""";"=""2""";"=""2""";"=""2""";"=""NUMIC Mak""";"=""23.07.1998""";"=""BIH""";"=""p105""";"=""117.40""";"=""95""";"=""*100""";"=""100""";"=""100""";"=""135""";"=""*140""";"=""*145""";"=""135""";"=""235""";"=""XI INTERNATIONAL TOURNAMENT "VLADAN MIHAJLOVIC"""";"=""05.2018""";
