pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""---""";"=""---""";"=""BANGARU Usha""";"=""30.03.1991""";"=""IND""";"=""48""";"=""47.30""";"=""0.0""";"=""0.0""";"=""0.0""";"=""66""";"=""0.0""";"=""0.0""";"=""0.0""";"=""86""";"=""152""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""1""";"=""w""";"=""2""";"=""---""";"=""---""";"=""GAIKWAD Diksha Pradeep""";"=""06.07.1990""";"=""IND""";"=""48""";"=""47.86""";"=""0.0""";"=""0.0""";"=""0.0""";"=""61""";"=""0.0""";"=""0.0""";"=""0.0""";"=""78""";"=""139""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""2""";"=""w""";"=""3""";"=""---""";"=""---""";"=""THELEMAQUE Katsia""";"=""28.02.1989""";"=""SEY""";"=""48""";"=""47.30""";"=""0.0""";"=""0.0""";"=""0.0""";"=""65""";"=""0.0""";"=""0.0""";"=""0.0""";"=""73""";"=""138""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""3""";"=""w""";"=""1""";"=""---""";"=""---""";"=""SANDHYA Kulusu""";"=""01.01.1990""";"=""IND""";"=""53""";"=""50.98""";"=""0.0""";"=""0.0""";"=""0.0""";"=""68""";"=""0.0""";"=""0.0""";"=""0.0""";"=""87""";"=""155""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""4""";"=""w""";"=""2""";"=""---""";"=""---""";"=""KAUR Chandharr Balvir""";"=""01.01.1991""";"=""IND""";"=""53""";"=""52.40""";"=""0.0""";"=""0.0""";"=""0.0""";"=""68""";"=""0.0""";"=""0.0""";"=""0.0""";"=""85""";"=""153""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""5""";"=""w""";"=""3""";"=""---""";"=""---""";"=""BINTI SYD ANUAR Sharifah Inani Najwa""";"=""01.01.1990""";"=""MAS""";"=""53""";"=""51.46""";"=""0.0""";"=""0.0""";"=""0.0""";"=""66""";"=""0.0""";"=""0.0""";"=""0.0""";"=""80""";"=""146""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""6""";"=""w""";"=""4""";"=""---""";"=""---""";"=""AKTHER Fayema""";"=""15.12.1991""";"=""BAN""";"=""53""";"=""52.60""";"=""0.0""";"=""0.0""";"=""0.0""";"=""65""";"=""0.0""";"=""0.0""";"=""0.0""";"=""78""";"=""143""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""7""";"=""m""";"=""1""";"=""---""";"=""---""";"=""DEY Sukhen""";"=""28.03.1989""";"=""IND""";"=""56""";"=""55.80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""104""";"=""0.0""";"=""0.0""";"=""0.0""";"=""133""";"=""237""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""8""";"=""m""";"=""2""";"=""---""";"=""---""";"=""GHAGARE Swapnil Babaso""";"=""25.09.1990""";"=""IND""";"=""56""";"=""55.88""";"=""0.0""";"=""0.0""";"=""0.0""";"=""98""";"=""0.0""";"=""0.0""";"=""0.0""";"=""125""";"=""223""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
"=""9""";"=""m""";"=""3""";"=""---""";"=""---""";"=""MOHD Faiz Bin Musa""";"=""11.08.1989""";"=""MAS""";"=""56""";"=""53.74""";"=""0.0""";"=""0.0""";"=""0.0""";"=""100""";"=""0.0""";"=""0.0""";"=""0.0""";"=""120""";"=""220""";"=""2009 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2009""";
