pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""2""";"=""1""";"=""ABEYSEKARA D. D. D.""";"=""16.11.1997""";"=""SRI""";"=""48""";"=""47.94""";"=""77""";"=""80""";"=""*83""";"=""80""";"=""61""";"=""63""";"=""65""";"=""65""";"=""145""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""1""";"=""w""";"=""2""";"=""1""";"=""2""";"=""GUPTA Pooja""";"=""08.10.1998""";"=""IND""";"=""48""";"=""47.83""";"=""76""";"=""81""";"=""*85""";"=""81""";"=""57""";"=""*60""";"=""60""";"=""60""";"=""141""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""3""";"=""RESHMA Jahura Akter""";"=""11.07.1998""";"=""BAN""";"=""48""";"=""46.71""";"=""60""";"=""67""";"=""70""";"=""70""";"=""45""";"=""53""";"=""*56""";"=""53""";"=""123""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""3""";"=""w""";"=""1""";"=""1""";"=""1""";"=""MAL Joti""";"=""22.07.1996""";"=""IND""";"=""53""";"=""52.88""";"=""71""";"=""75""";"=""78""";"=""78""";"=""*94""";"=""94""";"=""98""";"=""98""";"=""176""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""4""";"=""w""";"=""2""";"=""2""";"=""2""";"=""WINTER Tassin""";"=""20.05.1997""";"=""RSA""";"=""53""";"=""51.77""";"=""40""";"=""45""";"=""48""";"=""48""";"=""50""";"=""*55""";"=""55""";"=""55""";"=""103""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""5""";"=""w""";"=""DSQ""";"=""DSQ""";"=""DSQ""";"=""KRISANI Pramila""";"=""09.01.1996""";"=""IND""";"=""53""";"=""52.92""";"=""75""";"=""78""";"=""80""";"=""---""";"=""102""";"=""106""";"=""109""";"=""---""";"=""0""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""6""";"=""m""";"=""1""";"=""1""";"=""1""";"=""DERU Jimjang""";"=""01.10.1998""";"=""IND""";"=""56""";"=""55.68""";"=""100""";"=""104""";"=""107""";"=""107""";"=""135""";"=""*140""";"=""*140""";"=""135""";"=""242""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""7""";"=""m""";"=""2""";"=""2""";"=""3""";"=""HENDERSON Samuel""";"=""28.10.1997""";"=""WAL""";"=""56""";"=""55.55""";"=""*83""";"=""83""";"=""86""";"=""86""";"=""95""";"=""*97""";"=""---""";"=""95""";"=""181""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""8""";"=""m""";"=""3""";"=""3""";"=""2""";"=""WEERARATHNE G.R.C.M.""";"=""30.05.1995""";"=""SRI""";"=""56""";"=""52.02""";"=""*75""";"=""75""";"=""*80""";"=""75""";"=""93""";"=""96""";"=""*102""";"=""96""";"=""171""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""9""";"=""m""";"=""4""";"=""4""";"=""4""";"=""CHRISTIANS Enrique Nicolai""";"=""29.01.1999""";"=""RSA""";"=""56""";"=""49.50""";"=""*62""";"=""62""";"=""66""";"=""66""";"=""85""";"=""90""";"=""93""";"=""93""";"=""159""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""10""";"=""w""";"=""1""";"=""1""";"=""2""";"=""KHUMUKCHAM Nungshiton Chanu""";"=""02.03.1998""";"=""IND""";"=""58""";"=""57.46""";"=""68""";"=""72""";"=""*75""";"=""72""";"=""85""";"=""*90""";"=""*90""";"=""85""";"=""157""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""11""";"=""w""";"=""2""";"=""2""";"=""1""";"=""SHEPPARD Amber Mia Poppy Sophia""";"=""11.11.1997""";"=""GBR""";"=""58""";"=""57.40""";"=""67""";"=""*70""";"=""*70""";"=""67""";"=""*82""";"=""82""";"=""85""";"=""85""";"=""152""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""12""";"=""w""";"=""3""";"=""3""";"=""3""";"=""MYERS REYNOLDS Charrae Jade""";"=""05.07.1999""";"=""AUS""";"=""58""";"=""57.74""";"=""60""";"=""63""";"=""65""";"=""65""";"=""75""";"=""78""";"=""*81""";"=""78""";"=""143""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""13""";"=""w""";"=""---""";"=""4""";"=""---""";"=""VIJAYABASKAR Arshika""";"=""08.10.2001""";"=""SRI""";"=""58""";"=""57.12""";"=""*56""";"=""*56""";"=""56""";"=""56""";"=""*80""";"=""*80""";"=""*80""";"=""---""";"=""0""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""14""";"=""m""";"=""1""";"=""1""";"=""1""";"=""DEEPAK Lather""";"=""25.03.2000""";"=""IND""";"=""62""";"=""61.99""";"=""*115""";"=""115""";"=""120""";"=""120""";"=""137""";"=""*141""";"=""141""";"=""141""";"=""261""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""15""";"=""m""";"=""2""";"=""2""";"=""2""";"=""ELVIANDER Ruth John""";"=""28.04.1996""";"=""MAS""";"=""62""";"=""61.72""";"=""*110""";"=""110""";"=""*115""";"=""110""";"=""130""";"=""*135""";"=""135""";"=""135""";"=""245""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
"=""16""";"=""m""";"=""3""";"=""3""";"=""4""";"=""JAYASENAGE U.R.R.""";"=""10.12.1997""";"=""SRI""";"=""62""";"=""61.63""";"=""90""";"=""95""";"=""*99""";"=""95""";"=""110""";"=""115""";"=""*120""";"=""115""";"=""210""";"=""2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS""";"=""10.2015""";
