pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""OZKAN KONAK Sibel""";"=""03.03.1988""";"=""TUR""";"=""48""";"=""47.78""";"=""81""";"=""84""";"=""* 86""";"=""84""";"=""101""";"=""104""";"=""106""";"=""106""";"=""190""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""1""";"=""W""";"=""2""";"=""3""";"=""2""";"=""KHAMSRI Panida""";"=""13.01.1989""";"=""THA""";"=""48""";"=""46.50""";"=""72""";"=""74""";"=""76""";"=""76""";"=""95""";"=""101""";"=""*104""";"=""101""";"=""177""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""2""";"=""W""";"=""3""";"=""2""";"=""4""";"=""PAGLIARO Genny Caterina""";"=""15.10.1988""";"=""ITA""";"=""48""";"=""47.72""";"=""80""";"=""* 83""";"=""* 83""";"=""80""";"=""96""";"=""*101""";"=""*101""";"=""96""";"=""176""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""3""";"=""PHUPRUEM Thip-Amon""";"=""29.09.1989""";"=""THA""";"=""48""";"=""47.54""";"=""75""";"=""* 78""";"=""* 78""";"=""75""";"=""95""";"=""98""";"=""100""";"=""100""";"=""175""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""4""";"=""W""";"=""5""";"=""6""";"=""5""";"=""TAKESHITA Nao""";"=""08.03.1988""";"=""JPN""";"=""48""";"=""47.94""";"=""* 73""";"=""73""";"=""* 76""";"=""73""";"=""88""";"=""91""";"=""92""";"=""92""";"=""165""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""5""";"=""W""";"=""6""";"=""8""";"=""6""";"=""VERON Malvina Soledad""";"=""11.06.1989""";"=""ARG""";"=""48""";"=""47.24""";"=""70""";"=""* 72""";"=""72""";"=""72""";"=""88""";"=""* 91""";"=""91""";"=""91""";"=""163""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""6""";"=""W""";"=""7""";"=""5""";"=""9""";"=""MERCADO VILLARREAL Katherin""";"=""20.05.1990""";"=""COL""";"=""48""";"=""47.46""";"=""67""";"=""70""";"=""73""";"=""73""";"=""85""";"=""88""";"=""* 90""";"=""88""";"=""161""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""7""";"=""W""";"=""8""";"=""7""";"=""10""";"=""OKUR Saziye""";"=""23.02.1992""";"=""TUR""";"=""48""";"=""41.90""";"=""* 68""";"=""68""";"=""72""";"=""72""";"=""80""";"=""85""";"=""* 87""";"=""85""";"=""157""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""8""";"=""W""";"=""9""";"=""11""";"=""7""";"=""LEE Meecheong""";"=""17.02.1991""";"=""KOR""";"=""48""";"=""47.46""";"=""62""";"=""* 66""";"=""66""";"=""66""";"=""87""";"=""* 90""";"=""90""";"=""90""";"=""156""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""9""";"=""W""";"=""10""";"=""9""";"=""11""";"=""FUENTES Yusmaria""";"=""11.11.1988""";"=""VEN""";"=""48""";"=""47.82""";"=""68""";"=""71""";"=""* 74""";"=""71""";"=""85""";"=""* 90""";"=""* 90""";"=""85""";"=""156""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""10""";"=""W""";"=""11""";"=""10""";"=""8""";"=""CHANG Kai-Lin""";"=""22.07.1991""";"=""TPE""";"=""48""";"=""47.28""";"=""63""";"=""67""";"=""* 70""";"=""67""";"=""82""";"=""85""";"=""88""";"=""88""";"=""155""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""11""";"=""W""";"=""12""";"=""12""";"=""12""";"=""MORENO RODRIGUEZ Karla Leticia""";"=""15.03.1988""";"=""NCA""";"=""48""";"=""47.26""";"=""61""";"=""63""";"=""65""";"=""65""";"=""79""";"=""83""";"=""* 87""";"=""83""";"=""148""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""12""";"=""W""";"=""13""";"=""14""";"=""13""";"=""BERCHI Dana Alexandra""";"=""11.03.1990""";"=""ROU""";"=""48""";"=""47.94""";"=""* 58""";"=""58""";"=""62""";"=""62""";"=""77""";"=""80""";"=""* 82""";"=""80""";"=""142""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""13""";"=""W""";"=""14""";"=""13""";"=""14""";"=""RUEL Jessica""";"=""15.02.1991""";"=""CAN""";"=""48""";"=""47.80""";"=""61""";"=""63""";"=""* 64""";"=""63""";"=""* 74""";"=""74""";"=""77""";"=""77""";"=""140""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""14""";"=""W""";"=""15""";"=""17""";"=""16""";"=""SANCHEZ GAITAN Fatima Lissette""";"=""12.05.1988""";"=""ESA""";"=""48""";"=""47.64""";"=""60""";"=""* 63""";"=""* 63""";"=""60""";"=""70""";"=""75""";"=""* 78""";"=""75""";"=""135""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""15""";"=""W""";"=""16""";"=""18""";"=""15""";"=""PORTER Kailee""";"=""04.06.1989""";"=""USA""";"=""48""";"=""47.30""";"=""* 58""";"=""58""";"=""* 61""";"=""58""";"=""72""";"=""76""";"=""* 77""";"=""76""";"=""134""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""16""";"=""W""";"=""17""";"=""16""";"=""17""";"=""LANGEVIN Maude""";"=""21.01.1990""";"=""CAN""";"=""48""";"=""47.56""";"=""57""";"=""60""";"=""* 62""";"=""60""";"=""* 74""";"=""* 74""";"=""74""";"=""74""";"=""134""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""17""";"=""W""";"=""---""";"=""15""";"=""---""";"=""VASQUEZ Maria""";"=""26.11.1990""";"=""ECU""";"=""48""";"=""46.92""";"=""57""";"=""* 61""";"=""61""";"=""61""";"=""* 80""";"=""* 80""";"=""* 80""";"=""---""";"=""0""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""18""";"=""W""";"=""1""";"=""1""";"=""1""";"=""HEREDIA CUESTA Jackelina""";"=""31.12.1988""";"=""COL""";"=""53""";"=""52.54""";"=""80""";"=""82""";"=""84""";"=""84""";"=""100""";"=""104""";"=""108""";"=""108""";"=""192""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""19""";"=""W""";"=""2""";"=""2""";"=""2""";"=""LOCHOWSKA Joanna""";"=""17.11.1988""";"=""POL""";"=""53""";"=""52.52""";"=""78""";"=""81""";"=""83""";"=""83""";"=""98""";"=""101""";"=""*105""";"=""101""";"=""184""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""20""";"=""W""";"=""3""";"=""3""";"=""3""";"=""DE LA PUENTE Maria Alvarez""";"=""11.03.1989""";"=""ESP""";"=""53""";"=""52.66""";"=""* 80""";"=""80""";"=""83""";"=""83""";"=""90""";"=""95""";"=""100""";"=""100""";"=""183""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""21""";"=""W""";"=""4""";"=""5""";"=""4""";"=""HSU Shu-Ching""";"=""09.05.1991""";"=""TPE""";"=""53""";"=""51.80""";"=""* 75""";"=""75""";"=""* 80""";"=""75""";"=""95""";"=""98""";"=""*100""";"=""98""";"=""173""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""22""";"=""W""";"=""5""";"=""6""";"=""5""";"=""SIBETOVA Irina""";"=""27.03.1989""";"=""RUS""";"=""53""";"=""52.82""";"=""72""";"=""* 76""";"=""* 76""";"=""72""";"=""85""";"=""91""";"=""95""";"=""95""";"=""167""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""23""";"=""W""";"=""6""";"=""4""";"=""7""";"=""GUSHIKEN Misaki""";"=""08.02.1990""";"=""JPN""";"=""53""";"=""52.90""";"=""74""";"=""* 77""";"=""77""";"=""77""";"=""87""";"=""89""";"=""* 91""";"=""89""";"=""166""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""24""";"=""W""";"=""7""";"=""8""";"=""6""";"=""SEO Jeongmi""";"=""18.11.1991""";"=""KOR""";"=""53""";"=""52.98""";"=""* 71""";"=""* 71""";"=""71""";"=""71""";"=""90""";"=""* 96""";"=""* 96""";"=""90""";"=""161""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""25""";"=""W""";"=""8""";"=""10""";"=""9""";"=""YANIK Gulnaz""";"=""22.06.1991""";"=""TUR""";"=""53""";"=""52.82""";"=""70""";"=""* 73""";"=""* 73""";"=""70""";"=""85""";"=""* 88""";"=""88""";"=""88""";"=""158""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""26""";"=""W""";"=""9""";"=""11""";"=""8""";"=""BARCO FIGUEROA Yorharley Neyeska""";"=""07.12.1991""";"=""VEN""";"=""53""";"=""52.70""";"=""65""";"=""* 68""";"=""68""";"=""68""";"=""86""";"=""* 88""";"=""88""";"=""88""";"=""156""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""27""";"=""W""";"=""10""";"=""9""";"=""10""";"=""VASQUEZ ANANGONO Tatiana Margarita""";"=""07.01.1993""";"=""ECU""";"=""53""";"=""51.28""";"=""62""";"=""67""";"=""70""";"=""70""";"=""80""";"=""85""";"=""* 88""";"=""85""";"=""155""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""28""";"=""W""";"=""11""";"=""7""";"=""11""";"=""LYKHODID Tetiana""";"=""04.04.1989""";"=""UKR""";"=""53""";"=""52.86""";"=""66""";"=""69""";"=""71""";"=""71""";"=""80""";"=""83""";"=""* 85""";"=""83""";"=""154""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""29""";"=""W""";"=""12""";"=""12""";"=""12""";"=""MERCEDES ROMERO Leidy Massiel""";"=""27.01.1992""";"=""DOM""";"=""53""";"=""52.36""";"=""* 65""";"=""65""";"=""* 70""";"=""65""";"=""80""";"=""* 85""";"=""* 85""";"=""80""";"=""145""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""30""";"=""M""";"=""1""";"=""1""";"=""1""";"=""EL MAOUI Khalil""";"=""12.09.1988""";"=""TUN""";"=""56""";"=""55.54""";"=""115""";"=""120""";"=""123""";"=""123""";"=""130""";"=""138""";"=""*143""";"=""138""";"=""261""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""31""";"=""M""";"=""2""";"=""2""";"=""3""";"=""GIL GALBAN Adiel""";"=""07.03.1990""";"=""CUB""";"=""56""";"=""55.54""";"=""100""";"=""105""";"=""107""";"=""107""";"=""131""";"=""135""";"=""*137""";"=""135""";"=""242""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""32""";"=""M""";"=""3""";"=""6""";"=""2""";"=""BERNA GONZALEZ Carlos Andres""";"=""21.01.1990""";"=""COL""";"=""56""";"=""54.94""";"=""97""";"=""102""";"=""*105""";"=""102""";"=""130""";"=""134""";"=""136""";"=""136""";"=""238""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""33""";"=""M""";"=""4""";"=""5""";"=""4""";"=""NIETO Jose""";"=""29.05.1988""";"=""VEN""";"=""56""";"=""55.84""";"=""103""";"=""*106""";"=""*106""";"=""103""";"=""131""";"=""135""";"=""*137""";"=""135""";"=""238""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""34""";"=""M""";"=""5""";"=""3""";"=""5""";"=""MURILLO Yeison""";"=""21.08.1988""";"=""COL""";"=""56""";"=""55.66""";"=""100""";"=""*105""";"=""105""";"=""105""";"=""130""";"=""*134""";"=""*134""";"=""130""";"=""235""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""35""";"=""M""";"=""6""";"=""10""";"=""7""";"=""SALAMANCA PINEDA Julio Cesar""";"=""15.07.1989""";"=""ESA""";"=""56""";"=""55.90""";"=""*100""";"=""100""";"=""*105""";"=""100""";"=""125""";"=""*128""";"=""128""";"=""128""";"=""228""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
"=""36""";"=""M""";"=""7""";"=""8""";"=""10""";"=""TAN Chi Chung""";"=""24.02.1990""";"=""TPE""";"=""56""";"=""55.60""";"=""*101""";"=""101""";"=""*105""";"=""101""";"=""125""";"=""*130""";"=""*131""";"=""125""";"=""226""";"=""34th MEN's and 14th WOMEN's JUNIOR WORLD CHAMPIONSHIPS""";"=""06.2008""";
