pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""3""";"=""1""";"=""KARAKOL Gamze""";"=""15.12.1998""";"=""TUR""";"=""48""";"=""48.00""";"=""*68""";"=""68""";"=""70""";"=""70""";"=""*87""";"=""87""";"=""91""";"=""91""";"=""161""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""3""";"=""KOZINA Kseniia""";"=""27.10.1998""";"=""RUS""";"=""48""";"=""47.95""";"=""65""";"=""68""";"=""70""";"=""70""";"=""83""";"=""*87""";"=""*88""";"=""83""";"=""153""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""2""";"=""w""";"=""3""";"=""1""";"=""6""";"=""IMPERIO Giulia""";"=""07.12.2001""";"=""ITA""";"=""48""";"=""47.70""";"=""65""";"=""69""";"=""71""";"=""71""";"=""80""";"=""*84""";"=""*86""";"=""80""";"=""151""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""5""";"=""DUMITRESCU Bianca-Daniela""";"=""16.06.2000""";"=""ROU""";"=""48""";"=""47.60""";"=""65""";"=""68""";"=""*71""";"=""68""";"=""82""";"=""*85""";"=""*86""";"=""82""";"=""150""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""4""";"=""w""";"=""5""";"=""5""";"=""4""";"=""DOGAN Ayse""";"=""12.02.2000""";"=""TUR""";"=""48""";"=""47.90""";"=""67""";"=""*70""";"=""*71""";"=""67""";"=""82""";"=""*85""";"=""*85""";"=""82""";"=""149""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""5""";"=""w""";"=""6""";"=""7""";"=""2""";"=""OLESKIEWICZ Sylwia Malgorzata""";"=""23.06.1999""";"=""POL""";"=""48""";"=""47.95""";"=""63""";"=""*67""";"=""*67""";"=""63""";"=""80""";"=""*86""";"=""86""";"=""86""";"=""149""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""6""";"=""w""";"=""7""";"=""6""";"=""7""";"=""MUKKALA Kirsi-Marja""";"=""18.11.1999""";"=""FIN""";"=""48""";"=""48.00""";"=""*64""";"=""64""";"=""*68""";"=""64""";"=""74""";"=""77""";"=""*80""";"=""77""";"=""141""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""7""";"=""w""";"=""8""";"=""8""";"=""8""";"=""GRABUCEA  Ecaterina""";"=""31.07.2001""";"=""MDA""";"=""48""";"=""45.25""";"=""53""";"=""56""";"=""58""";"=""58""";"=""73""";"=""76""";"=""*78""";"=""76""";"=""134""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""8""";"=""w""";"=""DSQ""";"=""DSQ""";"=""DSQ""";"=""DIMITROVA Dayana Dimitrova""";"=""22.10.2000""";"=""BUL""";"=""48""";"=""47.85""";"=""72""";"=""*74""";"=""---""";"=""---""";"=""92""";"=""---""";"=""---""";"=""---""";"=""0""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
"=""9""";"=""w""";"=""1""";"=""1""";"=""1""";"=""NOVITSKAIA Kristina""";"=""22.09.1999""";"=""RUS""";"=""53""";"=""53.00""";"=""80""";"=""83""";"=""85""";"=""85""";"=""100""";"=""103""";"=""106""";"=""106""";"=""191""";"=""2018 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""10.2018""";
