pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""ABDULLAEVA Nigora""";"=""13.05.2004""";"=""UZB""";"=""44""";"=""43.75""";"=""62""";"=""65""";"=""67""";"=""67""";"=""76""";"=""79""";"=""81""";"=""81""";"=""148""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""NGUYEN Thi Thu Trang""";"=""03.06.2003""";"=""VIE""";"=""44""";"=""43.60""";"=""63""";"=""66""";"=""* 68""";"=""66""";"=""74""";"=""78""";"=""* 80""";"=""78""";"=""144""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""4""";"=""VO Thi Kim Thoa""";"=""23.01.2004""";"=""VIE""";"=""44""";"=""43.60""";"=""63""";"=""* 66""";"=""* 67""";"=""63""";"=""73""";"=""77""";"=""* 80""";"=""77""";"=""140""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""5""";"=""RAMOS Rosegie""";"=""15.12.2003""";"=""PHI""";"=""44""";"=""43.35""";"=""60""";"=""63""";"=""* 66""";"=""63""";"=""75""";"=""* 79""";"=""* 79""";"=""75""";"=""138""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""4""";"=""W""";"=""5""";"=""6""";"=""3""";"=""KONSAM Ormila Devi""";"=""20.03.2002""";"=""IND""";"=""44""";"=""43.75""";"=""55""";"=""58""";"=""* 60""";"=""58""";"=""74""";"=""78""";"=""* 81""";"=""78""";"=""136""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""5""";"=""W""";"=""6""";"=""5""";"=""7""";"=""YAMASHITA Emika""";"=""16.01.2004""";"=""JPN""";"=""44""";"=""43.90""";"=""58""";"=""61""";"=""* 64""";"=""61""";"=""* 69""";"=""69""";"=""* 72""";"=""69""";"=""130""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""6""";"=""W""";"=""7""";"=""7""";"=""6""";"=""KANI Haruka""";"=""07.01.2004""";"=""JPN""";"=""44""";"=""43.85""";"=""* 56""";"=""* 56""";"=""56""";"=""56""";"=""68""";"=""72""";"=""* 75""";"=""72""";"=""128""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""7""";"=""W""";"=""8""";"=""8""";"=""8""";"=""LIAO Jia-Yi""";"=""21.03.2004""";"=""TPE""";"=""44""";"=""43.55""";"=""45""";"=""52""";"=""* 56""";"=""52""";"=""60""";"=""68""";"=""* 72""";"=""68""";"=""120""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""8""";"=""W""";"=""9""";"=""9""";"=""10""";"=""AMANOVA Ogulgerek""";"=""07.12.2004""";"=""TKM""";"=""44""";"=""42.85""";"=""40""";"=""* 44""";"=""44""";"=""44""";"=""50""";"=""54""";"=""* 56""";"=""54""";"=""98""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""9""";"=""W""";"=""10""";"=""10""";"=""9""";"=""AHMED Maryam Mohamed Sharif Abdulmajeed""";"=""26.07.2003""";"=""BRN""";"=""44""";"=""43.30""";"=""41""";"=""* 45""";"=""* 45""";"=""41""";"=""52""";"=""55""";"=""* 60""";"=""55""";"=""96""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""10""";"=""W""";"=""1""";"=""2""";"=""1""";"=""PHAM Dinh Thi""";"=""05.10.2001""";"=""VIE""";"=""48""";"=""47.65""";"=""69""";"=""* 74""";"=""* 74""";"=""69""";"=""88""";"=""92""";"=""* 94""";"=""92""";"=""161""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""11""";"=""W""";"=""2""";"=""6""";"=""2""";"=""OTOJONOVA Zukhra""";"=""10.02.2001""";"=""UZB""";"=""48""";"=""47.85""";"=""63""";"=""* 67""";"=""* 67""";"=""63""";"=""79""";"=""82""";"=""83""";"=""83""";"=""146""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""12""";"=""W""";"=""3""";"=""5""";"=""3""";"=""SOREN Sneha""";"=""02.05.2001""";"=""IND""";"=""48""";"=""48.00""";"=""60""";"=""* 63""";"=""63""";"=""63""";"=""77""";"=""80""";"=""82""";"=""82""";"=""145""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""13""";"=""W""";"=""4""";"=""3""";"=""5""";"=""MUTO Rieru""";"=""14.04.2002""";"=""JPN""";"=""48""";"=""48.00""";"=""63""";"=""66""";"=""* 68""";"=""66""";"=""78""";"=""* 81""";"=""* 81""";"=""78""";"=""144""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""14""";"=""W""";"=""5""";"=""4""";"=""4""";"=""NGUYEN Thi Phuong Thanh""";"=""30.01.2003""";"=""VIE""";"=""48""";"=""47.75""";"=""64""";"=""* 68""";"=""* 68""";"=""64""";"=""80""";"=""* 83""";"=""* 83""";"=""80""";"=""144""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""15""";"=""W""";"=""6""";"=""7""";"=""6""";"=""EPHAM Quasar Khanam""";"=""25.03.2001""";"=""IND""";"=""48""";"=""47.70""";"=""* 62""";"=""62""";"=""* 65""";"=""62""";"=""* 75""";"=""75""";"=""78""";"=""78""";"=""140""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""16""";"=""W""";"=""7""";"=""9""";"=""7""";"=""SHEN Tzu-Hsuan""";"=""25.08.2001""";"=""TPE""";"=""48""";"=""47.45""";"=""57""";"=""60""";"=""* 62""";"=""60""";"=""78""";"=""* 83""";"=""* 84""";"=""78""";"=""138""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""17""";"=""W""";"=""8""";"=""8""";"=""8""";"=""ANDO Chisuzu""";"=""17.01.2001""";"=""JPN""";"=""48""";"=""47.95""";"=""58""";"=""60""";"=""* 62""";"=""60""";"=""75""";"=""* 78""";"=""* 78""";"=""75""";"=""135""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""18""";"=""W""";"=""9""";"=""10""";"=""9""";"=""NOH Jiyoung""";"=""18.03.2001""";"=""KOR""";"=""48""";"=""47.40""";"=""55""";"=""57""";"=""* 59""";"=""57""";"=""68""";"=""* 71""";"=""* 71""";"=""68""";"=""125""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
"=""19""";"=""W""";"=""10""";"=""11""";"=""10""";"=""OTGONCHIMEG Tugs-Erdene""";"=""06.04.2005""";"=""MGL""";"=""48""";"=""47.55""";"=""40""";"=""* 45""";"=""* 47""";"=""40""";"=""53""";"=""57""";"=""* 60""";"=""57""";"=""97""";"=""2018 ASIAN YOUTH CHAMPIONSHIPS""";"=""04.2018""";
