pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""SABRI Nour El Houda""";"=""28.04.2003""";"=""ALG""";"=""48""";"=""47.97""";"=""40""";"=""50""";"=""55""";"=""55""";"=""60""";"=""70""";"=""---""";"=""70""";"=""125""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""1""";"=""w""";"=""1""";"=""1""";"=""1""";"=""RANAIVOSOA Marie Hanitra Roilya""";"=""14.11.1990""";"=""MRI""";"=""53""";"=""52.90""";"=""70""";"=""80""";"=""*83""";"=""80""";"=""90""";"=""100""";"=""*103""";"=""100""";"=""180""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""2""";"=""w""";"=""2""";"=""2""";"=""2""";"=""THELEMAQUE Katsia""";"=""28.02.1989""";"=""SEY""";"=""53""";"=""49.57""";"=""50""";"=""*55""";"=""*55""";"=""50""";"=""60""";"=""65""";"=""*70""";"=""65""";"=""115""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""3""";"=""m""";"=""1""";"=""1""";"=""1""";"=""AMDRIAITISTOUATMA Eric Le""";"=""01.01.1991""";"=""MAD""";"=""56""";"=""55.82""";"=""*100""";"=""100""";"=""*105""";"=""100""";"=""125""";"=""132""";"=""*140""";"=""132""";"=""232""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""4""";"=""m""";"=""2""";"=""2""";"=""2""";"=""LARIKI Elhabib""";"=""03.11.1987""";"=""ALG""";"=""56""";"=""55.58""";"=""90""";"=""95""";"=""*97""";"=""95""";"=""115""";"=""120""";"=""*125""";"=""120""";"=""215""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""5""";"=""m""";"=""3""";"=""3""";"=""3""";"=""MADANAMOOTHOO Jack Dorian""";"=""19.04.2001""";"=""MRI""";"=""56""";"=""56.00""";"=""75""";"=""80""";"=""85""";"=""85""";"=""95""";"=""105""";"=""*111""";"=""105""";"=""190""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""6""";"=""w""";"=""1""";"=""1""";"=""1""";"=""LAGHOUATI Fatima Zohra""";"=""27.02.1999""";"=""ALG""";"=""58""";"=""57.28""";"=""60""";"=""64""";"=""*70""";"=""64""";"=""76""";"=""*81""";"=""81""";"=""81""";"=""145""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""7""";"=""w""";"=""2""";"=""2""";"=""2""";"=""LANGAT Winny Chepngeno""";"=""03.07.1988""";"=""KEN""";"=""58""";"=""57.80""";"=""55""";"=""60""";"=""63""";"=""63""";"=""75""";"=""*80""";"=""*80""";"=""75""";"=""138""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""8""";"=""w""";"=""3""";"=""3""";"=""3""";"=""GOPALOODOO Priyanka""";"=""01.01.2000""";"=""MRI""";"=""58""";"=""56.21""";"=""30""";"=""40""";"=""43""";"=""43""";"=""40""";"=""45""";"=""52""";"=""52""";"=""95""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""9""";"=""m""";"=""1""";"=""2""";"=""1""";"=""CORET Marc Jonathan""";"=""13.04.1989""";"=""MRI""";"=""62""";"=""61.96""";"=""101""";"=""106""";"=""*108""";"=""106""";"=""126""";"=""135""";"=""---""";"=""135""";"=""241""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""10""";"=""m""";"=""2""";"=""1""";"=""2""";"=""AINOUAZANE Abdelkader""";"=""22.09.1994""";"=""ALG""";"=""62""";"=""61.91""";"=""105""";"=""*107""";"=""109""";"=""109""";"=""130""";"=""*136""";"=""*136""";"=""130""";"=""239""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""11""";"=""m""";"=""3""";"=""3""";"=""3""";"=""DARYH Riaze""";"=""01.01.1989""";"=""SEY""";"=""62""";"=""61.41""";"=""75""";"=""80""";"=""*85""";"=""80""";"=""90""";"=""*100""";"=""100""";"=""100""";"=""180""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""12""";"=""m""";"=""4""";"=""4""";"=""4""";"=""ODHIAMBO Michael""";"=""01.01.2002""";"=""KEN""";"=""62""";"=""58.05""";"=""60""";"=""*66""";"=""66""";"=""66""";"=""77""";"=""82""";"=""*88""";"=""82""";"=""148""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""13""";"=""w""";"=""1""";"=""1""";"=""2""";"=""RAVOLOLONIAINA Elisa Vania""";"=""24.02.1992""";"=""MAD""";"=""63""";"=""61.49""";"=""80""";"=""*85""";"=""85""";"=""85""";"=""95""";"=""*100""";"=""*102""";"=""95""";"=""180""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""14""";"=""w""";"=""2""";"=""2""";"=""1""";"=""LENT Ketty""";"=""25.01.2001""";"=""MRI""";"=""63""";"=""62.58""";"=""70""";"=""77""";"=""*81""";"=""77""";"=""90""";"=""96""";"=""101""";"=""101""";"=""178""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""15""";"=""w""";"=""3""";"=""3""";"=""3""";"=""APAYA Aurelie Emilia Ariane""";"=""01.01.1991""";"=""MRI""";"=""63""";"=""62.84""";"=""45""";"=""55""";"=""60""";"=""60""";"=""60""";"=""70""";"=""*75""";"=""70""";"=""130""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""16""";"=""w""";"=""1""";"=""2""";"=""1""";"=""PRETORIUS Mona""";"=""12.08.1988""";"=""RSA""";"=""69""";"=""63.69""";"=""*82""";"=""82""";"=""*85""";"=""82""";"=""105""";"=""112""";"=""---""";"=""112""";"=""194""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""17""";"=""m""";"=""1""";"=""1""";"=""1""";"=""BEN HNIA Karem""";"=""13.11.1994""";"=""TUN""";"=""69""";"=""68.67""";"=""130""";"=""140""";"=""145""";"=""145""";"=""163""";"=""170""";"=""175""";"=""175""";"=""320""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""18""";"=""m""";"=""2""";"=""2""";"=""3""";"=""CONFIANCE Rick Yves""";"=""24.05.1994""";"=""SEY""";"=""69""";"=""67.89""";"=""103""";"=""108""";"=""*110""";"=""108""";"=""127""";"=""133""";"=""140""";"=""140""";"=""248""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""19""";"=""w""";"=""2""";"=""1""";"=""2""";"=""LABONNE Emmanuella""";"=""04.09.1985""";"=""MRI""";"=""69""";"=""68.96""";"=""81""";"=""*86""";"=""86""";"=""86""";"=""101""";"=""*107""";"=""107""";"=""107""";"=""193""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""20""";"=""m""";"=""3""";"=""3""";"=""2""";"=""PANDOO Dinesh Jevin""";"=""25.02.2001""";"=""MRI""";"=""69""";"=""68.77""";"=""102""";"=""*108""";"=""*110""";"=""102""";"=""133""";"=""140""";"=""*147""";"=""140""";"=""242""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""21""";"=""w""";"=""3""";"=""3""";"=""3""";"=""CHERRARA Ikram""";"=""06.06.1998""";"=""ALG""";"=""69""";"=""65.23""";"=""70""";"=""75""";"=""81""";"=""81""";"=""90""";"=""95""";"=""*101""";"=""95""";"=""176""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""22""";"=""m""";"=""4""";"=""4""";"=""4""";"=""MASINDE Anthony Libasia""";"=""30.08.1989""";"=""KEN""";"=""69""";"=""68.59""";"=""95""";"=""101""";"=""*107""";"=""101""";"=""125""";"=""130""";"=""*142""";"=""130""";"=""231""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""23""";"=""w""";"=""1""";"=""1""";"=""1""";"=""SUNEE Alison Marie Leroy""";"=""20.07.1999""";"=""MRI""";"=""75""";"=""71.41""";"=""65""";"=""*75""";"=""75""";"=""75""";"=""80""";"=""*90""";"=""*90""";"=""80""";"=""155""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""24""";"=""m""";"=""1""";"=""1""";"=""1""";"=""ELSAYED Ahmed Adel Mohamed""";"=""10.07.1997""";"=""EGY""";"=""77""";"=""76.87""";"=""135""";"=""*141""";"=""141""";"=""141""";"=""171""";"=""180""";"=""*185""";"=""180""";"=""321""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""25""";"=""m""";"=""2""";"=""2""";"=""2""";"=""LUKOSE Webstar Ndoli""";"=""19.05.1989""";"=""KEN""";"=""77""";"=""76.30""";"=""120""";"=""126""";"=""131""";"=""131""";"=""150""";"=""156""";"=""*161""";"=""156""";"=""287""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""26""";"=""m""";"=""3""";"=""3""";"=""3""";"=""MADANAMOOTHOO Jack Anthony""";"=""13.01.1999""";"=""MRI""";"=""77""";"=""76.77""";"=""115""";"=""123""";"=""*128""";"=""123""";"=""140""";"=""---""";"=""---""";"=""140""";"=""263""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
"=""27""";"=""m""";"=""1""";"=""1""";"=""1""";"=""BAHLOUL Ramzi""";"=""18.10.1989""";"=""TUN""";"=""85""";"=""79.00""";"=""131""";"=""---""";"=""---""";"=""131""";"=""166""";"=""168""";"=""---""";"=""168""";"=""299""";"=""AFRICAN CHAMPIONSHIPS""";"=""08.2018""";
