pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""2""";"=""CSENGERI Monica-Suneta""";"=""21.03.1996""";"=""ROU""";"=""48""";"=""47.94""";"=""72""";"=""75""";"=""78""";"=""78""";"=""86""";"=""90""";"=""*94""";"=""90""";"=""168""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""1""";"=""MOKHINA Iana""";"=""06.08.1996""";"=""RUS""";"=""48""";"=""47.73""";"=""68""";"=""71""";"=""*74""";"=""71""";"=""86""";"=""90""";"=""*94""";"=""90""";"=""161""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""2""";"=""w""";"=""3""";"=""7""";"=""3""";"=""KARAKOL Gamze""";"=""15.12.1998""";"=""TUR""";"=""48""";"=""47.78""";"=""66""";"=""*68""";"=""*70""";"=""66""";"=""86""";"=""88""";"=""*92""";"=""88""";"=""154""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""3""";"=""w""";"=""4""";"=""6""";"=""4""";"=""AZIMOVA Sabina""";"=""02.11.2000""";"=""AZE""";"=""48""";"=""47.96""";"=""64""";"=""*67""";"=""67""";"=""67""";"=""84""";"=""*87""";"=""87""";"=""87""";"=""154""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""4""";"=""w""";"=""5""";"=""3""";"=""5""";"=""NGUEN Nadezhda-Mey Tuy""";"=""01.07.2000""";"=""BUL""";"=""48""";"=""47.71""";"=""65""";"=""68""";"=""70""";"=""70""";"=""78""";"=""81""";"=""*85""";"=""81""";"=""151""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""5""";"=""w""";"=""6""";"=""4""";"=""6""";"=""DOGAN Ayse""";"=""12.02.2000""";"=""TUR""";"=""48""";"=""47.95""";"=""64""";"=""*67""";"=""69""";"=""69""";"=""77""";"=""79""";"=""81""";"=""81""";"=""150""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""6""";"=""w""";"=""7""";"=""5""";"=""7""";"=""MIRANKOVA Aliaksandra""";"=""24.05.1999""";"=""BLR""";"=""48""";"=""47.80""";"=""63""";"=""*67""";"=""67""";"=""67""";"=""75""";"=""79""";"=""*81""";"=""79""";"=""146""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""7""";"=""w""";"=""8""";"=""8""";"=""8""";"=""MAILLOT Asia Terry Coline""";"=""16.11.1998""";"=""FRA""";"=""48""";"=""47.83""";"=""59""";"=""*62""";"=""*62""";"=""59""";"=""71""";"=""*74""";"=""*76""";"=""71""";"=""130""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""8""";"=""w""";"=""9""";"=""9""";"=""9""";"=""OLUBEK Klaudia Katarzyna""";"=""05.06.1998""";"=""POL""";"=""48""";"=""47.75""";"=""53""";"=""*55""";"=""*55""";"=""53""";"=""60""";"=""*64""";"=""---""";"=""60""";"=""113""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""9""";"=""w""";"=""1""";"=""1""";"=""1""";"=""NOVITSKAIA Kristina""";"=""22.09.1999""";"=""RUS""";"=""53""";"=""52.19""";"=""75""";"=""79""";"=""82""";"=""82""";"=""95""";"=""100""";"=""105""";"=""105""";"=""187""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""10""";"=""w""";"=""2""";"=""2""";"=""4""";"=""MAKUTSEVICH Krystsina""";"=""26.05.1999""";"=""BLR""";"=""53""";"=""52.98""";"=""70""";"=""74""";"=""76""";"=""76""";"=""86""";"=""90""";"=""92""";"=""92""";"=""168""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""11""";"=""w""";"=""3""";"=""3""";"=""3""";"=""KONOTOP Kamila""";"=""23.03.2001""";"=""UKR""";"=""53""";"=""52.08""";"=""71""";"=""74""";"=""*76""";"=""74""";"=""88""";"=""92""";"=""*94""";"=""92""";"=""166""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""12""";"=""w""";"=""4""";"=""5""";"=""2""";"=""JACOBSEN Rebekka Tao""";"=""12.09.1996""";"=""NOR""";"=""53""";"=""52.72""";"=""70""";"=""72""";"=""*73""";"=""72""";"=""91""";"=""*94""";"=""94""";"=""94""";"=""166""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""13""";"=""w""";"=""5""";"=""7""";"=""5""";"=""ILIEVA Atanaska Asenova""";"=""14.06.2000""";"=""BUL""";"=""53""";"=""52.78""";"=""71""";"=""*74""";"=""*74""";"=""71""";"=""85""";"=""88""";"=""91""";"=""91""";"=""162""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
"=""14""";"=""w""";"=""6""";"=""4""";"=""7""";"=""GARCIA SUAREZ Noelia""";"=""09.05.1997""";"=""ESP""";"=""53""";"=""52.32""";"=""70""";"=""73""";"=""*75""";"=""73""";"=""85""";"=""88""";"=""*90""";"=""88""";"=""161""";"=""2016 EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""12.2016""";
