pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""OKUR Saziye""";"=""23.02.1992""";"=""TUR""";"=""48""";"=""45.05""";"=""70""";"=""74""";"=""79""";"=""79""";"=""85""";"=""93""";"=""97""";"=""97""";"=""176""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""KUTUZOVA Ekaterina""";"=""11.03.1989""";"=""RUS""";"=""48""";"=""47.85""";"=""60""";"=""63""";"=""65""";"=""65""";"=""75""";"=""79""";"=""81""";"=""81""";"=""146""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""3""";"=""STEPANOVA Aleksandra""";"=""03.07.1991""";"=""LTU""";"=""48""";"=""47.05""";"=""56""";"=""58""";"=""59""";"=""59""";"=""76""";"=""78""";"=""80""";"=""80""";"=""139""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""4""";"=""SROKA Paulina""";"=""12.07.1993""";"=""POL""";"=""48""";"=""47.75""";"=""55""";"=""*58""";"=""59""";"=""59""";"=""68""";"=""71""";"=""*73""";"=""71""";"=""130""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""4""";"=""W""";"=""5""";"=""5""";"=""6""";"=""DEMIREL Hacer""";"=""27.03.1992""";"=""TUR""";"=""48""";"=""47.35""";"=""50""";"=""56""";"=""*58""";"=""56""";"=""*68""";"=""68""";"=""*75""";"=""68""";"=""124""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""5""";"=""W""";"=""6""";"=""7""";"=""5""";"=""DRAGANOVA Natalia Nacheva""";"=""06.11.1993""";"=""BUL""";"=""48""";"=""46.45""";"=""50""";"=""51""";"=""54""";"=""54""";"=""60""";"=""66""";"=""68""";"=""68""";"=""122""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""6""";"=""W""";"=""7""";"=""6""";"=""7""";"=""ANDRIEUX Cecile""";"=""20.10.1989""";"=""FRA""";"=""48""";"=""47.60""";"=""*55""";"=""55""";"=""*59""";"=""55""";"=""64""";"=""67""";"=""*69""";"=""67""";"=""122""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""7""";"=""W""";"=""1""";"=""1""";"=""1""";"=""COBAN BASOL Aysegul""";"=""16.12.1992""";"=""TUR""";"=""53""";"=""52.15""";"=""72""";"=""73""";"=""*76""";"=""73""";"=""92""";"=""96""";"=""100""";"=""100""";"=""173""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""8""";"=""W""";"=""2""";"=""4""";"=""3""";"=""IVANOVA Maya Petrova""";"=""05.06.1991""";"=""BUL""";"=""53""";"=""52.95""";"=""65""";"=""67""";"=""69""";"=""69""";"=""85""";"=""89""";"=""0""";"=""89""";"=""158""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""9""";"=""W""";"=""3""";"=""5""";"=""2""";"=""BERCHI Dana Alexandra""";"=""11.03.1990""";"=""ROU""";"=""53""";"=""52.20""";"=""*68""";"=""68""";"=""*71""";"=""68""";"=""86""";"=""*89""";"=""89""";"=""89""";"=""157""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""10""";"=""W""";"=""4""";"=""3""";"=""4""";"=""AYDIN Damla""";"=""01.10.1993""";"=""TUR""";"=""53""";"=""52.30""";"=""68""";"=""*71""";"=""71""";"=""71""";"=""82""";"=""86""";"=""*87""";"=""86""";"=""157""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""11""";"=""W""";"=""5""";"=""6""";"=""5""";"=""GIERSZEWSKA Monika""";"=""09.01.1992""";"=""POL""";"=""53""";"=""52.75""";"=""63""";"=""66""";"=""68""";"=""68""";"=""82""";"=""86""";"=""*89""";"=""86""";"=""154""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""12""";"=""W""";"=""6""";"=""2""";"=""6""";"=""DUDAREVICH Marharyta""";"=""02.10.1989""";"=""BLR""";"=""53""";"=""51.55""";"=""69""";"=""*72""";"=""72""";"=""72""";"=""*79""";"=""79""";"=""*83""";"=""79""";"=""151""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""13""";"=""W""";"=""7""";"=""7""";"=""7""";"=""TRIFONOV Daria""";"=""23.07.1991""";"=""ISR""";"=""53""";"=""51.70""";"=""65""";"=""*70""";"=""*70""";"=""65""";"=""75""";"=""*80""";"=""*80""";"=""75""";"=""140""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""14""";"=""W""";"=""8""";"=""8""";"=""8""";"=""FRIDSTROM Linn""";"=""28.06.1990""";"=""SWE""";"=""53""";"=""51.05""";"=""*53""";"=""53""";"=""*57""";"=""53""";"=""64""";"=""67""";"=""69""";"=""69""";"=""122""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""15""";"=""M""";"=""1""";"=""3""";"=""1""";"=""MARGARYAN Smbat""";"=""17.03.1993""";"=""ARM""";"=""56""";"=""55.70""";"=""95""";"=""100""";"=""104""";"=""104""";"=""131""";"=""133""";"=""*143""";"=""133""";"=""237""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""16""";"=""M""";"=""2""";"=""1""";"=""2""";"=""NAZIF Ferdi""";"=""22.09.1989""";"=""BUL""";"=""56""";"=""55.85""";"=""100""";"=""105""";"=""*110""";"=""105""";"=""125""";"=""*131""";"=""132""";"=""132""";"=""237""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""17""";"=""M""";"=""3""";"=""4""";"=""4""";"=""MURADOV Asen Selimov""";"=""01.08.1991""";"=""BUL""";"=""56""";"=""55.75""";"=""95""";"=""100""";"=""*103""";"=""100""";"=""110""";"=""121""";"=""125""";"=""125""";"=""225""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""18""";"=""M""";"=""4""";"=""2""";"=""5""";"=""ALGUL Ismet""";"=""22.09.1992""";"=""TUR""";"=""56""";"=""52.30""";"=""100""";"=""*104""";"=""104""";"=""104""";"=""*116""";"=""116""";"=""120""";"=""120""";"=""224""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""19""";"=""M""";"=""5""";"=""5""";"=""3""";"=""OTERO MARTINEZ Michael Steven""";"=""29.07.1990""";"=""ESP""";"=""56""";"=""54.80""";"=""90""";"=""*95""";"=""95""";"=""95""";"=""120""";"=""125""";"=""*127""";"=""125""";"=""220""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""20""";"=""M""";"=""6""";"=""6""";"=""6""";"=""CASTRO MARINO Victor""";"=""18.12.1992""";"=""ESP""";"=""56""";"=""55.45""";"=""*93""";"=""93""";"=""*99""";"=""93""";"=""*112""";"=""*112""";"=""112""";"=""112""";"=""205""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""21""";"=""M""";"=""7""";"=""7""";"=""7""";"=""VEIZI Skerdilajd""";"=""01.05.1990""";"=""ALB""";"=""56""";"=""55.95""";"=""85""";"=""*88""";"=""*88""";"=""85""";"=""108""";"=""*111""";"=""111""";"=""111""";"=""196""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""22""";"=""W""";"=""1""";"=""2""";"=""2""";"=""OKUMUS Neslihan""";"=""17.09.1994""";"=""TUR""";"=""58""";"=""57.25""";"=""75""";"=""*79""";"=""81""";"=""81""";"=""95""";"=""101""";"=""103""";"=""103""";"=""184""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""23""";"=""W""";"=""2""";"=""1""";"=""4""";"=""OLEKSIIENKO Galyna""";"=""04.04.1989""";"=""UKR""";"=""58""";"=""57.55""";"=""79""";"=""81""";"=""83""";"=""83""";"=""98""";"=""101""";"=""*103""";"=""101""";"=""184""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""24""";"=""W""";"=""3""";"=""3""";"=""3""";"=""KOLAS Natallia""";"=""31.10.1991""";"=""BLR""";"=""58""";"=""57.70""";"=""73""";"=""76""";"=""*79""";"=""76""";"=""99""";"=""103""";"=""*105""";"=""103""";"=""179""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
"=""25""";"=""W""";"=""4""";"=""6""";"=""1""";"=""SAMVELYAN Alla""";"=""27.02.1991""";"=""ARM""";"=""58""";"=""56.40""";"=""*71""";"=""71""";"=""73""";"=""73""";"=""*102""";"=""102""";"=""104""";"=""104""";"=""177""";"=""EUROPEAN JUNIOR CHAMPIONSHIPS""";"=""07.2009""";
