pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""OKUR Saziye""";"=""23.02.1992""";"=""TUR""";"=""44""";"=""43.60""";"=""72""";"=""76""";"=""* 78""";"=""76""";"=""* 86""";"=""86""";"=""* 92""";"=""86""";"=""162""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""1""";"=""W""";"=""2""";"=""3""";"=""2""";"=""CHEN Yulian""";"=""08.01.1994""";"=""CHN""";"=""44""";"=""42.70""";"=""58""";"=""63""";"=""* 65""";"=""63""";"=""72""";"=""* 80""";"=""80""";"=""80""";"=""143""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""2""";"=""W""";"=""3""";"=""2""";"=""4""";"=""NGUYEN Thi Hong""";"=""15.05.1994""";"=""VIE""";"=""44""";"=""43.00""";"=""63""";"=""66""";"=""* 70""";"=""66""";"=""75""";"=""* 80""";"=""* 81""";"=""75""";"=""141""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""3""";"=""SIRIMONGKHON Wipada""";"=""06.04.1992""";"=""THA""";"=""44""";"=""43.64""";"=""* 60""";"=""* 60""";"=""60""";"=""60""";"=""76""";"=""* 82""";"=""* 82""";"=""76""";"=""136""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""4""";"=""W""";"=""5""";"=""5""";"=""5""";"=""PIRON CANDELARIO Beatriz Elizabeth""";"=""27.02.1995""";"=""DOM""";"=""44""";"=""42.96""";"=""* 52""";"=""* 54""";"=""54""";"=""54""";"=""* 64""";"=""64""";"=""* 68""";"=""64""";"=""118""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""5""";"=""W""";"=""6""";"=""6""";"=""7""";"=""LIN Chia-Mei""";"=""29.12.1992""";"=""TPE""";"=""44""";"=""43.24""";"=""47""";"=""50""";"=""* 52""";"=""50""";"=""58""";"=""60""";"=""63""";"=""63""";"=""113""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""6""";"=""W""";"=""7""";"=""7""";"=""6""";"=""MEJIA LOPEZ Maria Alejandra""";"=""01.04.1994""";"=""COL""";"=""44""";"=""42.50""";"=""45""";"=""47""";"=""* 49""";"=""47""";"=""57""";"=""60""";"=""63""";"=""63""";"=""110""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""7""";"=""W""";"=""8""";"=""8""";"=""8""";"=""KAY Khine""";"=""06.01.1994""";"=""MYA""";"=""44""";"=""42.63""";"=""* 45""";"=""45""";"=""* 50""";"=""45""";"=""55""";"=""* 60""";"=""60""";"=""60""";"=""105""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""8""";"=""W""";"=""9""";"=""9""";"=""9""";"=""GARCIA FERRER Gisela""";"=""31.07.1994""";"=""ESP""";"=""44""";"=""43.94""";"=""45""";"=""* 49""";"=""* 49""";"=""45""";"=""55""";"=""60""";"=""* 63""";"=""60""";"=""105""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""9""";"=""W""";"=""10""";"=""10""";"=""10""";"=""SUMAN""";"=""05.07.1993""";"=""IND""";"=""44""";"=""42.36""";"=""26""";"=""30""";"=""33""";"=""33""";"=""33""";"=""40""";"=""43""";"=""43""";"=""76""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""10""";"=""W""";"=""1""";"=""1""";"=""1""";"=""WANG Li""";"=""22.01.1992""";"=""CHN""";"=""48""";"=""47.63""";"=""76""";"=""81""";"=""83""";"=""83""";"=""96""";"=""*103""";"=""103""";"=""103""";"=""186""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""11""";"=""W""";"=""2""";"=""4""";"=""2""";"=""NAKPONG Wipawan""";"=""01.07.1992""";"=""THA""";"=""48""";"=""47.31""";"=""65""";"=""70""";"=""* 76""";"=""70""";"=""90""";"=""96""";"=""*103""";"=""96""";"=""166""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""12""";"=""W""";"=""3""";"=""3""";"=""3""";"=""PRAMONGKHOL Sirivimon""";"=""29.11.1994""";"=""THA""";"=""48""";"=""47.76""";"=""65""";"=""70""";"=""72""";"=""72""";"=""90""";"=""92""";"=""* 97""";"=""92""";"=""164""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""13""";"=""W""";"=""4""";"=""2""";"=""5""";"=""MIZUOCHI Honami""";"=""05.02.1993""";"=""JPN""";"=""48""";"=""47.75""";"=""67""";"=""70""";"=""72""";"=""72""";"=""83""";"=""85""";"=""87""";"=""87""";"=""159""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""14""";"=""W""";"=""5""";"=""5""";"=""7""";"=""VUONG Thi Huyen""";"=""22.06.1992""";"=""VIE""";"=""48""";"=""47.74""";"=""60""";"=""* 65""";"=""65""";"=""65""";"=""75""";"=""78""";"=""* 81""";"=""78""";"=""143""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""15""";"=""W""";"=""6""";"=""6""";"=""6""";"=""SAFITRI Dewi""";"=""10.02.1993""";"=""INA""";"=""48""";"=""46.95""";"=""61""";"=""* 66""";"=""* 66""";"=""61""";"=""79""";"=""* 85""";"=""* 85""";"=""79""";"=""140""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""16""";"=""W""";"=""7""";"=""7""";"=""9""";"=""NGUYEN Thi Hang Nga""";"=""22.08.1994""";"=""VIE""";"=""48""";"=""47.50""";"=""58""";"=""* 61""";"=""* 61""";"=""58""";"=""75""";"=""* 78""";"=""* 78""";"=""75""";"=""133""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""17""";"=""W""";"=""8""";"=""8""";"=""12""";"=""CHAPARRO GAITAN Karen Lorena""";"=""21.09.1994""";"=""COL""";"=""48""";"=""47.66""";"=""* 57""";"=""* 57""";"=""57""";"=""57""";"=""67""";"=""70""";"=""* 73""";"=""70""";"=""127""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
"=""18""";"=""W""";"=""9""";"=""9""";"=""11""";"=""KRUCZYNSKA Kamila""";"=""19.11.1995""";"=""POL""";"=""48""";"=""47.13""";"=""50""";"=""53""";"=""55""";"=""55""";"=""66""";"=""69""";"=""70""";"=""70""";"=""125""";"=""2009 IWF YOUTH WORLD CHAMPIONSHIPS""";"=""05.2009""";
