pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""3""";"=""1""";"=""KEEGAN Kerri Neal""";"=""18.05.1994""";"=""USA""";"=""48""";"=""46.84""";"=""60""";"=""* 64""";"=""64""";"=""64""";"=""83""";"=""87""";"=""* 93""";"=""87""";"=""151""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""1""";"=""W""";"=""2""";"=""1""";"=""4""";"=""CHIANG Meng-Chun""";"=""27.12.1994""";"=""TPE""";"=""48""";"=""47.02""";"=""63""";"=""65""";"=""67""";"=""67""";"=""82""";"=""84""";"=""* 86""";"=""84""";"=""151""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""2""";"=""W""";"=""3""";"=""2""";"=""2""";"=""POWELL Hannah Louise""";"=""12.12.1992""";"=""GBR""";"=""48""";"=""45.70""";"=""65""";"=""* 67""";"=""* 68""";"=""65""";"=""* 83""";"=""83""";"=""85""";"=""85""";"=""150""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""3""";"=""TAKAHASHI Ibuki""";"=""24.03.1997""";"=""JPN""";"=""48""";"=""47.40""";"=""62""";"=""64""";"=""* 65""";"=""64""";"=""80""";"=""* 83""";"=""85""";"=""85""";"=""149""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""4""";"=""W""";"=""1""";"=""1""";"=""1""";"=""LIAO Qiuyun""";"=""13.07.1995""";"=""CHN""";"=""53""";"=""52.30""";"=""85""";"=""90""";"=""* 93""";"=""90""";"=""105""";"=""110""";"=""---""";"=""110""";"=""200""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""5""";"=""W""";"=""2""";"=""2""";"=""2""";"=""HOGAN Caitlin Leigh""";"=""22.05.1988""";"=""USA""";"=""53""";"=""52.84""";"=""75""";"=""77""";"=""81""";"=""81""";"=""104""";"=""*107""";"=""107""";"=""107""";"=""188""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""6""";"=""W""";"=""3""";"=""3""";"=""3""";"=""SADOYAMA Ayana""";"=""03.05.1994""";"=""JPN""";"=""53""";"=""51.56""";"=""* 73""";"=""73""";"=""75""";"=""75""";"=""92""";"=""95""";"=""100""";"=""100""";"=""175""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""7""";"=""W""";"=""4""";"=""4""";"=""4""";"=""LOZA BRAVO Cruz Lizbeth""";"=""30.11.1997""";"=""MEX""";"=""53""";"=""52.40""";"=""70""";"=""74""";"=""* 76""";"=""74""";"=""90""";"=""* 94""";"=""* 96""";"=""90""";"=""164""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""8""";"=""W""";"=""5""";"=""5""";"=""5""";"=""HUNG Tzu-Chun""";"=""01.01.1994""";"=""TPE""";"=""53""";"=""52.48""";"=""* 70""";"=""* 70""";"=""70""";"=""70""";"=""* 89""";"=""89""";"=""* 94""";"=""89""";"=""159""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
"=""9""";"=""W""";"=""6""";"=""6""";"=""6""";"=""FELEDYN Katarzyna Wioletta""";"=""25.11.1993""";"=""POL""";"=""53""";"=""51.30""";"=""63""";"=""* 66""";"=""66""";"=""66""";"=""83""";"=""86""";"=""* 88""";"=""86""";"=""152""";"=""2016 FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2016""";
