pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""NANTHAWONG Chiraphan""";"=""17.08.1999""";"=""THA""";"=""48""";"=""47.40""";"=""78""";"=""81""";"=""* 83""";"=""81""";"=""97""";"=""100""";"=""*105""";"=""100""";"=""181""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""OLIVEIRA MADEIRA Luana""";"=""31.01.1998""";"=""BRA""";"=""48""";"=""47.75""";"=""76""";"=""* 79""";"=""* 81""";"=""76""";"=""92""";"=""96""";"=""* 98""";"=""96""";"=""172""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""5""";"=""DALABEHERA Jhilli""";"=""03.02.1999""";"=""IND""";"=""48""";"=""47.60""";"=""* 72""";"=""72""";"=""75""";"=""75""";"=""* 92""";"=""92""";"=""* 96""";"=""92""";"=""167""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""6""";"=""BUACHATTURAT Chotima""";"=""12.03.2000""";"=""THA""";"=""48""";"=""47.70""";"=""72""";"=""74""";"=""* 77""";"=""74""";"=""92""";"=""* 94""";"=""* 94""";"=""92""";"=""166""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""4""";"=""W""";"=""5""";"=""10""";"=""3""";"=""SUZUKI Rira""";"=""06.09.1998""";"=""JPN""";"=""48""";"=""45.65""";"=""65""";"=""67""";"=""69""";"=""69""";"=""89""";"=""92""";"=""95""";"=""95""";"=""164""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""5""";"=""W""";"=""6""";"=""8""";"=""4""";"=""CUEVA URIBE Fiorella Francesca""";"=""04.02.1998""";"=""PER""";"=""48""";"=""47.50""";"=""68""";"=""71""";"=""* 72""";"=""71""";"=""93""";"=""* 96""";"=""* 96""";"=""93""";"=""164""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""6""";"=""W""";"=""7""";"=""5""";"=""9""";"=""PUTRI Yolanda""";"=""27.01.2000""";"=""INA""";"=""48""";"=""47.75""";"=""73""";"=""* 77""";"=""* 77""";"=""73""";"=""90""";"=""* 94""";"=""* 94""";"=""90""";"=""163""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""7""";"=""W""";"=""8""";"=""7""";"=""7""";"=""REICHARDT Hayley Marie""";"=""27.04.1999""";"=""USA""";"=""48""";"=""47.85""";"=""* 72""";"=""* 72""";"=""72""";"=""72""";"=""91""";"=""* 94""";"=""* 96""";"=""91""";"=""163""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""8""";"=""W""";"=""9""";"=""6""";"=""8""";"=""KARAKOL Gamze""";"=""15.12.1998""";"=""TUR""";"=""48""";"=""47.55""";"=""69""";"=""* 71""";"=""72""";"=""72""";"=""* 88""";"=""88""";"=""91""";"=""91""";"=""163""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
"=""9""";"=""W""";"=""10""";"=""11""";"=""10""";"=""OLESKIEWICZ Sylwia Malgorzata""";"=""23.06.1999""";"=""POL""";"=""48""";"=""47.75""";"=""63""";"=""66""";"=""68""";"=""68""";"=""80""";"=""84""";"=""* 87""";"=""84""";"=""152""";"=""2018 IWF JUNIOR WORLD CHAMPIONSHIPS""";"=""07.2018""";
