pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""2""";"=""1""";"=""TARAFDAR Chandrika""";"=""12.10.1996""";"=""IND""";"=""44""";"=""42.90""";"=""*54""";"=""54""";"=""*58""";"=""54""";"=""74""";"=""77""";"=""*79""";"=""77""";"=""131""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""1""";"=""w""";"=""2""";"=""11""";"=""2""";"=""GURSALE Dipali Dattatraya""";"=""10.11.1996""";"=""IND""";"=""44""";"=""42.70""";"=""54""";"=""57""";"=""*60""";"=""57""";"=""62""";"=""66""";"=""*69""";"=""66""";"=""123""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""3""";"=""ABEYSEKARA D. D. D.""";"=""16.11.1997""";"=""SRI""";"=""44""";"=""43.40""";"=""*54""";"=""*54""";"=""54""";"=""54""";"=""63""";"=""65""";"=""*69""";"=""65""";"=""119""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""6""";"=""RESHMA Jahura Akter""";"=""11.07.1998""";"=""BAN""";"=""44""";"=""42.60""";"=""47""";"=""*50""";"=""50""";"=""50""";"=""58""";"=""*62""";"=""*62""";"=""58""";"=""108""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""4""";"=""w""";"=""5""";"=""5""";"=""5""";"=""WU Chia Yi""";"=""26.03.1998""";"=""TPE""";"=""44""";"=""43.40""";"=""47""";"=""*51""";"=""*52""";"=""47""";"=""58""";"=""*61""";"=""61""";"=""61""";"=""108""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""5""";"=""w""";"=""6""";"=""6""";"=""7""";"=""NASER Nagah Hshem""";"=""15.05.1999""";"=""IRQ""";"=""44""";"=""43.30""";"=""38""";"=""42""";"=""*45""";"=""42""";"=""45""";"=""50""";"=""*52""";"=""50""";"=""92""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""6""";"=""w""";"=""7""";"=""7""";"=""8""";"=""ISAA Shoug Ahmed Al Maoani""";"=""18.11.1999""";"=""UAE""";"=""44""";"=""40.50""";"=""17""";"=""---""";"=""---""";"=""17""";"=""20""";"=""22""";"=""25""";"=""25""";"=""42""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""7""";"=""w""";"=""---""";"=""---""";"=""4""";"=""DZHUMABAYEVA Yulduz""";"=""22.04.1998""";"=""TKM""";"=""44""";"=""43.50""";"=""*50""";"=""*52""";"=""*52""";"=""---""";"=""*63""";"=""64""";"=""*67""";"=""64""";"=""0""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""8""";"=""w""";"=""1""";"=""2""";"=""1""";"=""ZHUANG Jidan""";"=""10.07.1997""";"=""CHN""";"=""48""";"=""47.40""";"=""60""";"=""*62""";"=""*62""";"=""60""";"=""80""";"=""83""";"=""*85""";"=""83""";"=""143""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""9""";"=""w""";"=""2""";"=""1""";"=""3""";"=""NGUYEN THI Hang""";"=""30.04.1996""";"=""VIE""";"=""48""";"=""46.80""";"=""60""";"=""63""";"=""65""";"=""65""";"=""71""";"=""*74""";"=""74""";"=""74""";"=""139""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""10""";"=""w""";"=""3""";"=""3""";"=""2""";"=""AJIMA Chiaki""";"=""18.07.1996""";"=""JPN""";"=""48""";"=""47.30""";"=""56""";"=""59""";"=""*61""";"=""59""";"=""71""";"=""74""";"=""75""";"=""75""";"=""134""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""11""";"=""w""";"=""4""";"=""4""";"=""4""";"=""PEREZ Elien Rose""";"=""28.08.1998""";"=""PHI""";"=""48""";"=""46.40""";"=""*55""";"=""55""";"=""58""";"=""58""";"=""70""";"=""72""";"=""*74""";"=""72""";"=""130""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""12""";"=""w""";"=""5""";"=""5""";"=""5""";"=""LEE Wen Ting""";"=""16.11.1996""";"=""TPE""";"=""48""";"=""47.60""";"=""50""";"=""54""";"=""*56""";"=""54""";"=""60""";"=""65""";"=""*68""";"=""65""";"=""119""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""13""";"=""w""";"=""6""";"=""6""";"=""7""";"=""ISAA Ma Ahmed Al Madani""";"=""26.07.2000""";"=""UAE""";"=""48""";"=""46.00""";"=""25""";"=""27""";"=""*28""";"=""27""";"=""*30""";"=""30""";"=""*35""";"=""30""";"=""57""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""14""";"=""w""";"=""---""";"=""---""";"=""6""";"=""SALIM Montha Isaa""";"=""01.01.2000""";"=""UAE""";"=""48""";"=""47.50""";"=""*27""";"=""*27""";"=""*27""";"=""---""";"=""30""";"=""31""";"=""32""";"=""32""";"=""0""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""15""";"=""m""";"=""1""";"=""2""";"=""1""";"=""DERU Jimjang""";"=""01.10.1998""";"=""IND""";"=""50""";"=""49.00""";"=""82""";"=""*86""";"=""86""";"=""86""";"=""108""";"=""113""";"=""*118""";"=""113""";"=""199""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""16""";"=""m""";"=""2""";"=""1""";"=""2""";"=""YULDASHEV Mashkhurbek""";"=""17.02.1997""";"=""UZB""";"=""50""";"=""48.90""";"=""82""";"=""86""";"=""*88""";"=""86""";"=""102""";"=""106""";"=""*109""";"=""106""";"=""192""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""17""";"=""m""";"=""3""";"=""3""";"=""3""";"=""YEH Fu-kuei""";"=""21.01.1998""";"=""TPE""";"=""50""";"=""49.10""";"=""80""";"=""*84""";"=""*84""";"=""80""";"=""95""";"=""103""";"=""*109""";"=""103""";"=""183""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""18""";"=""m""";"=""4""";"=""4""";"=""4""";"=""SALAMATOV Iskender""";"=""11.12.1997""";"=""KGZ""";"=""50""";"=""48.70""";"=""65""";"=""70""";"=""74""";"=""74""";"=""85""";"=""89""";"=""*96""";"=""89""";"=""163""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""19""";"=""m""";"=""5""";"=""5""";"=""5""";"=""ALI Muheeb""";"=""20.05.1997""";"=""PAK""";"=""50""";"=""49.00""";"=""*65""";"=""*65""";"=""65""";"=""65""";"=""82""";"=""85""";"=""87""";"=""87""";"=""152""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""20""";"=""m""";"=""6""";"=""6""";"=""6""";"=""ALKINDI Salman Ahmed Salem Mohamed""";"=""11.04.1997""";"=""BRN""";"=""50""";"=""49.60""";"=""*60""";"=""*62""";"=""63""";"=""63""";"=""75""";"=""82""";"=""*87""";"=""82""";"=""145""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""21""";"=""w""";"=""1""";"=""1""";"=""1""";"=""KAEWKHONG Supattra""";"=""11.03.1996""";"=""THA""";"=""53""";"=""52.10""";"=""66""";"=""70""";"=""72""";"=""72""";"=""85""";"=""90""";"=""94""";"=""94""";"=""166""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""22""";"=""w""";"=""2""";"=""2""";"=""3""";"=""ANNISA NUR PERMATA Sari""";"=""01.01.1997""";"=""INA""";"=""53""";"=""52.50""";"=""65""";"=""70""";"=""*72""";"=""70""";"=""82""";"=""85""";"=""*90""";"=""85""";"=""155""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""23""";"=""w""";"=""3""";"=""3""";"=""2""";"=""MAL Joti""";"=""22.07.1996""";"=""IND""";"=""53""";"=""52.60""";"=""*63""";"=""63""";"=""66""";"=""66""";"=""*83""";"=""83""";"=""87""";"=""87""";"=""153""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""24""";"=""w""";"=""4""";"=""4""";"=""4""";"=""YUMNAM Khomdonbi Chanu""";"=""01.04.1997""";"=""IND""";"=""53""";"=""52.30""";"=""64""";"=""*66""";"=""*66""";"=""64""";"=""*84""";"=""84""";"=""*89""";"=""84""";"=""148""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
"=""25""";"=""w""";"=""5""";"=""7""";"=""5""";"=""MANABE Yukari""";"=""27.03.1996""";"=""JPN""";"=""53""";"=""51.50""";"=""*61""";"=""*61""";"=""61""";"=""61""";"=""77""";"=""80""";"=""82""";"=""82""";"=""143""";"=""ASIAN YOUTH CHAMPIONSHIPS""";"=""05.2013""";
