pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""---""";"=""---""";"=""JIANG Huihua""";"=""22.01.1998""";"=""CHN""";"=""48""";"=""46.30""";"=""71""";"=""76""";"=""83""";"=""83""";"=""85""";"=""93""";"=""100""";"=""100""";"=""183""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""1""";"=""w""";"=""2""";"=""---""";"=""---""";"=""SUKCHAROEN Thunya""";"=""21.04.1997""";"=""THA""";"=""48""";"=""47.73""";"=""65""";"=""68""";"=""70""";"=""70""";"=""85""";"=""90""";"=""*94""";"=""90""";"=""160""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""2""";"=""w""";"=""3""";"=""---""";"=""---""";"=""YAO Lingling""";"=""11.06.1997""";"=""CHN""";"=""48""";"=""46.97""";"=""63""";"=""67""";"=""*70""";"=""67""";"=""80""";"=""85""";"=""*88""";"=""85""";"=""152""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""3""";"=""w""";"=""4""";"=""---""";"=""---""";"=""KANG Hyon Gyong""";"=""16.02.1999""";"=""PRK""";"=""48""";"=""47.84""";"=""66""";"=""*69""";"=""*70""";"=""66""";"=""86""";"=""*90""";"=""*90""";"=""86""";"=""152""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""4""";"=""w""";"=""5""";"=""---""";"=""---""";"=""PARK Yaeim""";"=""05.12.1998""";"=""KOR""";"=""48""";"=""47.88""";"=""*60""";"=""60""";"=""*65""";"=""60""";"=""*80""";"=""80""";"=""85""";"=""85""";"=""145""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""5""";"=""w""";"=""6""";"=""---""";"=""---""";"=""MEGAWATI""";"=""23.03.1998""";"=""INA""";"=""48""";"=""47.33""";"=""56""";"=""59""";"=""*62""";"=""59""";"=""76""";"=""*80""";"=""*80""";"=""76""";"=""135""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""6""";"=""w""";"=""7""";"=""---""";"=""---""";"=""ABEYSEKARA D. D. D.""";"=""16.11.1997""";"=""SRI""";"=""48""";"=""47.39""";"=""55""";"=""58""";"=""*60""";"=""58""";"=""70""";"=""73""";"=""75""";"=""75""";"=""133""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""7""";"=""w""";"=""8""";"=""---""";"=""---""";"=""PEREZ Elien Rose""";"=""28.08.1998""";"=""PHI""";"=""48""";"=""46.45""";"=""*55""";"=""55""";"=""60""";"=""60""";"=""70""";"=""*75""";"=""*75""";"=""70""";"=""130""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""8""";"=""w""";"=""9""";"=""---""";"=""---""";"=""DZHUMABAYEVA Yulduz""";"=""22.04.1998""";"=""TKM""";"=""48""";"=""47.28""";"=""*50""";"=""52""";"=""*55""";"=""52""";"=""62""";"=""66""";"=""*68""";"=""66""";"=""118""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
"=""9""";"=""w""";"=""10""";"=""---""";"=""---""";"=""RESHMA Jahura Akter""";"=""11.07.1998""";"=""BAN""";"=""48""";"=""45.87""";"=""48""";"=""*51""";"=""51""";"=""51""";"=""60""";"=""64""";"=""66""";"=""66""";"=""117""";"=""2013 ASIAN YOUTH GAMES""";"=""08.2013""";
