pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""---""";"=""---""";"=""CABRERA Maria""";"=""22.10.1988""";"=""ESP""";"=""48""";"=""47.60""";"=""0.0""";"=""0.0""";"=""0.0""";"=""60""";"=""0.0""";"=""0.0""";"=""0.0""";"=""76""";"=""136""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""1""";"=""w""";"=""2""";"=""---""";"=""---""";"=""BONNAMANT Melanie Isabelle""";"=""30.05.1992""";"=""FRA""";"=""48""";"=""47.80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""57""";"=""0.0""";"=""0.0""";"=""0.0""";"=""73""";"=""130""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""2""";"=""w""";"=""3""";"=""---""";"=""---""";"=""STARCKOVA Eva""";"=""25.08.1987""";"=""CZE""";"=""48""";"=""47.70""";"=""0.0""";"=""0.0""";"=""0.0""";"=""55""";"=""0.0""";"=""0.0""";"=""0.0""";"=""68""";"=""123""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""3""";"=""w""";"=""4""";"=""---""";"=""---""";"=""MAVROMMATI Maria""";"=""30.03.1993""";"=""GRE""";"=""48""";"=""47.00""";"=""0.0""";"=""0.0""";"=""0.0""";"=""45""";"=""0.0""";"=""0.0""";"=""0.0""";"=""60""";"=""105""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""4""";"=""w""";"=""---""";"=""---""";"=""---""";"=""ZAORSKA Agnieszka""";"=""01.01.1900""";"=""POL""";"=""48""";"=""42.00""";"=""0.0""";"=""0.0""";"=""0.0""";"=""45""";"=""0.0""";"=""0.0""";"=""0.0""";"=""55""";"=""100""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""5""";"=""w""";"=""1""";"=""---""";"=""---""";"=""KARPINSKA Marzena""";"=""19.02.1988""";"=""POL""";"=""53""";"=""49.00""";"=""0.0""";"=""0.0""";"=""0.0""";"=""76""";"=""0.0""";"=""0.0""";"=""0.0""";"=""92""";"=""168""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""6""";"=""w""";"=""2""";"=""---""";"=""---""";"=""BENTELI Konstantina""";"=""24.08.1993""";"=""GRE""";"=""53""";"=""51.80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""65""";"=""0.0""";"=""0.0""";"=""0.0""";"=""72""";"=""137""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""7""";"=""w""";"=""3""";"=""---""";"=""---""";"=""ROJAS Dania""";"=""01.01.1991""";"=""ESP""";"=""53""";"=""52.80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""58""";"=""0.0""";"=""0.0""";"=""0.0""";"=""70""";"=""128""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""8""";"=""m""";"=""1""";"=""---""";"=""---""";"=""PRZEPIORKIEWICZ Maciej""";"=""14.11.1987""";"=""POL""";"=""56""";"=""56.00""";"=""0.0""";"=""0.0""";"=""0.0""";"=""98""";"=""0.0""";"=""0.0""";"=""0.0""";"=""125""";"=""223""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""9""";"=""m""";"=""2""";"=""---""";"=""---""";"=""ZEREBKOVS Artjoms""";"=""05.10.1993""";"=""LAT""";"=""56""";"=""55.40""";"=""0.0""";"=""0.0""";"=""0.0""";"=""95""";"=""0.0""";"=""0.0""";"=""0.0""";"=""116""";"=""211""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""10""";"=""m""";"=""3""";"=""---""";"=""---""";"=""CASTRO MARINO Victor""";"=""18.12.1992""";"=""ESP""";"=""56""";"=""55.60""";"=""0.0""";"=""0.0""";"=""0.0""";"=""97""";"=""0.0""";"=""0.0""";"=""0.0""";"=""114""";"=""211""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""11""";"=""m""";"=""4""";"=""---""";"=""---""";"=""KONDZIOLKA Marcin""";"=""01.01.1988""";"=""POL""";"=""56""";"=""55.70""";"=""0.0""";"=""0.0""";"=""0.0""";"=""88""";"=""0.0""";"=""0.0""";"=""0.0""";"=""112""";"=""200""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""12""";"=""w""";"=""1""";"=""---""";"=""---""";"=""LOCHOWSKA Joanna""";"=""17.11.1988""";"=""POL""";"=""58""";"=""54.00""";"=""0.0""";"=""0.0""";"=""0.0""";"=""85""";"=""0.0""";"=""0.0""";"=""0.0""";"=""100""";"=""185""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""13""";"=""w""";"=""2""";"=""---""";"=""---""";"=""ROWINSKA Malwina""";"=""06.11.1986""";"=""POL""";"=""58""";"=""55.00""";"=""0.0""";"=""0.0""";"=""0.0""";"=""75""";"=""0.0""";"=""0.0""";"=""0.0""";"=""100""";"=""175""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
"=""14""";"=""w""";"=""3""";"=""---""";"=""---""";"=""PREON ANNE Lydie""";"=""01.01.1986""";"=""FRA""";"=""58""";"=""57.30""";"=""0.0""";"=""0.0""";"=""0.0""";"=""68""";"=""0.0""";"=""0.0""";"=""0.0""";"=""86""";"=""154""";"=""37th EUROPEAN UNION CHAMPIONSHIPS""";"=""03.2009""";
