pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""m""";"=""1""";"=""---""";"=""---""";"=""FERNANDES Toni""";"=""01.01.1900""";"=""LUX""";"=""62""";"=""58.90""";"=""80""";"=""*85""";"=""85""";"=""85""";"=""100""";"=""105""";"=""107""";"=""107""";"=""192""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""1""";"=""m""";"=""1""";"=""---""";"=""---""";"=""MINASIDIS Dimitris""";"=""29.04.1989""";"=""CYP""";"=""69""";"=""64.80""";"=""120""";"=""125""";"=""130""";"=""130""";"=""*145""";"=""145""";"=""*160""";"=""145""";"=""275""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""2""";"=""m""";"=""2""";"=""---""";"=""---""";"=""BRICHI Damian""";"=""01.01.1979""";"=""MON""";"=""69""";"=""66.30""";"=""60""";"=""65""";"=""68""";"=""68""";"=""85""";"=""90""";"=""95""";"=""95""";"=""163""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""3""";"=""m""";"=""3""";"=""---""";"=""---""";"=""PERPIGLIA Nicolas""";"=""01.01.1900""";"=""SMR""";"=""69""";"=""63.10""";"=""*45""";"=""50""";"=""*53""";"=""50""";"=""65""";"=""*70""";"=""70""";"=""70""";"=""120""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""4""";"=""m""";"=""---""";"=""---""";"=""---""";"=""GRECH Clint""";"=""11.04.1987""";"=""MLT""";"=""69""";"=""68.90""";"=""*90""";"=""*90""";"=""*90""";"=""---""";"=""107""";"=""*112""";"=""*112""";"=""107""";"=""0""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""5""";"=""m""";"=""1""";"=""---""";"=""---""";"=""DOS SANTOS Bruno Philippe""";"=""27.05.1982""";"=""LUX""";"=""77""";"=""74.30""";"=""97""";"=""*102""";"=""102""";"=""102""";"=""118""";"=""123""";"=""125""";"=""125""";"=""227""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""6""";"=""m""";"=""2""";"=""---""";"=""---""";"=""CANESTRIER Jean""";"=""01.01.1966""";"=""MON""";"=""77""";"=""72.30""";"=""85""";"=""90""";"=""*93""";"=""90""";"=""110""";"=""115""";"=""118""";"=""118""";"=""208""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""7""";"=""m""";"=""3""";"=""---""";"=""---""";"=""SALIBA Christian""";"=""16.09.1992""";"=""MLT""";"=""77""";"=""76.70""";"=""73""";"=""77""";"=""*82""";"=""77""";"=""97""";"=""105""";"=""107""";"=""107""";"=""184""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""8""";"=""m""";"=""4""";"=""---""";"=""---""";"=""ARGYRIS Sokratous""";"=""19.07.1993""";"=""CYP""";"=""77""";"=""70.50""";"=""72""";"=""77""";"=""*80""";"=""77""";"=""90""";"=""95""";"=""97""";"=""97""";"=""174""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""9""";"=""m""";"=""---""";"=""---""";"=""---""";"=""BORG Stephen""";"=""02.07.1976""";"=""MLT""";"=""85""";"=""84.10""";"=""*82""";"=""82""";"=""*86""";"=""82""";"=""*107""";"=""*110""";"=""*110""";"=""---""";"=""0""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""10""";"=""m""";"=""1""";"=""---""";"=""---""";"=""GUIDI Stefano""";"=""03.11.1974""";"=""SMR""";"=""94""";"=""92.60""";"=""90""";"=""95""";"=""100""";"=""100""";"=""110""";"=""120""";"=""130""";"=""130""";"=""230""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""11""";"=""m""";"=""1""";"=""---""";"=""---""";"=""IOANNOU Angelos""";"=""01.01.1972""";"=""CYP""";"=""105""";"=""99.20""";"=""110""";"=""115""";"=""*120""";"=""115""";"=""135""";"=""140""";"=""*145""";"=""140""";"=""255""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""12""";"=""m""";"=""2""";"=""---""";"=""---""";"=""GEHLEN Christophe""";"=""01.01.1900""";"=""LUX""";"=""105""";"=""95.80""";"=""105""";"=""110""";"=""*115""";"=""110""";"=""133""";"=""140""";"=""*143""";"=""140""";"=""250""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""13""";"=""m""";"=""3""";"=""---""";"=""---""";"=""KRETTLY Marc""";"=""01.01.1956""";"=""MON""";"=""105""";"=""96.90""";"=""90""";"=""101""";"=""104""";"=""104""";"=""120""";"=""126""";"=""133""";"=""133""";"=""237""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
"=""14""";"=""m""";"=""1""";"=""---""";"=""---""";"=""SCHEMBRI Emanuel""";"=""01.01.1900""";"=""MLT""";"=""p105""";"=""113.80""";"=""100""";"=""*110""";"=""*110""";"=""100""";"=""132""";"=""142""";"=""*151""";"=""142""";"=""242""";"=""31st EUROPEAN SMALL NATIONS TOURNAMENT""";"=""05.2009""";
