pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""WANG Mingjuan""";"=""11.10.1985""";"=""CHN""";"=""53""";"=""49.04""";"=""85""";"=""90""";"=""92""";"=""92""";"=""105""";"=""110""";"=""113""";"=""113""";"=""205""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""CEN Lijuan""";"=""06.07.1985""";"=""CHN""";"=""53""";"=""52.23""";"=""80""";"=""85""";"=""90""";"=""90""";"=""100""";"=""105""";"=""111""";"=""111""";"=""201""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""4""";"=""SUDA Chaleephay""";"=""06.06.1987""";"=""THA""";"=""53""";"=""52.52""";"=""85""";"=""89""";"=""* 91""";"=""89""";"=""105""";"=""110""";"=""*114""";"=""110""";"=""199""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""3""";"=""W""";"=""4""";"=""4""";"=""3""";"=""MIYAKE Hiromi""";"=""18.11.1985""";"=""JPN""";"=""53""";"=""49.11""";"=""78""";"=""80""";"=""82""";"=""82""";"=""103""";"=""108""";"=""110""";"=""110""";"=""192""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""4""";"=""W""";"=""5""";"=""5""";"=""9""";"=""DE LA PUENTE Maria Alvarez""";"=""11.03.1989""";"=""ESP""";"=""53""";"=""52.72""";"=""75""";"=""80""";"=""* 85""";"=""80""";"=""90""";"=""95""";"=""*100""";"=""95""";"=""175""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""5""";"=""W""";"=""6""";"=""6""";"=""6""";"=""LACHAUME ANDRIEUX Virginie C. R.""";"=""21.03.1980""";"=""FRA""";"=""53""";"=""52.84""";"=""73""";"=""77""";"=""* 79""";"=""77""";"=""92""";"=""* 96""";"=""96""";"=""96""";"=""173""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""6""";"=""W""";"=""7""";"=""8""";"=""5""";"=""ROWINSKA Malwina""";"=""06.11.1986""";"=""POL""";"=""53""";"=""52.96""";"=""70""";"=""73""";"=""* 75""";"=""73""";"=""95""";"=""99""";"=""*101""";"=""99""";"=""172""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""7""";"=""W""";"=""8""";"=""7""";"=""7""";"=""AMNUAIPORN Maneewan""";"=""07.04.1987""";"=""THA""";"=""53""";"=""50.19""";"=""* 73""";"=""73""";"=""* 75""";"=""73""";"=""92""";"=""95""";"=""* 98""";"=""95""";"=""168""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""8""";"=""W""";"=""9""";"=""9""";"=""8""";"=""TOUA Loa Dika""";"=""23.06.1984""";"=""PNG""";"=""53""";"=""51.80""";"=""60""";"=""65""";"=""70""";"=""70""";"=""85""";"=""90""";"=""95""";"=""95""";"=""165""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""9""";"=""M""";"=""1""";"=""1""";"=""3""";"=""HOANG Anh Tuan""";"=""12.02.1985""";"=""VIE""";"=""56""";"=""55.56""";"=""122""";"=""125""";"=""128""";"=""128""";"=""*150""";"=""150""";"=""*154""";"=""150""";"=""278""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""10""";"=""M""";"=""2""";"=""3""";"=""1""";"=""LU Linbi""";"=""20.08.1981""";"=""CHN""";"=""56""";"=""55.86""";"=""113""";"=""118""";"=""*121""";"=""118""";"=""143""";"=""*151""";"=""153""";"=""153""";"=""271""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""11""";"=""M""";"=""3""";"=""2""";"=""2""";"=""ALVAREZ BOULET Sergio""";"=""11.10.1979""";"=""CUB""";"=""56""";"=""55.91""";"=""*118""";"=""118""";"=""120""";"=""120""";"=""*151""";"=""151""";"=""*155""";"=""151""";"=""271""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""12""";"=""M""";"=""4""";"=""4""";"=""4""";"=""WU Jingbiao""";"=""10.01.1989""";"=""CHN""";"=""56""";"=""55.64""";"=""110""";"=""116""";"=""*123""";"=""116""";"=""130""";"=""135""";"=""140""";"=""140""";"=""256""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""13""";"=""M""";"=""5""";"=""5""";"=""5""";"=""ADAM Robert""";"=""15.09.1982""";"=""HUN""";"=""56""";"=""55.65""";"=""93""";"=""97""";"=""*100""";"=""97""";"=""120""";"=""*125""";"=""*125""";"=""120""";"=""217""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""14""";"=""W""";"=""1""";"=""1""";"=""1""";"=""HUANG Huang""";"=""06.05.1987""";"=""CHN""";"=""p75""";"=""127.54""";"=""110""";"=""116""";"=""119""";"=""119""";"=""143""";"=""148""";"=""150""";"=""150""";"=""269""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""15""";"=""W""";"=""2""";"=""2""";"=""2""";"=""RODITI Aikaterini""";"=""23.05.1983""";"=""GRE""";"=""p75""";"=""101.34""";"=""110""";"=""115""";"=""117""";"=""117""";"=""132""";"=""*137""";"=""137""";"=""137""";"=""254""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""16""";"=""W""";"=""3""";"=""3""";"=""3""";"=""KASAPI Vasiliki""";"=""22.03.1983""";"=""GRE""";"=""p75""";"=""130.96""";"=""*115""";"=""115""";"=""*118""";"=""115""";"=""*135""";"=""135""";"=""*142""";"=""135""";"=""250""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""17""";"=""W""";"=""4""";"=""4""";"=""6""";"=""VALENTIN PEREZ Lidia""";"=""10.02.1985""";"=""ESP""";"=""p75""";"=""78.10""";"=""105""";"=""110""";"=""*116""";"=""110""";"=""120""";"=""125""";"=""*131""";"=""125""";"=""235""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""18""";"=""W""";"=""5""";"=""5""";"=""5""";"=""LI Rongyan""";"=""05.01.1991""";"=""CHN""";"=""p75""";"=""76.90""";"=""95""";"=""102""";"=""*107""";"=""102""";"=""120""";"=""*127""";"=""127""";"=""127""";"=""229""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""19""";"=""W""";"=""6""";"=""6""";"=""4""";"=""SHIMAMOTO Mami""";"=""24.09.1987""";"=""JPN""";"=""p75""";"=""108.96""";"=""94""";"=""98""";"=""*103""";"=""98""";"=""130""";"=""*135""";"=""*135""";"=""130""";"=""228""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""20""";"=""W""";"=""7""";"=""7""";"=""7""";"=""JONAI Fumiko""";"=""19.02.1985""";"=""JPN""";"=""p75""";"=""109.77""";"=""92""";"=""* 95""";"=""* 95""";"=""92""";"=""125""";"=""*131""";"=""*131""";"=""125""";"=""217""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""21""";"=""W""";"=""---""";"=""8""";"=""---""";"=""ABORNEVA Alexandra""";"=""30.10.1986""";"=""KAZ""";"=""p75""";"=""83.22""";"=""80""";"=""85""";"=""* 87""";"=""85""";"=""*105""";"=""*105""";"=""---""";"=""---""";"=""0""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""22""";"=""M""";"=""1""";"=""1""";"=""1""";"=""STEINER Matthias""";"=""25.08.1982""";"=""GER""";"=""p105""";"=""137.33""";"=""185""";"=""190""";"=""193""";"=""193""";"=""216""";"=""*225""";"=""230""";"=""230""";"=""423""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""23""";"=""M""";"=""2""";"=""4""";"=""2""";"=""KLESZCZ Grzegorz""";"=""12.11.1977""";"=""POL""";"=""p105""";"=""132.06""";"=""*175""";"=""175""";"=""*180""";"=""175""";"=""220""";"=""*225""";"=""*225""";"=""220""";"=""395""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""24""";"=""M""";"=""3""";"=""5""";"=""3""";"=""GAO Le""";"=""08.03.1983""";"=""CHN""";"=""p105""";"=""139.53""";"=""150""";"=""*165""";"=""171""";"=""171""";"=""211""";"=""220""";"=""*226""";"=""220""";"=""391""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""25""";"=""M""";"=""4""";"=""2""";"=""5""";"=""BURGENER Casey""";"=""15.08.1982""";"=""USA""";"=""p105""";"=""125.64""";"=""*170""";"=""170""";"=""180""";"=""180""";"=""210""";"=""*220""";"=""*220""";"=""210""";"=""390""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""26""";"=""M""";"=""5""";"=""6""";"=""4""";"=""DOLEGA Robert""";"=""31.12.1977""";"=""POL""";"=""p105""";"=""106.23""";"=""165""";"=""170""";"=""*175""";"=""170""";"=""205""";"=""210""";"=""*213""";"=""210""";"=""380""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""27""";"=""M""";"=""6""";"=""7""";"=""6""";"=""OTA Kazuomi""";"=""01.07.1986""";"=""JPN""";"=""p105""";"=""141.99""";"=""155""";"=""*160""";"=""160""";"=""160""";"=""190""";"=""200""";"=""*203""";"=""200""";"=""360""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
"=""28""";"=""M""";"=""---""";"=""3""";"=""---""";"=""SUN Hai Bo""";"=""25.03.1983""";"=""CHN""";"=""p105""";"=""142.63""";"=""180""";"=""*190""";"=""---""";"=""180""";"=""*211""";"=""---""";"=""---""";"=""---""";"=""0""";"=""OLYMPIC TEST EVENT""";"=""01.2008""";
