pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""18""";"=""w""";"=""2""";"=""3""";"=""2""";"=""NANKANJJA Hadijja""";"=""08.09.1995""";"=""UGA""";"=""76""";"=""72.95""";"=""*50""";"=""50""";"=""54""";"=""54""";"=""60""";"=""65""";"=""*70""";"=""65""";"=""119""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""19""";"=""w""";"=""3""";"=""2""";"=""3""";"=""TSOSANE Makoena""";"=""14.08.1997""";"=""LES""";"=""76""";"=""73.85""";"=""47""";"=""51""";"=""57""";"=""57""";"=""*55""";"=""*55""";"=""55""";"=""55""";"=""112""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""20""";"=""w""";"=""1""";"=""1""";"=""1""";"=""DJIFACK MA-ATEMKEN ZOMGOUA Rayssa""";"=""01.08.1998""";"=""CMR""";"=""81""";"=""80.20""";"=""*77""";"=""77""";"=""83""";"=""83""";"=""*100""";"=""100""";"=""*108""";"=""100""";"=""183""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""21""";"=""m""";"=""1""";"=""1""";"=""1""";"=""NJOYA Ahmed Valdy""";"=""13.02.1999""";"=""CMR""";"=""81""";"=""80.70""";"=""120""";"=""127""";"=""130""";"=""130""";"=""160""";"=""*165""";"=""170""";"=""170""";"=""300""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""22""";"=""m""";"=""2""";"=""2""";"=""2""";"=""YANOU KETCHANKE Jean Baptiste""";"=""19.07.1993""";"=""CMR""";"=""81""";"=""79.70""";"=""116""";"=""121""";"=""128""";"=""128""";"=""146""";"=""151""";"=""161""";"=""161""";"=""289""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""23""";"=""m""";"=""3""";"=""3""";"=""3""";"=""LUKOSE Webstar Ndoli""";"=""19.05.1989""";"=""KEN""";"=""81""";"=""77.60""";"=""115""";"=""120""";"=""*126""";"=""120""";"=""145""";"=""*150""";"=""*150""";"=""145""";"=""265""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""24""";"=""m""";"=""4""";"=""4""";"=""4""";"=""MASAKWE Ivan""";"=""01.05.1990""";"=""UGA""";"=""81""";"=""80.15""";"=""*105""";"=""105""";"=""*110""";"=""105""";"=""130""";"=""135""";"=""140""";"=""140""";"=""245""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""25""";"=""m""";"=""5""";"=""5""";"=""5""";"=""NTSINYI Machachamise""";"=""29.04.1998""";"=""LES""";"=""81""";"=""77.65""";"=""80""";"=""87""";"=""96""";"=""96""";"=""107""";"=""115""";"=""120""";"=""120""";"=""216""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""26""";"=""w""";"=""1""";"=""1""";"=""1""";"=""MEUKEUGNI NOUMBISSI Clementine""";"=""01.10.1990""";"=""CMR""";"=""87""";"=""86.85""";"=""85""";"=""92""";"=""*96""";"=""92""";"=""110""";"=""115""";"=""*120""";"=""115""";"=""207""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""27""";"=""m""";"=""1""";"=""1""";"=""1""";"=""FEUGNO Cedric Patient""";"=""09.07.1997""";"=""CMR""";"=""89""";"=""87.80""";"=""110""";"=""120""";"=""130""";"=""130""";"=""150""";"=""160""";"=""170""";"=""170""";"=""300""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""28""";"=""m""";"=""1""";"=""1""";"=""1""";"=""KUBO Zubairi""";"=""10.01.1995""";"=""UGA""";"=""96""";"=""95.25""";"=""120""";"=""130""";"=""*135""";"=""130""";"=""*160""";"=""165""";"=""*170""";"=""165""";"=""295""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""29""";"=""m""";"=""2""";"=""2""";"=""2""";"=""ADEDE James Omondi""";"=""31.10.1986""";"=""KEN""";"=""96""";"=""93.50""";"=""100""";"=""110""";"=""*115""";"=""110""";"=""130""";"=""140""";"=""146""";"=""146""";"=""256""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""30""";"=""m""";"=""1""";"=""1""";"=""1""";"=""KAGISO Bokang Alphius""";"=""30.03.1997""";"=""BOT""";"=""102""";"=""98.65""";"=""125""";"=""*130""";"=""135""";"=""135""";"=""140""";"=""*145""";"=""147""";"=""147""";"=""282""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""31""";"=""m""";"=""1""";"=""1""";"=""1""";"=""NGADJA NYABEYEU Junior Periclex""";"=""16.06.1993""";"=""CMR""";"=""109""";"=""103.00""";"=""140""";"=""147""";"=""151""";"=""151""";"=""180""";"=""190""";"=""*195""";"=""190""";"=""341""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""32""";"=""w""";"=""1""";"=""1""";"=""1""";"=""MOMENI Estelle Adele""";"=""15.11.1993""";"=""CMR""";"=""p87""";"=""89.45""";"=""*80""";"=""80""";"=""*87""";"=""80""";"=""100""";"=""*107""";"=""107""";"=""107""";"=""187""";"=""Zone 2 African Championship""";"=""07.2019""";
