pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""VUONG Thi Huyen""";"=""22.06.1992""";"=""VIE""";"=""45""";"=""44.66""";"=""73""";"=""*76""";"=""76""";"=""76""";"=""92""";"=""*95""";"=""*95""";"=""92""";"=""168""";"=""Asian Championships""";"=""04.2019""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""2""";"=""DALABEHERA Jhilli""";"=""03.02.1999""";"=""IND""";"=""45""";"=""44.93""";"=""*68""";"=""68""";"=""71""";"=""71""";"=""88""";"=""91""";"=""*94""";"=""91""";"=""162""";"=""Asian Championships""";"=""04.2019""";
"=""2""";"=""w""";"=""3""";"=""4""";"=""3""";"=""DIAZ Mary Flor""";"=""04.05.1999""";"=""PHI""";"=""45""";"=""44.90""";"=""65""";"=""69""";"=""*72""";"=""69""";"=""83""";"=""86""";"=""89""";"=""89""";"=""158""";"=""Asian Championships""";"=""04.2019""";
"=""3""";"=""w""";"=""4""";"=""3""";"=""4""";"=""KHONG My Phuong""";"=""05.07.1999""";"=""VIE""";"=""45""";"=""44.95""";"=""*70""";"=""70""";"=""*75""";"=""70""";"=""84""";"=""87""";"=""*89""";"=""87""";"=""157""";"=""Asian Championships""";"=""04.2019""";
"=""4""";"=""w""";"=""1""";"=""1""";"=""1""";"=""HOU Zhihui""";"=""18.03.1997""";"=""CHN""";"=""49""";"=""48.63""";"=""88""";"=""92""";"=""*95""";"=""92""";"=""109""";"=""113""";"=""116""";"=""116""";"=""208""";"=""Asian Championships""";"=""04.2019""";
"=""5""";"=""w""";"=""2""";"=""3""";"=""2""";"=""RI Song Gum""";"=""17.10.1997""";"=""PRK""";"=""49""";"=""48.88""";"=""83""";"=""86""";"=""*88""";"=""86""";"=""109""";"=""114""";"=""*117""";"=""114""";"=""200""";"=""Asian Championships""";"=""04.2019""";
"=""6""";"=""w""";"=""3""";"=""2""";"=""4""";"=""ZHANG Rong""";"=""31.10.1993""";"=""CHN""";"=""49""";"=""48.94""";"=""88""";"=""*92""";"=""*92""";"=""88""";"=""108""";"=""111""";"=""*113""";"=""111""";"=""199""";"=""Asian Championships""";"=""04.2019""";
"=""7""";"=""w""";"=""4""";"=""4""";"=""3""";"=""MIRABAI Chanu Saikhom""";"=""08.08.1994""";"=""IND""";"=""49""";"=""48.98""";"=""83""";"=""*86""";"=""86""";"=""86""";"=""109""";"=""113""";"=""*115""";"=""113""";"=""199""";"=""Asian Championships""";"=""04.2019""";
"=""8""";"=""w""";"=""5""";"=""6""";"=""5""";"=""MIYAKE Hiromi""";"=""18.11.1985""";"=""JPN""";"=""49""";"=""48.90""";"=""78""";"=""80""";"=""81""";"=""81""";"=""101""";"=""104""";"=""106""";"=""106""";"=""187""";"=""Asian Championships""";"=""04.2019""";
"=""9""";"=""w""";"=""6""";"=""8""";"=""6""";"=""DZHUMABAYEVA Yulduz""";"=""22.04.1998""";"=""TKM""";"=""49""";"=""48.81""";"=""73""";"=""77""";"=""*80""";"=""77""";"=""97""";"=""101""";"=""*104""";"=""101""";"=""178""";"=""Asian Championships""";"=""04.2019""";
"=""10""";"=""w""";"=""7""";"=""7""";"=""8""";"=""AISAH Windy Cantika""";"=""11.06.2002""";"=""INA""";"=""49""";"=""48.47""";"=""75""";"=""78""";"=""80""";"=""80""";"=""92""";"=""97""";"=""*100""";"=""97""";"=""177""";"=""Asian Championships""";"=""04.2019""";
"=""11""";"=""w""";"=""8""";"=""9""";"=""7""";"=""TAKAHASHI Ibuki""";"=""24.03.1997""";"=""JPN""";"=""49""";"=""48.60""";"=""73""";"=""*75""";"=""75""";"=""75""";"=""*95""";"=""95""";"=""99""";"=""99""";"=""174""";"=""Asian Championships""";"=""04.2019""";
"=""12""";"=""w""";"=""9""";"=""12""";"=""9""";"=""NGUYEN THU Hien""";"=""23.02.1997""";"=""VIE""";"=""49""";"=""48.98""";"=""*73""";"=""*73""";"=""73""";"=""73""";"=""*92""";"=""92""";"=""*96""";"=""92""";"=""165""";"=""Asian Championships""";"=""04.2019""";
"=""13""";"=""w""";"=""10""";"=""10""";"=""10""";"=""FANG Wan-Ling""";"=""01.12.1999""";"=""TPE""";"=""49""";"=""48.76""";"=""69""";"=""73""";"=""*75""";"=""73""";"=""86""";"=""*91""";"=""91""";"=""91""";"=""164""";"=""Asian Championships""";"=""04.2019""";
"=""14""";"=""w""";"=""11""";"=""11""";"=""11""";"=""MUN Jeongseon""";"=""04.06.1999""";"=""KOR""";"=""49""";"=""48.89""";"=""70""";"=""73""";"=""*75""";"=""73""";"=""90""";"=""*93""";"=""*93""";"=""90""";"=""163""";"=""Asian Championships""";"=""04.2019""";
"=""15""";"=""w""";"=""12""";"=""13""";"=""12""";"=""RAMOS Rosegie""";"=""15.12.2003""";"=""PHI""";"=""49""";"=""48.62""";"=""68""";"=""70""";"=""72""";"=""72""";"=""85""";"=""90""";"=""*92""";"=""90""";"=""162""";"=""Asian Championships""";"=""04.2019""";
"=""16""";"=""w""";"=""13""";"=""14""";"=""13""";"=""BOMIRIYAGE GOMAS Dinusha Hansani""";"=""30.12.1992""";"=""SRI""";"=""49""";"=""48.79""";"=""67""";"=""*71""";"=""*73""";"=""67""";"=""85""";"=""*90""";"=""*90""";"=""85""";"=""152""";"=""Asian Championships""";"=""04.2019""";
