pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""SUZUKI Rira""";"=""06.09.1998""";"=""JPN""";"=""45""";"=""44.95""";"=""68""";"=""71""";"=""*74""";"=""71""";"=""92""";"=""*95""";"=""*98""";"=""92""";"=""163""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""1""";"=""w""";"=""1""";"=""1""";"=""2""";"=""WRIGHT Sarah Elizabeth""";"=""04.02.1992""";"=""USA""";"=""49""";"=""48.45""";"=""72""";"=""*75""";"=""*75""";"=""72""";"=""*91""";"=""91""";"=""*96""";"=""91""";"=""163""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""2""";"=""w""";"=""2""";"=""2""";"=""1""";"=""PIPILIARIDOU Maria""";"=""30.09.1986""";"=""GRE""";"=""49""";"=""48.95""";"=""68""";"=""71""";"=""*72""";"=""71""";"=""*91""";"=""91""";"=""*95""";"=""91""";"=""162""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""3""";"=""w""";"=""3""";"=""3""";"=""3""";"=""YANAGIDA Mizuki""";"=""05.09.1992""";"=""JPN""";"=""49""";"=""48.95""";"=""66""";"=""68""";"=""70""";"=""70""";"=""85""";"=""*91""";"=""91""";"=""91""";"=""161""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""4""";"=""w""";"=""4""";"=""4""";"=""4""";"=""ANDO Chisuzu""";"=""17.01.2001""";"=""JPN""";"=""49""";"=""48.80""";"=""66""";"=""*68""";"=""*68""";"=""66""";"=""80""";"=""83""";"=""*86""";"=""83""";"=""149""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""5""";"=""m""";"=""1""";"=""1""";"=""1""";"=""HIGASHINO Ryota""";"=""19.09.1997""";"=""JPN""";"=""55""";"=""54.55""";"=""100""";"=""*105""";"=""*105""";"=""100""";"=""120""";"=""*125""";"=""*130""";"=""120""";"=""220""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""6""";"=""w""";"=""1""";"=""1""";"=""1""";"=""KONOTOP Kamila""";"=""23.03.2001""";"=""UKR""";"=""55""";"=""54.80""";"=""84""";"=""87""";"=""89""";"=""89""";"=""100""";"=""104""";"=""107""";"=""107""";"=""196""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""7""";"=""w""";"=""2""";"=""4""";"=""2""";"=""LOCHOWSKA Joanna""";"=""17.11.1988""";"=""POL""";"=""55""";"=""54.50""";"=""*80""";"=""80""";"=""*84""";"=""80""";"=""104""";"=""*107""";"=""107""";"=""107""";"=""187""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""8""";"=""w""";"=""3""";"=""3""";"=""3""";"=""HERNANDEZ MARTIN Atenery""";"=""10.12.1994""";"=""ESP""";"=""55""";"=""54.70""";"=""80""";"=""82""";"=""*84""";"=""82""";"=""100""";"=""*102""";"=""102""";"=""102""";"=""184""";"=""Cup of the Blue Swords""";"=""08.2019""";
"=""9""";"=""w""";"=""4""";"=""2""";"=""5""";"=""LEMMEN Stephanie Kristin""";"=""05.09.1988""";"=""USA""";"=""55""";"=""54.90""";"=""80""";"=""*83""";"=""83""";"=""83""";"=""97""";"=""*100""";"=""*100""";"=""97""";"=""180""";"=""Cup of the Blue Swords""";"=""08.2019""";
