pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""ZHANG Rong""";"=""31.10.1993""";"=""CHN""";"=""49""";"=""48.20""";"=""85""";"=""90""";"=""*93""";"=""90""";"=""105""";"=""*110""";"=""*110""";"=""105""";"=""195""";"=""British International Open""";"=""06.2019""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""2""";"=""ROBSON Kelly-Jo""";"=""13.08.1988""";"=""GBR""";"=""49""";"=""48.75""";"=""66""";"=""69""";"=""*71""";"=""69""";"=""*84""";"=""84""";"=""87""";"=""87""";"=""156""";"=""British International Open""";"=""06.2019""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""3""";"=""POWELL Hannah Louise""";"=""12.12.1992""";"=""GBR""";"=""49""";"=""47.00""";"=""61""";"=""64""";"=""66""";"=""66""";"=""82""";"=""85""";"=""*89""";"=""85""";"=""151""";"=""British International Open""";"=""06.2019""";
"=""3""";"=""w""";"=""1""";"=""2""";"=""1""";"=""OVSTHUS Sarah Orteza Hovden""";"=""20.03.1994""";"=""NOR""";"=""55""";"=""54.75""";"=""79""";"=""81""";"=""83""";"=""83""";"=""99""";"=""102""";"=""*104""";"=""102""";"=""185""";"=""British International Open""";"=""06.2019""";
"=""4""";"=""w""";"=""2""";"=""3""";"=""2""";"=""MORROW Fraer Letitia""";"=""20.07.1998""";"=""GBR""";"=""55""";"=""54.45""";"=""*78""";"=""78""";"=""*81""";"=""78""";"=""97""";"=""100""";"=""102""";"=""102""";"=""180""";"=""British International Open""";"=""06.2019""";
"=""5""";"=""w""";"=""3""";"=""1""";"=""4""";"=""ANDRIES Elena Ramona""";"=""21.09.1994""";"=""ROU""";"=""55""";"=""54.05""";"=""80""";"=""84""";"=""*88""";"=""84""";"=""85""";"=""95""";"=""*102""";"=""95""";"=""179""";"=""British International Open""";"=""06.2019""";
"=""6""";"=""w""";"=""4""";"=""5""";"=""3""";"=""WILLIAMS Amy Louise""";"=""28.02.1992""";"=""GBR""";"=""55""";"=""54.75""";"=""*73""";"=""73""";"=""76""";"=""76""";"=""96""";"=""*100""";"=""*100""";"=""96""";"=""172""";"=""British International Open""";"=""06.2019""";
"=""7""";"=""w""";"=""5""";"=""6""";"=""5""";"=""RITO ENOCKSSON Sofia Julia""";"=""02.11.1985""";"=""URU""";"=""55""";"=""54.95""";"=""*69""";"=""70""";"=""*73""";"=""70""";"=""*86""";"=""87""";"=""*90""";"=""87""";"=""157""";"=""British International Open""";"=""06.2019""";
"=""8""";"=""w""";"=""---""";"=""4""";"=""---""";"=""SAXON Jessica Marie""";"=""08.12.1988""";"=""USA""";"=""55""";"=""54.80""";"=""*77""";"=""*77""";"=""77""";"=""77""";"=""*102""";"=""*102""";"=""*102""";"=""---""";"=""0""";"=""British International Open""";"=""06.2019""";
"=""9""";"=""w""";"=""1""";"=""2""";"=""1""";"=""WAALER Sol Anette""";"=""14.08.1992""";"=""NOR""";"=""59""";"=""58.75""";"=""82""";"=""*85""";"=""*85""";"=""82""";"=""105""";"=""*108""";"=""*109""";"=""105""";"=""187""";"=""British International Open""";"=""06.2019""";
