pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""WILLY Tebora""";"=""04.01.1998""";"=""KIR""";"=""45""";"=""44.85""";"=""48""";"=""* 51""";"=""52""";"=""52""";"=""* 62""";"=""64""";"=""67""";"=""67""";"=""119""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""2""";"=""TOUA Konio""";"=""25.02.1999""";"=""PNG""";"=""45""";"=""44.95""";"=""47""";"=""50""";"=""* 53""";"=""50""";"=""* 65""";"=""65""";"=""* 70""";"=""65""";"=""115""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""4""";"=""IKA Daniella""";"=""08.01.2004""";"=""NRU""";"=""45""";"=""44.50""";"=""30""";"=""35""";"=""* 39""";"=""35""";"=""* 43""";"=""43""";"=""47""";"=""47""";"=""82""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""3""";"=""W""";"=""---""";"=""---""";"=""3""";"=""CALMA Dayalani Reiko Vida""";"=""24.11.2000""";"=""GUM""";"=""45""";"=""44.65""";"=""* 47""";"=""* 47""";"=""* 47""";"=""---""";"=""58""";"=""60""";"=""63""";"=""63""";"=""0""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""4""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TOUA Loa Dika""";"=""23.06.1984""";"=""PNG""";"=""49""";"=""48.95""";"=""65""";"=""70""";"=""75""";"=""75""";"=""85""";"=""93""";"=""100""";"=""100""";"=""175""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""5""";"=""W""";"=""2""";"=""2""";"=""3""";"=""CALMA Dalamaya Aiko Vida""";"=""15.05.2002""";"=""GUM""";"=""49""";"=""48.55""";"=""* 50""";"=""50""";"=""53""";"=""53""";"=""60""";"=""64""";"=""* 66""";"=""64""";"=""117""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""6""";"=""W""";"=""3""";"=""4""";"=""2""";"=""MALA Jaylyn""";"=""06.12.2000""";"=""SOL""";"=""49""";"=""47.55""";"=""47""";"=""50""";"=""* 53""";"=""50""";"=""57""";"=""63""";"=""65""";"=""65""";"=""115""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""7""";"=""W""";"=""4""";"=""3""";"=""4""";"=""GAVERA Korema Marie""";"=""18.05.2000""";"=""PNG""";"=""49""";"=""48.45""";"=""48""";"=""52""";"=""* 54""";"=""52""";"=""58""";"=""62""";"=""* 65""";"=""62""";"=""114""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""8""";"=""W""";"=""1""";"=""1""";"=""1""";"=""LIFU Mary Kini""";"=""15.10.1994""";"=""SOL""";"=""55""";"=""54.45""";"=""70""";"=""73""";"=""* 75""";"=""73""";"=""86""";"=""89""";"=""* 92""";"=""89""";"=""162""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
"=""9""";"=""M""";"=""1""";"=""1""";"=""1""";"=""BRECHTEFELD Elson Edward""";"=""02.03.1994""";"=""NRU""";"=""55""";"=""54.70""";"=""88""";"=""* 93""";"=""93""";"=""93""";"=""112""";"=""117""";"=""122""";"=""122""";"=""215""";"=""2019 Oceania Senior Championships""";"=""07.2019""";
