pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""BERRIO ZULUAGA Manuela Andrea""";"=""18.06.2000""";"=""COL""";"=""45""";"=""44.20""";"=""67""";"=""70""";"=""72""";"=""72""";"=""89""";"=""91""";"=""95""";"=""95""";"=""167""";"=""Pan-American Championships""";"=""04.2019""";
"=""1""";"=""w""";"=""2""";"=""2""";"=""2""";"=""CUEVA URIBE Fiorella Francesca""";"=""04.02.1998""";"=""PER""";"=""45""";"=""44.70""";"=""64""";"=""67""";"=""69""";"=""69""";"=""80""";"=""85""";"=""90""";"=""90""";"=""159""";"=""Pan-American Championships""";"=""04.2019""";
"=""2""";"=""w""";"=""3""";"=""3""";"=""4""";"=""BENAVIDES ZAMBRANO Maria Del Cisne""";"=""06.04.1996""";"=""ECU""";"=""45""";"=""44.85""";"=""63""";"=""66""";"=""68""";"=""68""";"=""*75""";"=""*75""";"=""75""";"=""75""";"=""143""";"=""Pan-American Championships""";"=""04.2019""";
"=""3""";"=""w""";"=""4""";"=""4""";"=""3""";"=""NAVARRO MEJIA Maria Alejandra""";"=""03.07.1998""";"=""NCA""";"=""45""";"=""44.90""";"=""56""";"=""59""";"=""62""";"=""62""";"=""*75""";"=""*75""";"=""75""";"=""75""";"=""137""";"=""Pan-American Championships""";"=""04.2019""";
"=""4""";"=""w""";"=""5""";"=""5""";"=""5""";"=""GONZALEZ SANCHEZ Silvana Maria""";"=""09.10.1991""";"=""GUA""";"=""45""";"=""44.70""";"=""55""";"=""58""";"=""60""";"=""60""";"=""72""";"=""*75""";"=""*75""";"=""72""";"=""132""";"=""Pan-American Championships""";"=""04.2019""";
"=""5""";"=""w""";"=""6""";"=""7""";"=""6""";"=""YAT GONZALEZ Keily Michelle""";"=""04.11.1998""";"=""GUA""";"=""45""";"=""44.25""";"=""51""";"=""54""";"=""56""";"=""56""";"=""68""";"=""*72""";"=""*74""";"=""68""";"=""124""";"=""Pan-American Championships""";"=""04.2019""";
"=""6""";"=""w""";"=""---""";"=""6""";"=""---""";"=""SALDARRIAGA YOVERA  Anali Paola""";"=""21.10.2003""";"=""PER""";"=""45""";"=""44.60""";"=""55""";"=""57""";"=""59""";"=""59""";"=""*72""";"=""*72""";"=""*72""";"=""---""";"=""0""";"=""Pan-American Championships""";"=""04.2019""";
"=""7""";"=""w""";"=""1""";"=""1""";"=""1""";"=""RITCHEY Alyssa Lynn""";"=""14.04.1989""";"=""USA""";"=""49""";"=""49.00""";"=""78""";"=""81""";"=""83""";"=""83""";"=""101""";"=""104""";"=""107""";"=""107""";"=""190""";"=""Pan-American Championships""";"=""04.2019""";
"=""8""";"=""w""";"=""2""";"=""2""";"=""3""";"=""PIRON CANDELARIO Beatriz Elizabeth""";"=""27.02.1995""";"=""DOM""";"=""49""";"=""48.80""";"=""82""";"=""*85""";"=""*85""";"=""82""";"=""99""";"=""*102""";"=""102""";"=""102""";"=""184""";"=""Pan-American Championships""";"=""04.2019""";
"=""9""";"=""w""";"=""3""";"=""6""";"=""2""";"=""KING Morghan Whitney""";"=""08.10.1985""";"=""USA""";"=""49""";"=""48.85""";"=""75""";"=""78""";"=""*80""";"=""78""";"=""97""";"=""*100""";"=""102""";"=""102""";"=""180""";"=""Pan-American Championships""";"=""04.2019""";
