pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""m""";"=""1""";"=""1""";"=""1""";"=""MAU Jon Luke""";"=""02.10.1998""";"=""GER""";"=""61""";"=""60.95""";"=""113""";"=""118""";"=""*122""";"=""118""";"=""148""";"=""153""";"=""156""";"=""156""";"=""274""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""1""";"=""m""";"=""2""";"=""2""";"=""2""";"=""TOPTAS Caner""";"=""14.08.2001""";"=""TUR""";"=""61""";"=""60.95""";"=""108""";"=""114""";"=""*119""";"=""114""";"=""125""";"=""130""";"=""135""";"=""135""";"=""249""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""2""";"=""m""";"=""3""";"=""3""";"=""3""";"=""AL AJARMEH Hamzeh Ahmad Awad """;"=""27.06.2002""";"=""JOR""";"=""61""";"=""58.70""";"=""65""";"=""71""";"=""74""";"=""74""";"=""78""";"=""*83""";"=""86""";"=""86""";"=""160""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""3""";"=""m""";"=""1""";"=""1""";"=""1""";"=""AL-ZUBAIDI Mohammed Ali Wahhab""";"=""01.01.1996""";"=""IRQ""";"=""67""";"=""66.80""";"=""124""";"=""*130""";"=""*130""";"=""124""";"=""*156""";"=""*156""";"=""156""";"=""156""";"=""280""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""4""";"=""m""";"=""2""";"=""2""";"=""2""";"=""NEMER Zaid Mohammad Ayoub""";"=""05.09.2002""";"=""JOR""";"=""67""";"=""65.60""";"=""75""";"=""80""";"=""87""";"=""87""";"=""95""";"=""105""";"=""112""";"=""112""";"=""199""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""5""";"=""m""";"=""1""";"=""2""";"=""1""";"=""DUMITRASCU Paul""";"=""31.01.2000""";"=""ROU""";"=""73""";"=""72.50""";"=""130""";"=""134""";"=""136""";"=""136""";"=""*170""";"=""172""";"=""176""";"=""176""";"=""312""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""6""";"=""m""";"=""2""";"=""3""";"=""2""";"=""OZBEK Muhammed Furkan""";"=""24.01.2001""";"=""TUR""";"=""73""";"=""72.80""";"=""133""";"=""*135""";"=""135""";"=""135""";"=""165""";"=""172""";"=""174""";"=""174""";"=""309""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""7""";"=""m""";"=""3""";"=""4""";"=""4""";"=""LAFEE Waleed Abdel Jabar Ahmad""";"=""26.02.2002""";"=""JOR""";"=""73""";"=""71.80""";"=""95""";"=""103""";"=""*107""";"=""103""";"=""120""";"=""128""";"=""133""";"=""133""";"=""236""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""8""";"=""m""";"=""---""";"=""---""";"=""3""";"=""ATABAYEV Guvanch""";"=""14.04.1994""";"=""TKM""";"=""73""";"=""72.00""";"=""*133""";"=""*133""";"=""*134""";"=""---""";"=""*160""";"=""160""";"=""*170""";"=""160""";"=""0""";"=""4th International Fajr Cup""";"=""03.2019""";
"=""9""";"=""m""";"=""---""";"=""1""";"=""---""";"=""ISMAYILOV Daniyar""";"=""03.02.1992""";"=""TUR""";"=""73""";"=""67.60""";"=""150""";"=""154""";"=""*157""";"=""154""";"=""*175""";"=""*175""";"=""*175""";"=""---""";"=""0""";"=""4th International Fajr Cup""";"=""03.2019""";
