pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""M""";"=""1""";"=""1""";"=""1""";"=""JUBOO Khelwin""";"=""27.06.2002""";"=""MRI""";"=""P102 """;"=""107.43""";"=""110""";"=""*132""";"=""*132""";"=""110""";"=""140""";"=""161""";"=""*170""";"=""161""";"=""271""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""1""";"=""W""";"=""1""";"=""1""";"=""1""";"=""KATBI Nadja""";"=""26.06.2002""";"=""ALG""";"=""45""";"=""44.53""";"=""35""";"=""40""";"=""43""";"=""43""";"=""45""";"=""50""";"=""55""";"=""55""";"=""98""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""2""";"=""M""";"=""1""";"=""1""";"=""1""";"=""EMILE Willem Gwendal""";"=""20.12.2002""";"=""MRI""";"=""49""";"=""49.00""";"=""66""";"=""76""";"=""*81""";"=""76""";"=""85""";"=""91""";"=""*101""";"=""91""";"=""167""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""3""";"=""M""";"=""1""";"=""1""";"=""1""";"=""NIYOYITA Davis""";"=""01.01.2004""";"=""UGA""";"=""55""";"=""54.96""";"=""75""";"=""80""";"=""*81""";"=""80""";"=""95""";"=""100""";"=""103""";"=""103""";"=""183""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""4""";"=""W""";"=""1""";"=""1""";"=""1""";"=""SABRI Nour El Houda""";"=""28.04.2003""";"=""ALG""";"=""55""";"=""54.05""";"=""50""";"=""55""";"=""59""";"=""59""";"=""70""";"=""75""";"=""*80""";"=""75""";"=""134""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""5""";"=""M""";"=""2""";"=""2""";"=""2""";"=""CHAKHCHOUKH Akram""";"=""04.10.2004""";"=""ALG""";"=""55""";"=""54.95""";"=""70""";"=""76""";"=""*81""";"=""76""";"=""92""";"=""97""";"=""101""";"=""101""";"=""177""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""6""";"=""M""";"=""1""";"=""1""";"=""1""";"=""VAN DER WALT Slade""";"=""01.08.2004""";"=""RSA""";"=""61""";"=""58.94""";"=""72""";"=""76""";"=""*80""";"=""76""";"=""92""";"=""95""";"=""*98""";"=""95""";"=""171""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""7""";"=""M""";"=""2""";"=""2""";"=""2""";"=""LUTAAYA Hamdan Sserwanga""";"=""07.01.2002""";"=""UGA""";"=""61""";"=""59.12""";"=""65""";"=""70""";"=""*73""";"=""70""";"=""85""";"=""91""";"=""92""";"=""92""";"=""162""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""8""";"=""W""";"=""1""";"=""1""";"=""1""";"=""BELOUNIS Nihad""";"=""09.01.2003""";"=""ALG""";"=""64""";"=""62.26""";"=""55""";"=""60""";"=""63""";"=""63""";"=""70""";"=""*80""";"=""82""";"=""82""";"=""145""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""9""";"=""M""";"=""1""";"=""1""";"=""1""";"=""MIRA Daoud""";"=""08.09.2002""";"=""ALG""";"=""73""";"=""70.65""";"=""92""";"=""96""";"=""100""";"=""100""";"=""115""";"=""123""";"=""127""";"=""127""";"=""227""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""10""";"=""M""";"=""2""";"=""2""";"=""2""";"=""NKUUTU Lawrence""";"=""02.02.2002""";"=""UGA""";"=""73""";"=""68.26""";"=""*91""";"=""92""";"=""*95""";"=""92""";"=""112""";"=""*114""";"=""*114""";"=""112""";"=""204""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""11""";"=""M""";"=""3""";"=""3""";"=""3""";"=""BUKENYA Robert""";"=""23.09.2003""";"=""UGA""";"=""73""";"=""71.22""";"=""80""";"=""85""";"=""*88""";"=""85""";"=""105""";"=""*110""";"=""*111""";"=""105""";"=""190""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""12""";"=""W""";"=""1""";"=""1""";"=""1""";"=""AHMED Fatma Mohamed Sadek""";"=""07.07.2003""";"=""EGY""";"=""76""";"=""73.50""";"=""80""";"=""84""";"=""86""";"=""86""";"=""100""";"=""104""";"=""*112""";"=""104""";"=""190""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""13""";"=""W""";"=""2""";"=""2""";"=""2""";"=""COLOMA Joelita""";"=""15.04.2003""";"=""SEY""";"=""76""";"=""75.14""";"=""55""";"=""*60""";"=""*60""";"=""55""";"=""70""";"=""*75""";"=""*75""";"=""70""";"=""125""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""14""";"=""M""";"=""1""";"=""1""";"=""1""";"=""MEGALY Ahmed Ali Mohamed""";"=""02.02.2002""";"=""EGY""";"=""81""";"=""80.00""";"=""130""";"=""135""";"=""*141""";"=""135""";"=""157""";"=""167""";"=""*173""";"=""167""";"=""302""";"=""2019 African Youth Championships""";"=""09.2019""";
"=""15""";"=""M""";"=""2""";"=""2""";"=""2""";"=""PRETORIUS Jayden Dylon""";"=""14.01.2002""";"=""RSA""";"=""81""";"=""75.45""";"=""*110""";"=""110""";"=""120""";"=""120""";"=""140""";"=""145""";"=""*151""";"=""145""";"=""265""";"=""2019 African Youth Championships""";"=""09.2019""";
