pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""LIM Nicole Anne""";"=""10.10.1986""";"=""USA""";"=""45""";"=""45.00""";"=""60""";"=""*60""";"=""*60""";"=""60""";"=""75""";"=""*80""";"=""80""";"=""80""";"=""140""";"=""Las Vegas International Open""";"=""03.2019""";
"=""1""";"=""W""";"=""1""";"=""1""";"=""1""";"=""BRADDOCK Amanda Melissa""";"=""10.02.1989""";"=""CAN""";"=""49""";"=""48.83""";"=""67""";"=""71""";"=""75""";"=""75""";"=""89""";"=""92""";"=""95""";"=""95""";"=""170""";"=""Las Vegas International Open""";"=""03.2019""";
"=""2""";"=""W""";"=""2""";"=""3""";"=""2""";"=""CUEVA URIBE Fiorella Francesca""";"=""04.02.1998""";"=""PER""";"=""49""";"=""47.09""";"=""62""";"=""*65""";"=""65""";"=""65""";"=""87""";"=""90""";"=""*93""";"=""90""";"=""155""";"=""Las Vegas International Open""";"=""03.2019""";
"=""3""";"=""W""";"=""3""";"=""2""";"=""3""";"=""LANDEROS LOPEZ Katherine Ignacia""";"=""19.01.1991""";"=""CHI""";"=""49""";"=""48.16""";"=""62""";"=""65""";"=""*67""";"=""65""";"=""80""";"=""*85""";"=""85""";"=""85""";"=""150""";"=""Las Vegas International Open""";"=""03.2019""";
"=""4""";"=""W""";"=""1""";"=""1""";"=""1""";"=""LEBLANC-BAZINET Rachel""";"=""10.10.1988""";"=""CAN""";"=""55""";"=""54.80""";"=""80""";"=""*84""";"=""84""";"=""84""";"=""104""";"=""*107""";"=""107""";"=""107""";"=""191""";"=""Las Vegas International Open""";"=""03.2019""";
"=""5""";"=""M""";"=""1""";"=""1""";"=""1""";"=""KOBASHIGAWA Brey Jutaro""";"=""08.12.1994""";"=""USA""";"=""55""";"=""54.83""";"=""100""";"=""103""";"=""*107""";"=""103""";"=""125""";"=""130""";"=""*135""";"=""130""";"=""233""";"=""Las Vegas International Open""";"=""03.2019""";
"=""6""";"=""W""";"=""2""";"=""2""";"=""2""";"=""SANDI PIZANGO Tessy Karen""";"=""20.11.1996""";"=""PER""";"=""55""";"=""54.55""";"=""72""";"=""75""";"=""78""";"=""78""";"=""95""";"=""100""";"=""103""";"=""103""";"=""181""";"=""Las Vegas International Open""";"=""03.2019""";
"=""7""";"=""W""";"=""---""";"=""---""";"=""---""";"=""RITCHEY Alyssa Lynn""";"=""14.04.1989""";"=""USA""";"=""55""";"=""53.65""";"=""---""";"=""---""";"=""---""";"=""---""";"=""---""";"=""---""";"=""---""";"=""---""";"=""0""";"=""Las Vegas International Open""";"=""03.2019""";
"=""8""";"=""W""";"=""---""";"=""---""";"=""3""";"=""LEMMEN Stephanie Kristin""";"=""05.09.1988""";"=""USA""";"=""55""";"=""54.90""";"=""*83""";"=""*83""";"=""*83""";"=""---""";"=""99""";"=""*102""";"=""*102""";"=""99""";"=""0""";"=""Las Vegas International Open""";"=""03.2019""";
"=""9""";"=""W""";"=""1""";"=""1""";"=""2""";"=""BRAMWELL Kaija Francesca""";"=""14.07.1997""";"=""USA""";"=""59""";"=""58.58""";"=""82""";"=""*85""";"=""86""";"=""86""";"=""105""";"=""*109""";"=""109""";"=""109""";"=""195""";"=""Las Vegas International Open""";"=""03.2019""";
