pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""TOUA Konio""";"=""25.02.1999""";"=""PNG""";"=""45""";"=""44.95""";"=""47""";"=""50""";"=""* 53""";"=""50""";"=""* 65""";"=""65""";"=""* 70""";"=""65""";"=""115""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""1""";"=""W""";"=""2""";"=""2""";"=""3""";"=""IKA Daniella""";"=""08.01.2004""";"=""NRU""";"=""45""";"=""44.50""";"=""30""";"=""35""";"=""* 39""";"=""35""";"=""* 43""";"=""43""";"=""47""";"=""47""";"=""82""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""2""";"=""W""";"=""---""";"=""---""";"=""2""";"=""CALMA Dayalani Reiko Vida""";"=""24.11.2000""";"=""GUM""";"=""45""";"=""44.65""";"=""* 47""";"=""* 47""";"=""* 47""";"=""---""";"=""58""";"=""60""";"=""63""";"=""63""";"=""0""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""3""";"=""W""";"=""1""";"=""1""";"=""2""";"=""CALMA Dalamaya Aiko Vida""";"=""15.05.2002""";"=""GUM""";"=""49""";"=""48.55""";"=""* 50""";"=""50""";"=""53""";"=""53""";"=""60""";"=""64""";"=""* 66""";"=""64""";"=""117""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""4""";"=""W""";"=""2""";"=""3""";"=""1""";"=""MALA Jaylyn""";"=""06.12.2000""";"=""SOL""";"=""49""";"=""47.55""";"=""47""";"=""50""";"=""* 53""";"=""50""";"=""57""";"=""63""";"=""65""";"=""65""";"=""115""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""5""";"=""W""";"=""3""";"=""2""";"=""3""";"=""GAVERA Korema Marie""";"=""18.05.2000""";"=""PNG""";"=""49""";"=""48.45""";"=""48""";"=""52""";"=""* 54""";"=""52""";"=""58""";"=""62""";"=""* 65""";"=""62""";"=""114""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""6""";"=""W""";"=""1""";"=""1""";"=""1""";"=""ROY BOGANA Naoani Konio""";"=""27.03.2003""";"=""PNG""";"=""55""";"=""53.60""";"=""50""";"=""55""";"=""* 60""";"=""55""";"=""60""";"=""65""";"=""* 70""";"=""65""";"=""120""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""7""";"=""M""";"=""1""";"=""2""";"=""1""";"=""NAUARI Gahuna Ian""";"=""05.08.2002""";"=""PNG""";"=""55""";"=""54.65""";"=""* 80""";"=""80""";"=""* 85""";"=""80""";"=""*101""";"=""101""";"=""108""";"=""108""";"=""188""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""8""";"=""M""";"=""2""";"=""1""";"=""2""";"=""SHADRACK Walter""";"=""06.10.2000""";"=""SOL""";"=""55""";"=""54.75""";"=""80""";"=""* 85""";"=""* 85""";"=""80""";"=""100""";"=""105""";"=""*109""";"=""105""";"=""185""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""9""";"=""M""";"=""3""";"=""3""";"=""3""";"=""RIKLON Mike Enricel""";"=""11.11.2000""";"=""MHL""";"=""55""";"=""50.30""";"=""* 68""";"=""72""";"=""75""";"=""75""";"=""* 90""";"=""93""";"=""*100""";"=""93""";"=""168""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""10""";"=""M""";"=""---""";"=""---""";"=""4""";"=""ERATI Kaimauri""";"=""13.06.2004""";"=""KIR""";"=""55""";"=""53.80""";"=""* 60""";"=""* 60""";"=""* 60""";"=""---""";"=""70""";"=""75""";"=""* 83""";"=""75""";"=""0""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
"=""11""";"=""W""";"=""1""";"=""1""";"=""2""";"=""ISAIA Sekolasitika""";"=""11.07.2000""";"=""SAM""";"=""59""";"=""57.65""";"=""65""";"=""69""";"=""71""";"=""71""";"=""85""";"=""89""";"=""91""";"=""91""";"=""162""";"=""2019 Oceania Junior Championships""";"=""07.2019""";
