pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""KATBI Nadja""";"=""26.06.2002""";"=""ALG""";"=""45""";"=""44.53""";"=""35""";"=""40""";"=""43""";"=""43""";"=""45""";"=""50""";"=""55""";"=""55""";"=""98""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""1""";"=""W""";"=""1""";"=""1""";"=""1""";"=""RANDAFIARISON Rosina""";"=""29.12.1999""";"=""MAD""";"=""49""";"=""45.43""";"=""65""";"=""70""";"=""72""";"=""72""";"=""80""";"=""85""";"=""*90""";"=""85""";"=""157""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""2""";"=""W""";"=""1""";"=""1""";"=""1""";"=""SABRI Nour El Houda""";"=""28.04.2003""";"=""ALG""";"=""55""";"=""54.05""";"=""50""";"=""55""";"=""59""";"=""59""";"=""70""";"=""75""";"=""*80""";"=""75""";"=""134""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""3""";"=""M""";"=""1""";"=""1""";"=""1""";"=""EMILE Willem Gwendal""";"=""20.12.2002""";"=""MRI""";"=""55""";"=""49.00""";"=""66""";"=""76""";"=""*81""";"=""76""";"=""85""";"=""91""";"=""*101""";"=""91""";"=""167""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""4""";"=""M""";"=""2""";"=""3""";"=""2""";"=""CHAKHCHOUKH Akram""";"=""04.10.2004""";"=""ALG""";"=""55""";"=""54.95""";"=""70""";"=""76""";"=""*81""";"=""76""";"=""92""";"=""97""";"=""101""";"=""101""";"=""177""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""5""";"=""M""";"=""3""";"=""2""";"=""3""";"=""NIYOYITA Davis""";"=""01.01.2004""";"=""UGA""";"=""55""";"=""54.96""";"=""75""";"=""80""";"=""*81""";"=""80""";"=""95""";"=""100""";"=""103""";"=""103""";"=""183""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""6""";"=""W""";"=""1""";"=""1""";"=""1""";"=""MOYENGWA Magdeline""";"=""31.03.2001""";"=""BOT""";"=""59""";"=""57.75""";"=""60""";"=""65""";"=""*71""";"=""65""";"=""80""";"=""85""";"=""*88""";"=""85""";"=""150""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""7""";"=""M""";"=""1""";"=""1""";"=""1""";"=""RAMIARIMANANA Jean Elariont Ricardo""";"=""22.07.1999""";"=""MAD""";"=""61""";"=""57.10""";"=""90""";"=""*100""";"=""*102""";"=""90""";"=""*115""";"=""115""";"=""*123""";"=""115""";"=""205""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""8""";"=""M""";"=""2""";"=""2""";"=""2""";"=""VAN DER WALT Slade""";"=""01.08.2004""";"=""RSA""";"=""61""";"=""58.94""";"=""72""";"=""76""";"=""*80""";"=""76""";"=""92""";"=""95""";"=""*98""";"=""95""";"=""171""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""9""";"=""M""";"=""3""";"=""3""";"=""3""";"=""LUTAAYA Hamdan Sserwanga""";"=""07.01.2002""";"=""UGA""";"=""61""";"=""59.12""";"=""65""";"=""70""";"=""*73""";"=""70""";"=""85""";"=""91""";"=""92""";"=""92""";"=""162""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""10""";"=""W""";"=""1""";"=""1""";"=""1""";"=""BELOUNIS Nihad""";"=""09.01.2003""";"=""ALG""";"=""64""";"=""62.26""";"=""55""";"=""60""";"=""63""";"=""63""";"=""70""";"=""*80""";"=""82""";"=""82""";"=""145""";"=""2019 African Junior Championships""";"=""09.2019""";
"=""11""";"=""M""";"=""1""";"=""1""";"=""1""";"=""ELTAMADI Ahmed Abdelghani Said""";"=""16.01.1999""";"=""EGY""";"=""67""";"=""66.93""";"=""125""";"=""*131""";"=""*132""";"=""125""";"=""155""";"=""160""";"=""*166""";"=""160""";"=""285""";"=""2019 African Junior Championships""";"=""09.2019""";
