pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""2""";"=""1""";"=""VUONG Thi Huyen""";"=""22.06.1992""";"=""VIE""";"=""45""";"=""44.90""";"=""*72""";"=""72""";"=""*76""";"=""72""";"=""90""";"=""95""";"=""98""";"=""98""";"=""170""";"=""IWF World Cup""";"=""02.2019""";
"=""1""";"=""W""";"=""2""";"=""1""";"=""2""";"=""KHONG My Phuong""";"=""05.07.1999""";"=""VIE""";"=""45""";"=""44.80""";"=""66""";"=""72""";"=""*76""";"=""72""";"=""76""";"=""82""";"=""85""";"=""85""";"=""157""";"=""IWF World Cup""";"=""02.2019""";
"=""2""";"=""W""";"=""3""";"=""3""";"=""3""";"=""NAVARRO MEJIA Maria Alejandra""";"=""03.07.1998""";"=""NCA""";"=""45""";"=""44.30""";"=""53""";"=""*58""";"=""58""";"=""58""";"=""70""";"=""*76""";"=""*76""";"=""70""";"=""128""";"=""IWF World Cup""";"=""02.2019""";
"=""3""";"=""W""";"=""1""";"=""1""";"=""1""";"=""HOU Zhihui""";"=""18.03.1997""";"=""CHN""";"=""49""";"=""48.80""";"=""90""";"=""94""";"=""*96""";"=""94""";"=""111""";"=""116""";"=""---""";"=""116""";"=""210""";"=""IWF World Cup""";"=""02.2019""";
"=""4""";"=""W""";"=""2""";"=""2""";"=""2""";"=""RI Song Gum""";"=""17.10.1997""";"=""PRK""";"=""49""";"=""48.90""";"=""80""";"=""*84""";"=""84""";"=""84""";"=""105""";"=""109""";"=""*112""";"=""109""";"=""193""";"=""IWF World Cup""";"=""02.2019""";
"=""5""";"=""W""";"=""3""";"=""3""";"=""5""";"=""PIRON CANDELARIO Beatriz Elizabeth""";"=""27.02.1995""";"=""DOM""";"=""49""";"=""48.20""";"=""*75""";"=""*78""";"=""78""";"=""78""";"=""90""";"=""94""";"=""98""";"=""98""";"=""176""";"=""IWF World Cup""";"=""02.2019""";
"=""6""";"=""W""";"=""4""";"=""4""";"=""4""";"=""KING Morghan Whitney""";"=""08.10.1985""";"=""USA""";"=""49""";"=""48.80""";"=""75""";"=""*77""";"=""*78""";"=""75""";"=""96""";"=""98""";"=""*102""";"=""98""";"=""173""";"=""IWF World Cup""";"=""02.2019""";
"=""7""";"=""W""";"=""5""";"=""5""";"=""7""";"=""BATCHELOR Cortney Christine""";"=""09.05.1991""";"=""USA""";"=""49""";"=""49.00""";"=""*74""";"=""74""";"=""*75""";"=""74""";"=""92""";"=""96""";"=""*99""";"=""96""";"=""170""";"=""IWF World Cup""";"=""02.2019""";
"=""8""";"=""W""";"=""6""";"=""6""";"=""8""";"=""TAKAHASHI Ibuki""";"=""24.03.1997""";"=""JPN""";"=""49""";"=""48.25""";"=""*73""";"=""*73""";"=""73""";"=""73""";"=""94""";"=""*98""";"=""*100""";"=""94""";"=""167""";"=""IWF World Cup""";"=""02.2019""";
"=""9""";"=""W""";"=""7""";"=""8""";"=""9""";"=""HERNANDEZ VIEYRA Yesica Yadira""";"=""15.12.2001""";"=""MEX""";"=""49""";"=""48.90""";"=""*70""";"=""70""";"=""*71""";"=""70""";"=""85""";"=""90""";"=""*93""";"=""90""";"=""160""";"=""IWF World Cup""";"=""02.2019""";
