pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""m""";"=""1""";"=""1""";"=""1""";"=""HARFI Issam""";"=""02.12.1997""";"=""MAR""";"=""55""";"=""54.50""";"=""91""";"=""95""";"=""*98""";"=""95""";"=""105""";"=""*112""";"=""*115""";"=""105""";"=""200""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""1""";"=""m""";"=""1""";"=""1""";"=""1""";"=""BOUSHEEHAH Abdullah Khalleefah M""";"=""12.01.1992""";"=""LBA""";"=""61""";"=""60.50""";"=""102""";"=""*107""";"=""*107""";"=""102""";"=""130""";"=""*135""";"=""*135""";"=""130""";"=""232""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""2""";"=""m""";"=""1""";"=""1""";"=""1""";"=""HOUCINE Ben Hminda""";"=""18.11.1996""";"=""TUN""";"=""67""";"=""66.70""";"=""*125""";"=""125""";"=""*134""";"=""125""";"=""157""";"=""*168""";"=""*168""";"=""157""";"=""282""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""3""";"=""m""";"=""2""";"=""2""";"=""2""";"=""SHABI Ahsaan Ali Alhadi""";"=""22.03.1997""";"=""LBA""";"=""67""";"=""66.60""";"=""118""";"=""122""";"=""*126""";"=""122""";"=""147""";"=""153""";"=""*158""";"=""153""";"=""275""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""4""";"=""m""";"=""3""";"=""3""";"=""3""";"=""MOULABBI Mohamed""";"=""29.10.2001""";"=""MAR""";"=""67""";"=""65.60""";"=""94""";"=""98""";"=""101""";"=""101""";"=""115""";"=""121""";"=""124""";"=""124""";"=""225""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""5""";"=""m""";"=""4""";"=""4""";"=""4""";"=""BIN SAEID Salih Mihriz Salih""";"=""04.08.2001""";"=""LBA""";"=""67""";"=""65.70""";"=""93""";"=""97""";"=""100""";"=""100""";"=""116""";"=""*120""";"=""123""";"=""123""";"=""223""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""6""";"=""m""";"=""1""";"=""1""";"=""1""";"=""TUBAL Maraj S.Omer """;"=""10.01.1994""";"=""LBA""";"=""73""";"=""72.70""";"=""132""";"=""136""";"=""140""";"=""140""";"=""161""";"=""*165""";"=""*166""";"=""161""";"=""301""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""7""";"=""m""";"=""2""";"=""2""";"=""2""";"=""MOUM Abderrahim""";"=""18.09.2000""";"=""MAR""";"=""73""";"=""70.80""";"=""110""";"=""*118""";"=""120""";"=""120""";"=""133""";"=""140""";"=""*152""";"=""140""";"=""260""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""8""";"=""m""";"=""1""";"=""1""";"=""1""";"=""BAHLOUL Rami""";"=""29.07.1991""";"=""TUN""";"=""81""";"=""80.90""";"=""126""";"=""137""";"=""143""";"=""143""";"=""150""";"=""165""";"=""175""";"=""175""";"=""318""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""9""";"=""m""";"=""2""";"=""2""";"=""2""";"=""BOUHI Soufiane """;"=""12.04.2001""";"=""MAR""";"=""81""";"=""80.10""";"=""105""";"=""*110""";"=""110""";"=""110""";"=""120""";"=""*130""";"=""*135""";"=""120""";"=""230""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""10""";"=""m""";"=""1""";"=""1""";"=""1""";"=""ABUZRIBA Ahmed Mustafa Ahmed""";"=""16.04.2000""";"=""LBA""";"=""89""";"=""88.08""";"=""132""";"=""137""";"=""139""";"=""139""";"=""164""";"=""169""";"=""172""";"=""172""";"=""311""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""11""";"=""m""";"=""2""";"=""2""";"=""2""";"=""ALAJEEMI Omar Mohammed Alhadi""";"=""25.07.1999""";"=""LBA""";"=""89""";"=""83.50""";"=""118""";"=""126""";"=""*130""";"=""126""";"=""150""";"=""155""";"=""158""";"=""158""";"=""284""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""12""";"=""m""";"=""3""";"=""3""";"=""3""";"=""DARGAL Anas""";"=""23.09.1997""";"=""MAR""";"=""89""";"=""86.00""";"=""110""";"=""115""";"=""*125""";"=""115""";"=""135""";"=""142""";"=""147""";"=""147""";"=""262""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""13""";"=""m""";"=""1""";"=""1""";"=""1""";"=""OSEI Forrester Christopher""";"=""12.09.1989""";"=""GHA""";"=""96""";"=""92.60""";"=""138""";"=""145""";"=""*154""";"=""145""";"=""162""";"=""170""";"=""*180""";"=""170""";"=""315""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""14""";"=""m""";"=""2""";"=""2""";"=""2""";"=""TLILI Wajih""";"=""07.03.1999""";"=""TUN""";"=""96""";"=""90.66""";"=""140""";"=""*150""";"=""*154""";"=""140""";"=""160""";"=""*168""";"=""169""";"=""169""";"=""309""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
"=""15""";"=""m""";"=""3""";"=""3""";"=""3""";"=""ARMILAT Mehdi""";"=""13.12.1996""";"=""MAR""";"=""96""";"=""94.00""";"=""115""";"=""120""";"=""127""";"=""127""";"=""140""";"=""150""";"=""155""";"=""155""";"=""282""";"=""Zone 1 African Senior Championships""";"=""03.2019""";
